date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_rank,percentile,weight,position_size,volatility
2024-11-26,ALGO/USD,LONG,157.38980121002592,30.510199999999998,126.87960121002592,5.0,83.33333333333334,0.25,2500.0,1.5434170563067344
2024-11-26,LDO/USD,SHORT,55.2555448408872,38.9641,16.291444840887195,1.0,16.666666666666664,-0.5,-5000.0,1.5262298362756166
2024-11-26,XLM/USD,LONG,365.6523170718755,41.71560000000001,323.9367170718755,6.0,100.0,0.25,2500.0,2.444389299075394
2024-12-03,ALGO/USD,LONG,362.37442922374424,36.2643,326.11012922374425,5.0,83.33333333333334,0.25,2722.050199136642,1.7716903397871084
2024-12-03,BONK/USD,SHORT,131.23957754307952,87.146683725092,44.092893817987516,1.0,16.666666666666664,-0.5,-5444.100398273284,1.820787979737441
2024-12-03,XLM/USD,LONG,459.7697978281982,45.85110000000001,413.91869782819816,6.0,100.0,0.25,2722.050199136642,2.4650323076073777
2024-12-10,ALGO/USD,LONG,191.2027491408935,44.312099999999994,146.89064914089352,5.0,83.33333333333334,0.25,2481.971124424745,2.0123736458434993
2024-12-10,BONK/USD,SHORT,40.998427672955984,93.76652471991001,-52.768097046954026,1.0,16.666666666666664,-0.5,-4963.94224884949,1.8533312160244593
2024-12-10,XLM/USD,LONG,302.9044992528916,66.66310000000001,236.24139925289157,6.0,100.0,0.25,2481.971124424745,2.63440402687658
2024-12-17,ALGO/USD,LONG,125.05446623093678,44.24699999999999,80.8074662309368,6.0,100.0,0.25,2469.738597181271,1.8381732025961561
2024-12-17,BONK/USD,SHORT,-29.855694227769103,74.218205305681,-104.0738995334501,1.0,16.666666666666664,-0.5,-4939.477194362542,1.1610766384889524
2024-12-17,XLM/USD,LONG,118.37655591093363,66.7474,51.62915591093363,5.0,83.33333333333334,0.25,2469.738597181271,2.1411653733484277
2024-12-24,ALGO/USD,LONG,39.22671353251319,44.24699999999999,-5.020286467486805,5.0,100.0,0.25,2524.092326019855,1.7536600694309483
2024-12-24,XLM/USD,SHORT,-25.03527184011839,59.94180000000001,-84.9770718401184,1.0,20.0,-0.5,-5048.18465203971,1.2143102425612697
2024-12-24,XTZ/USD,LONG,0.990099009900991,32.22020000000001,-31.23010099009902,4.0,80.0,0.25,2524.092326019855,1.3894323838203961
2024-12-31,BONK/USD,LONG,-33.91153512575889,29.011547530033997,-62.92308265579288,4.0,80.0,0.25,2556.938936135084,1.2683220727218407
2024-12-31,XLM/USD,SHORT,-40.6582211514402,57.16620000000001,-97.82442115144022,1.0,20.0,-0.5,-5113.877872270168,0.9853764629146574
2024-12-31,XTZ/USD,LONG,-22.896634615384613,31.26110000000001,-54.157734615384626,5.0,100.0,0.25,2556.938936135084,1.1292162800140741
2025-01-28,ALGO/USD,LONG,11.672312904219284,29.3492,-17.676887095780714,6.0,85.71428571428571,0.25,2177.399452238994,1.2143041018175793
2025-01-28,PEPE/USD,SHORT,-35.94624860022395,27.290220346792,-63.23646894701595,1.0,14.285714285714285,-0.5,-4354.798904477988,1.1995124582385184
2025-01-28,XLM/USD,LONG,16.273221648263103,30.841300000000007,-14.568078351736904,7.0,100.0,0.25,2177.399452238994,1.2479970952788635
2025-02-04,LDO/USD,LONG,-18.238391574916225,26.412100000000006,-44.65049157491623,8.0,100.0,0.25,2442.863062843706,1.4773700288526481
2025-02-04,WIF/USD,SHORT,-61.8277010947168,10.2133,-72.0410010947168,1.0,12.5,-0.5,-4885.726125687412,1.3008232489964409
2025-02-04,XLM/USD,LONG,-22.63062457873105,22.907800000000005,-45.53842457873105,7.0,87.5,0.25,2442.863062843706,1.0694008616469506
2025-02-11,FLOKI/USD,LONG,-43.26982175783651,-7.242876813336,-36.026944944500514,7.0,87.5,0.25,2680.3961972480593,1.3244963419551836
2025-02-11,LDO/USD,LONG,1.6015374759769552,25.479300000000006,-23.87776252402305,8.0,100.0,0.25,2680.3961972480593,1.4054801594358888
2025-02-11,WIF/USD,SHORT,-59.300064808814,7.1225,-66.422564808814,1.0,12.5,-0.5,-5360.7923944961185,1.3232037751445949
2025-02-18,FLOKI/USD,LONG,-35.70934256055364,-17.758528267858,-17.950814292695636,7.0,87.5,0.25,2600.545396141501,1.147351593038845
2025-02-18,LDO/USD,LONG,7.768187422934636,24.510600000000007,-16.742412577065373,8.0,100.0,0.25,2600.545396141501,1.2592276695305442
2025-02-18,WIF/USD,SHORT,-59.90873533246415,6.7009,-66.60963533246415,1.0,12.5,-0.5,-5201.090792283002,1.3513380723678907
2025-02-25,FLOKI/USD,LONG,-35.879629629629626,-107.96990307275298,72.09027344312335,7.0,100.0,0.25,2570.9587237840283,1.2500038007654415
2025-02-25,WIF/USD,SHORT,-54.628099173553714,4.7936,-59.42169917355371,1.0,14.285714285714285,-0.5,-5141.917447568057,1.4743539283509992
2025-02-25,XLM/USD,LONG,-27.339501933533693,8.267600000000007,-35.6071019335337,6.0,85.71428571428571,0.25,2570.9587237840283,0.8812245276106118
2025-03-04,FLOKI/USD,LONG,-27.932405566600405,-101.39122087597798,73.45881530937757,7.0,100.0,0.25,2358.8430107329737,1.1155113018986782
2025-03-04,PEPE/USD,SHORT,-35.283194057567314,12.87540357253,-48.15859763009732,1.0,14.285714285714285,-0.5,-4717.686021465947,1.3282160044803641
2025-03-04,XLM/USD,LONG,-16.624351130362,8.472800000000007,-25.097151130362008,6.0,85.71428571428571,0.25,2358.8430107329737,1.1038591530926494
