date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,daily_return
2023-01-31,10111.673693075987,0,5055.836846537994,-5055.836846537994,0.0,10111.673693075987,1,1,
2023-02-01,10212.350416706131,0,5106.1752083530655,-5106.1752083530655,0.0,10212.350416706131,1,1,0.00995648462223242
2023-02-02,10465.481143783949,0,5232.7405718919745,-5232.7405718919745,0.0,10465.481143783949,1,1,0.02478672555768635
2023-02-03,10385.754398895697,0,5192.877199447848,-5192.877199447848,0.0,10385.754398895697,1,1,-0.007618067797638406
2023-02-04,10304.123087811604,0,5152.061543905802,-5152.061543905802,0.0,10304.123087811604,1,1,-0.007859930819543837
2023-02-05,10374.627212106408,0,5187.313606053204,-5187.313606053204,0.0,10374.627212106408,1,1,0.006842321631250758
2023-02-06,10682.902374574423,0,5341.451187287212,-5341.451187287212,0.0,10682.902374574423,1,1,0.02971433634822862
2023-02-07,10712.088052179944,0,0.0,-5356.044026089972,-5356.044026089972,5356.044026089972,0,2,0.0027319989064942263
2023-02-08,11111.15589112457,0,0.0,-5555.577945562285,-5555.577945562285,5555.577945562285,0,2,0.037253972988339434
2023-02-09,11126.672141679705,0,0.0,-5563.336070839852,-5563.336070839852,5563.336070839852,0,2,0.0013964569219597767
2023-02-10,11060.455125685401,0,0.0,-5530.2275628427005,-5530.2275628427005,5530.2275628427005,0,2,-0.005951196831464056
2023-02-11,11133.531704936318,0,0.0,-5566.765852468159,-5566.765852468159,5566.765852468159,0,2,0.006607013763946679
2023-02-12,11228.847353092404,0,0.0,-5614.423676546202,-5614.423676546202,5614.423676546202,0,2,0.008561133221889117
2023-02-13,11125.499383123944,0,0.0,-5562.749691561972,-5562.749691561972,5562.749691561972,0,2,-0.009203791512937265
2023-02-14,10682.251409323813,0,0.0,-5341.125704661907,-5341.125704661907,5341.125704661907,0,2,-0.039840726113605784
2023-02-15,11157.033358526029,0,0.0,-5578.516679263014,-5578.516679263014,5578.516679263014,0,2,0.044445869228261214
2023-02-16,10938.43137481051,0,0.0,-5469.215687405255,-5469.215687405255,5469.215687405255,0,2,-0.019593199795218452
2023-02-17,10771.842582111567,0,0.0,-5385.9212910557835,-5385.9212910557835,5385.9212910557835,0,2,-0.015229678460347729
2023-02-18,10858.708124036335,0,0.0,-5429.3540620181675,-5429.3540620181675,5429.3540620181675,0,2,0.008064130278790271
2023-02-19,10750.576564672912,0,0.0,-5375.288282336456,-5375.288282336456,5375.288282336456,0,2,-0.009958050085540848
2023-02-20,10868.749297134065,0,0.0,-5434.374648567033,-5434.374648567033,5434.374648567033,0,2,0.010992222765937587
2023-02-21,10918.31350048417,0,5459.156750242085,-5459.156750242085,0.0,10918.31350048417,1,2,0.004560249021768659
2023-02-22,10877.526086821956,0,5438.763043410978,-5438.763043410978,0.0,10877.526086821956,1,2,-0.0037356880859306107
2023-02-23,11152.24846629738,0,5576.12423314869,-5576.12423314869,0.0,11152.24846629738,1,2,0.02525596144588871
2023-02-24,11277.380368196273,0,5638.690184098136,-5638.690184098136,0.0,11277.380368196273,1,2,0.011220329449890487
2023-02-25,11158.073159832586,0,5579.036579916293,-5579.036579916293,0.0,11158.073159832586,1,2,-0.010579337086133012
2023-02-26,11193.363395379429,0,5596.681697689714,-5596.681697689714,0.0,11193.363395379429,1,2,0.0031627535544294094
2023-02-27,11368.22057161198,0,5684.11028580599,-5684.11028580599,0.0,11368.22057161198,1,2,0.015621504462611568
2023-02-28,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-01,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-02,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-03,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-04,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-05,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-06,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-07,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-08,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-09,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-10,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-11,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-12,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-13,11368.22057161198,0,0.0,0.0,0.0,0.0,0,0,0.0
2023-03-14,11541.024183771711,0,5770.512091885856,-5770.512091885856,0.0,11541.024183771711,1,1,0.015200585797151556
2023-03-15,11472.615357448716,0,5736.307678724358,-5736.307678724358,0.0,11472.615357448716,1,1,-0.00592744848582738
2023-03-16,11230.927343153093,0,5615.463671576546,-5615.463671576546,0.0,11230.927343153093,1,1,-0.021066514196233843
2023-03-17,11299.739107219628,0,5649.869553609814,-5649.869553609814,0.0,11299.739107219628,1,1,0.006126988623827767
2023-03-18,11011.952314057846,0,5505.976157028923,-5505.976157028923,0.0,11011.952314057846,1,1,-0.02546844581375418
2023-03-19,11270.974721537345,0,5635.487360768672,-5635.487360768672,0.0,11270.974721537345,1,1,0.023521933267803163
2023-03-20,11792.583043818819,0,5896.291521909409,-5896.291521909409,0.0,11792.583043818819,1,1,0.04627890090860998
2023-03-21,12074.736384936248,0,0.0,-6037.368192468124,-6037.368192468124,6037.368192468124,0,3,0.023926339129349827
2023-03-22,11823.043315463,0,0.0,-5911.5216577315,-5911.5216577315,5911.5216577315,0,3,-0.020844601608631774
2023-03-23,12071.765664365117,0,0.0,-6035.882832182559,-6035.882832182559,6035.882832182559,0,3,0.021037083453531835
2023-03-24,12134.755482917499,0,0.0,-6067.377741458749,-6067.377741458749,6067.377741458749,0,3,0.005217945767314047
2023-03-25,12072.378611359949,0,0.0,-6036.1893056799745,-6036.1893056799745,6036.1893056799745,0,3,-0.005140348451632137
