rebalance_period,final_value,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown
1,9060.106570218792,-0.0939893429781209,-0.02006119795482819,0.3906461722907227,-0.051353883329230354,-0.4861132056502287
2,9813.318591941545,-0.018668140805845557,-0.003861544935775174,0.3877969834038778,-0.009957645626535217,-0.5409550618018025
3,9567.256978407082,-0.043274302159291844,-0.009041581993379677,0.390347764107361,-0.023162889158737147,-0.49182180499831696
5,7368.611505115257,-0.2631388494884742,-0.06076841645476183,0.38530024937545576,-0.15771704418375826,-0.6417069066059958
7,14282.704607010272,0.42827046070102726,0.0759310473461916,0.3927789935081932,0.19331748540826107,-0.5776427986470396
10,11736.781153161035,0.17367811531610355,0.03342566688683801,0.37749855201792126,0.08854515257915789,-0.5465377291635957
30,11972.75098813521,0.197275098813521,0.03765779804079816,0.3875742959670922,0.0971627851295783,-0.48901623686723955
