Rebalance,Ann Return,Sharpe,Sortino,Max DD,Calmar,Win Rate,Volatility
3d,0.18550855092766239,0.46647570290379675,0.5205164887646437,-0.3777665913118385,0.4910665876605508,0.4444444444444444,0.39768105771185386
5d,0.04788952527590262,0.11881437888440731,0.12297968657914059,-0.48247495163178383,0.09925805498075067,0.4548611111111111,0.40306169779748297
7d,0.26334439056987824,0.6710786796164189,0.7310353473661654,-0.3678122664409118,0.715975008441389,0.4479166666666667,0.3924195456789105
10d,0.155103037242885,0.4087102044755479,0.4560220935197456,-0.4611130385270826,0.3363666265832024,0.4496527777777778,0.37949391902732493
14d,-0.007993699166994328,-0.021837331116932982,-0.023551050448563867,-0.38493164571688654,-0.020766541945666933,0.43344907407407407,0.36605659932480933
21d,-0.10602197929708868,-0.2570291177576555,-0.27378467583132493,-0.551398494157459,-0.1922783257852219,0.4461805555555556,0.41249014983996246
