date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_zscore,spread_mean,spread_std,weight,position_size,volatility
2021-04-15,GRT/USD,LONG,22.65086961596825,439.5235,-416.87263038403177,-1.756790074518398,-83.41283176256779,189.81197779870072,1.0,12014.750443085017,1.3043645361601357
2021-05-27,LINK/USD,SHORT,-13.862556508120482,-51.3103,37.447743491879514,2.383440557403306,-86.92691069520134,52.182821929733244,-0.5,-1200.045737808015,2.7080906381169507
2021-05-27,XTZ/USD,SHORT,-28.62794163646065,62.99300000000001,-91.62094163646066,2.0456572336615535,-251.40112453962118,78.10701630456805,-0.5,-1200.045737808015,2.5402949694284143
2021-06-03,GRT/USD,SHORT,-33.628812731206814,-51.43529999999999,17.806487268793177,1.5765648401398786,-205.5793157638916,141.6914784252484,-0.3333333333333333,-3327.602702074906,2.606313864021358
2021-06-03,LINK/USD,SHORT,-29.35036096178637,-74.9064,45.55603903821363,1.991256931893824,-78.65168550575406,62.37654345581486,-0.3333333333333333,-3327.602702074906,2.8025014050270105
2021-06-03,XTZ/USD,SHORT,-29.44300942263616,27.25580000000001,-56.698809422636174,2.120933023068941,-228.3994986999723,80.95526233491768,-0.3333333333333333,-3327.602702074906,2.566381308138652
2021-06-10,GRT/USD,SHORT,-54.67040481400437,-145.43519999999998,90.76479518599561,1.9571529386204265,-201.02689414474722,149.08987620375916,-0.3333333333333333,-4153.214005894833,2.6450635450005735
2021-06-10,LINK/USD,SHORT,-52.64408303780226,-102.57600000000001,49.93191696219775,1.6985856639925265,-70.16481492628697,70.70395943775793,-0.3333333333333333,-4153.214005894833,2.78931870772623
2021-06-10,XTZ/USD,SHORT,-54.09259648385515,-17.483499999999992,-36.609096483855154,1.889871453916566,-207.8372409474165,90.60306409132137,-0.3333333333333333,-4153.214005894833,2.370452048365161
2021-06-17,GRT/USD,SHORT,-44.04470549845,-180.64950000000002,136.60479450155003,1.8587951399932194,-182.29656807811628,171.56347986837838,-0.3333333333333333,-3229.765629222623,2.6704215507082787
2021-06-17,LINK/USD,SHORT,-45.0659792966984,-110.5034,65.4374207033016,1.56743319243039,-58.76634488881356,79.24022930733686,-0.3333333333333333,-3229.765629222623,2.680907036536201
2021-06-17,XTZ/USD,SHORT,-41.30707126948775,-24.97479999999999,-16.33227126948776,1.7079248883007565,-187.32605713495775,100.11786059022455,-0.3333333333333333,-3229.765629222623,2.2475225026998973
2021-08-19,ADA/USD,SHORT,131.18666540392084,34.1607,97.02596540392085,2.4824775168893107,29.762587507147185,27.09526166466901,-0.5,-4297.682543229984,1.0057227991652713
2021-08-19,XLM/USD,SHORT,73.0787733579844,24.816700000000008,48.26207335798439,2.012390600101663,-20.23111532271297,34.035732763429316,-0.5,-4297.682543229984,0.9668740594157542
2021-08-26,GRT/USD,LONG,52.46826516220027,71.04,-18.571734837799738,-2.195099337444985,77.79313573977475,43.90000440241563,1.0,10215.46942493738,1.1549067325947522
2021-09-02,GRT/USD,LONG,40.244468513074416,90.03390000000002,-49.7894314869256,-2.6685134191224327,76.21021799693858,47.21716914779481,1.0,10491.400934409568,1.1725312234132876
2021-09-09,ADA/USD,LONG,50.0,74.02,-24.019999999999996,-1.880072096888895,26.013764347526276,26.612683859475986,0.3333333333333333,3136.5616918009387,1.3106217490766348
2021-09-09,DOGE/USD,LONG,-1.8640776699029193,75.1007,-76.96477766990293,-1.6679874107261172,-25.08017007698278,31.10611462608909,0.3333333333333333,3136.5616918009387,1.1930509779444556
2021-09-09,GRT/USD,LONG,14.068542472329648,80.78070000000001,-66.71215752767036,-2.1871793205374463,65.59197536901434,60.49075704692295,0.3333333333333333,3136.5616918009387,1.4380419946035443
2021-09-16,ADA/USD,LONG,25.729594756281536,55.204499999999996,-29.47490524371846,-1.5506704290420736,18.496089458970882,30.93564809404627,0.3333333333333333,3248.104895514468,1.2559873622977367
2021-09-16,GRT/USD,LONG,-1.4614499424626004,62.46660000000001,-63.92804994246261,-1.676449456263088,50.893321268164215,68.49080405118262,0.3333333333333333,3248.104895514468,1.4708873087981074
2021-09-16,XTZ/USD,SHORT,104.31381774340576,80.11330000000001,24.200517743405754,2.0162168683086463,-22.545042998933415,23.18478804393341,-0.3333333333333333,-3248.104895514468,1.9365793601572274
2021-09-23,ADA/USD,LONG,-14.436399720680647,40.732499999999995,-55.16889972068064,-1.7946436116840456,12.683269317713522,37.808157896443575,1.0,9760.357745343044,1.147974182409194
2021-10-07,XTZ/USD,SHORT,72.13800904977377,30.98100000000001,41.15700904977376,2.4026475045623537,-16.4714451616833,23.985396984795813,-1.0,-9791.217810352613,1.9286392442097704
2021-10-28,CRV/USD,SHORT,113.33602657330104,29.557399999999994,83.77862657330104,2.7393173445733217,9.241024952162986,27.210283528777527,-0.5,-5940.0006636751095,1.4818019812294405
2021-10-28,XTZ/USD,LONG,12.432788324371757,88.78620000000002,-76.35341167562827,-1.9595876013204743,-18.927806928580438,29.30494391184727,0.5,5940.0006636751095,1.1565840578166418
2021-11-18,GRT/USD,LONG,11.153846153846159,101.98640000000002,-90.83255384615386,-1.6258542666446505,-50.19885970351642,24.99221177215043,0.5,5000.0,1.2332982591144797
2021-11-18,XLM/USD,LONG,-12.322317984603115,60.67260000000001,-72.99491798460312,-1.6809791611490557,-32.526558764046115,24.07427775183978,0.5,5000.0,0.8773709703779928
