date,iqr_spread,p25,p75,median,mean,std,min,max,range,num_coins,regime,iqr_percentile
2021-04-10,41.04565597456222,2.252237690718459,43.29789366528068,24.70477948800024,37.08895099894809,68.34032673289266,-22.215074514849363,312.46509692474655,334.68017143959594,20,MEDIUM_SPREAD,50.0
2021-04-11,46.51888805080885,8.182710117883607,54.701598168692456,27.83468320371415,42.23572341350471,66.48963707881715,-27.024661483807854,305.90458592306396,332.9292474068718,20,MEDIUM_SPREAD,100.0
2021-04-12,37.56418392609408,5.510283721460453,43.074467647554535,14.052878118235057,29.778813708083465,53.323760931789685,-29.7001532063909,239.65194553985674,269.35209874624763,20,MEDIUM_SPREAD,0.0
2021-04-13,56.36826595409382,10.274563931108993,66.64282988520281,26.148607545118807,40.57757236778518,47.66517973080713,-23.2748198655641,204.69572447790227,227.97054434346637,20,MEDIUM_SPREAD,100.0
2021-04-14,49.43179869514705,17.46753476197099,66.89933345711805,38.32492191884865,48.74458395540469,48.0649530171654,-11.529328550497652,215.1976020065761,226.72693055707373,20,MEDIUM_SPREAD,75.0
2021-04-15,39.649536914021795,25.234050372131108,64.8835872861529,44.10040565364238,51.861416554166894,41.78873961687462,-13.035528981568401,168.93336458728268,181.9688935688511,20,MEDIUM_SPREAD,20.0
2021-04-16,54.46032378303475,15.762576506882422,70.22290028991718,40.60438491122622,51.59766253299783,50.29633533876135,-18.35138387484958,205.57543943370717,223.92682330855675,20,MEDIUM_SPREAD,83.33333333333334
2021-04-17,51.28242776746128,14.273049645390067,65.55547741285135,35.502864417568446,50.03259330066374,53.73248777969421,-19.648376146324154,230.30327936220928,249.95165550853343,21,MEDIUM_SPREAD,71.42857142857143
2021-04-18,48.686985250260896,-2.0801468338941698,46.60683841636673,23.880003094982815,34.3401786297936,50.76889114517959,-30.637520971084562,207.22154222766216,237.85906319874672,21,MEDIUM_SPREAD,50.0
2021-04-19,37.35595229128633,-6.680492658992165,30.675459632294167,19.781673650821773,22.753880706276078,45.79773704856068,-37.53850893407271,177.3555861621972,214.8940950962699,21,MEDIUM_SPREAD,0.0
2021-04-20,45.32460769883363,-1.8042099137731804,43.52039778506045,30.75112107623317,30.305871761885957,47.10153431851283,-32.63715875960773,182.125281508049,214.76244026765673,21,MEDIUM_SPREAD,40.0
2021-04-21,43.343469546344096,-0.5714463130430225,42.77202323330107,24.625826440495004,31.096921766825744,44.593140904662164,-28.10642350089456,173.15987675453616,201.2663002554307,21,MEDIUM_SPREAD,36.36363636363637
2021-04-22,48.06800662974581,-4.865072644415724,43.202933985330084,13.966125706768517,26.071652213674707,43.52044111060995,-24.928419128845558,174.42657742225123,199.35499655109678,21,MEDIUM_SPREAD,58.333333333333336
2021-04-23,49.323102477632695,0.5103140947315454,49.83341657236424,21.097004064836653,31.544131060516676,44.44334996000854,-20.643647334897754,188.72253720765414,209.3661845425519,21,MEDIUM_SPREAD,69.23076923076923
2021-04-24,35.60065261110617,-2.408403143089424,33.19224946801675,9.059225765498013,20.498113085029022,38.655891900865825,-27.6541211385404,168.16131360519665,195.81543474373706,24,MEDIUM_SPREAD,0.0
2021-04-25,30.069752426441788,-10.217699004540432,19.852053421901356,1.9494073762682917,9.62914386785363,36.356366146316006,-34.654701057886605,149.1899228093986,183.8446238672852,24,MEDIUM_SPREAD,0.0
2021-04-26,42.48655704906811,-7.086037997892969,35.40051905117514,11.631077544349077,20.369268752658808,43.28059136828159,-40.17027863777089,178.93217893217889,219.10245756994976,24,MEDIUM_SPREAD,37.5
2021-04-27,43.38278821852902,-2.3188386106243657,41.063949607904654,23.62661780098454,26.976255314124796,41.94513201002167,-22.923207623831864,184.19503993274486,207.11824755657673,24,MEDIUM_SPREAD,47.05882352941176
2021-04-28,42.19769464132886,-8.333484155540141,33.86421048578872,12.881789444015112,21.06532568985484,41.40151972981212,-26.245434623813,176.77388836329237,203.01932298710537,24,MEDIUM_SPREAD,33.33333333333333
2021-04-29,40.24555756181232,-8.892471018923668,31.353086542888647,4.270906483399295,17.221984058743896,39.218584791372315,-34.427887532870336,165.1475561020596,199.57544363492994,24,MEDIUM_SPREAD,26.31578947368421
2021-04-30,38.35092545116759,-3.0995130937983837,35.251412357369205,13.058810797675125,21.58708283359981,37.87668472769179,-26.541289592760187,158.3067206018026,184.8480101945628,24,MEDIUM_SPREAD,20.0
2021-05-01,39.226467663500685,-2.4015052281544658,36.82496243534622,11.997372517220828,23.848460170419173,46.4595094592301,-27.278161530286937,213.18404478656404,240.462206316851,24,MEDIUM_SPREAD,23.809523809523807
2021-05-02,33.14265511624924,-6.357592738113222,26.785062378136015,3.2874755349415086,15.515836055929142,43.307824817415934,-30.009407337723417,193.9836333878887,223.9930407256121,24,MEDIUM_SPREAD,4.545454545454546
2021-05-03,44.55679404555322,-0.2883337225855931,44.26846032296763,15.383111223349866,32.602521878520456,59.27538741472889,-25.99857346647645,285.3371571439077,311.33573061038413,24,MEDIUM_SPREAD,60.86956521739131
2021-05-04,41.43506623881598,-11.24833061245705,30.18673562635893,-0.890638904896146,21.91138017352968,79.12003451166619,-37.917998419081,377.28552785218767,415.2035262712687,24,MEDIUM_SPREAD,41.66666666666667
2021-05-05,51.14563411047743,-5.24180386511118,45.90383024536625,6.267303278305869,38.94897512625425,109.10191068605714,-29.22117054840654,535.63404892661,564.8552194750166,24,MEDIUM_SPREAD,88.0
2021-05-06,54.09160802732974,-1.747997376354518,52.34361065097522,14.32072827330294,50.45370536035936,138.07923985687736,-25.929961089494157,691.0441902198295,716.9741513093236,24,MEDIUM_SPREAD,92.3076923076923
