date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,daily_funding_cost,daily_return,log_return
2020-02-20,10358.930395915984,0,1,0.0,0.5,-0.5,0.5,-0.017886,,
2020-02-21,9589.106053637403,0,1,0.0,0.5,-0.5,0.5,0.1036155,-0.07431504150101109,-0.07722131982678014
2020-02-22,8893.902351727105,0,1,0.0,0.5,-0.5,0.5,0.04314900000000001,-0.07249932350540522,-0.07526175512658667
2020-02-23,9037.550333900332,0,1,0.0,0.5,-0.5,0.5,0.035418000000000005,0.016151288432499022,0.016022244008400514
2020-02-24,9029.243397361639,0,1,0.0,0.5,-0.5,0.5,0.06593700000000001,-0.0009191579832792396,-0.0009195806680075631
2020-02-25,8342.835899430891,0,1,0.0,0.5,-0.5,0.5,0.086784,-0.07602048895163438,-0.07906538177638438
2020-02-26,8168.863919141604,0,1,0.0,0.5,-0.5,0.5,0.015,-0.020852858954250153,-0.021073350456317648
2020-02-27,8046.092107492125,1,0,0.5,0.0,0.5,0.5,0.015,-0.015029239422362672,-0.015143322943401365
2020-02-28,7856.401941550124,1,0,0.5,0.0,0.5,0.5,0.015,-0.02357544052539129,-0.023857787692192572
2020-02-29,7565.268623881445,1,0,0.5,0.0,0.5,0.5,0.015,-0.03705682573710534,-0.03776087799791422
2020-03-01,7700.171206936168,1,0,0.5,0.0,0.5,0.5,0.015,0.01783182987433829,0.017674707894777868
2020-03-02,7530.5366085422365,1,0,0.5,0.0,0.5,0.5,0.015,-0.022029977494672837,-0.022276261252140613
2020-03-03,7883.1297009477,1,0,0.5,0.0,0.5,0.5,0.015,0.046821775224557216,0.04575869316227508
2020-03-04,7744.0252526834865,1,0,0.5,0.0,0.5,0.5,0.015,-0.017645840363059162,-0.017803384285294196
2020-03-05,7725.733145506016,1,0,0.5,0.0,0.5,0.5,0.015960000000000002,-0.0023620929142931235,-0.002364887056644096
2020-03-06,7346.67945397713,1,0,0.5,0.0,0.5,0.5,0.0211905,-0.04906378260675204,-0.0503082876730928
2020-03-07,6238.651322913836,1,0,0.5,0.0,0.5,0.5,0.09114749999999999,-0.15082026349515787,-0.16348441130202812
2020-03-08,5513.258967613397,1,0,0.5,0.0,0.5,0.5,0.1146885,-0.11627390564947238,-0.12360811237707446
2020-03-09,5310.370848203362,1,0,0.5,0.0,0.5,0.5,0.04483200000000001,-0.03680003435388457,-0.037494240093989495
2020-03-10,5142.827118937501,1,0,0.5,0.0,0.5,0.5,0.015,-0.03155028792811054,-0.03205872100211677
2020-03-11,3732.231609984207,1,0,0.5,0.0,0.5,0.5,0.015,-0.274284061340316,-0.3205966097868498
2020-03-12,4935.681845746117,0,1,0.0,0.5,-0.5,0.5,-0.41678099999999996,0.322447897537367,0.2794844870270668
2020-03-13,5159.795625819384,0,1,0.0,0.5,-0.5,0.5,0.015,0.04540685300986791,0.044406142670135644
2020-03-14,5113.132730877428,0,1,0.0,0.5,-0.5,0.5,0.023248500000000002,-0.0090435548858675,-0.009084696057823876
2020-03-15,5009.957986856745,0,1,0.0,0.5,-0.5,0.5,0.09310650000000001,-0.020178381718437777,-0.02038474604723485
2020-03-16,4876.28720439656,0,1,0.0,0.5,-0.5,0.5,0.015,-0.026681018645437926,-0.027043417680299702
2020-03-17,4675.4327449507,0,1,0.0,0.5,-0.5,0.5,0.027520499999999996,-0.04119003886087047,-0.04206238730281526
2020-03-18,3820.4471847660284,0,1,0.0,0.5,-0.5,0.5,0.12543300000000002,-0.1828676845171231,-0.2019542443796636
2020-03-19,4368.904233329684,0,1,0.0,0.5,-0.5,0.5,-0.14896800000000002,0.14355833807901308,0.134144750301375
2020-03-20,5153.936216994608,0,1,0.0,0.5,-0.5,0.5,-0.15775649999999997,0.1796862420732499,0.1652485065727253
2020-03-21,5384.945266610778,0,1,0.0,0.5,-0.5,0.5,0.015,0.044821868158639644,0.04384640979442024
2020-03-22,4937.584912265968,0,1,0.0,0.5,-0.5,0.5,0.0220245,-0.0830761191053615,-0.08673081901009491
2020-03-23,4695.213397504801,0,1,0.0,0.5,-0.5,0.5,0.025092,-0.04908705755298848,-0.05033276379531014
2020-03-24,5124.89862892663,0,1,0.0,0.5,-0.5,0.5,-0.07297200000000001,0.09151559152778432,0.08756718140220585
2020-03-25,4982.21153456532,0,1,0.0,0.5,-0.5,0.5,0.015,-0.027841934971345017,-0.028236869400389664
2020-03-26,4658.590121064661,1,0,0.5,0.0,0.5,0.5,0.015,-0.06495537398511808,-0.06716102247424942
2020-03-27,4554.167849374105,1,0,0.5,0.0,0.5,0.5,0.015,-0.02241499444615047,-0.0226700287001828
2020-03-28,4276.623781482419,1,0,0.5,0.0,0.5,0.5,0.031339500000000006,-0.06094287190794467,-0.06287896233584479
2020-03-29,4406.157465999165,1,0,0.5,0.0,0.5,0.5,0.015,0.030288772437178313,0.029839124537071653
2020-03-30,4345.010806116628,1,0,0.5,0.0,0.5,0.5,0.015,-0.013877547580717353,-0.013974740995970054
2020-03-31,4282.31426030322,1,0,0.5,0.0,0.5,0.5,0.015,-0.01442954888055703,-0.014534667253523448
2020-04-01,4294.142868068214,1,0,0.5,0.0,0.5,0.5,0.015,0.0027621998400828573,0.0027583919765462642
2020-04-02,5232.668509022832,0,1,0.0,0.5,-0.5,0.5,-0.199581,0.21855948201761355,0.19766940866320634
2020-04-03,5120.98407887186,0,1,0.0,0.5,-0.5,0.5,0.015,-0.02134368534112019,-0.021574755636416778
2020-04-04,5095.060165855496,0,1,0.0,0.5,-0.5,0.5,0.015,-0.005062291273921549,-0.005075148078673516
2020-04-05,4685.325972967751,0,1,0.0,0.5,-0.5,0.5,0.015,-0.08041793022064303,-0.08383598413078527
2020-04-06,4332.722558238579,0,1,0.0,0.5,-0.5,0.5,0.066684,-0.07525696542002347,-0.07823938051748516
2020-04-07,4073.334010958229,0,1,0.0,0.5,-0.5,0.5,0.015,-0.059867333713101045,-0.0617342793288377
2020-04-08,3909.647746419964,0,1,0.0,0.5,-0.5,0.5,0.050412,-0.04018483730966094,-0.04101455192247195
2020-04-09,4045.695246543766,0,1,0.0,0.5,-0.5,0.5,0.015,0.03479789202195516,0.03420613424025894
2020-04-10,3794.3912339838243,0,1,0.0,0.5,-0.5,0.5,0.046669499999999996,-0.06211639711978567,-0.06412942842184616
2020-04-11,3693.469201948792,0,1,0.0,0.5,-0.5,0.5,0.021729000000000002,-0.026597687431686334,-0.026957805821979125
2020-04-12,3691.385440262027,0,1,0.0,0.5,-0.5,0.5,0.015,-0.0005641746479612131,-0.0005643338543608733
2020-04-13,3506.8971815144823,0,1,0.0,0.5,-0.5,0.5,0.0499335,-0.04997805342550432,-0.051270192997025836
2020-04-14,3495.575842106093,0,1,0.0,0.5,-0.5,0.5,0.015,-0.0032283066261725724,-0.003233528850331645
2020-04-15,3024.6706804291143,0,1,0.0,0.5,-0.5,0.5,0.09626250000000001,-0.13471461726124567,-0.14469590422129833
2020-04-16,2975.4423733643666,1,0,0.5,0.0,0.5,0.5,0.015,-0.016275592375485815,-0.016409494710128605
2020-04-17,3683.904972103684,1,0,0.5,0.0,0.5,0.5,-0.15862800000000002,0.23810328342479403,0.21358059842774132
2020-04-18,4026.240339429807,1,0,0.5,0.0,0.5,0.5,-0.106596,0.09292730673523142,0.0888596989636437
2020-04-19,3859.062245133993,1,0,0.5,0.0,0.5,0.5,0.015,-0.04152213484590184,-0.042408809977385324
2020-04-20,3819.136544085757,1,0,0.5,0.0,0.5,0.5,0.015,-0.010345959332109689,-0.010399850797551824
2020-04-21,3772.3397627885606,1,0,0.5,0.0,0.5,0.5,0.054201,-0.012253235975462906,-0.012328925803786642
2020-04-22,3980.211816942706,1,0,0.5,0.0,0.5,0.5,-0.020496,0.05510427671564866,0.05363960253239706
2020-04-23,3863.031053365535,0,1,0.0,0.5,-0.5,0.5,-0.011857499999999998,-0.02944083605760961,-0.0298829159000399
2020-04-24,4773.173414074837,0,1,0.0,0.5,-0.5,0.5,-0.23896949999999997,0.23560316967070993,0.21155924734769294
2020-04-25,4859.45097956321,0,1,0.0,0.5,-0.5,0.5,0.000342,0.01807551454844769,0.017914094697856774
2020-04-26,4802.05096419149,0,1,0.0,0.5,-0.5,0.5,0.015,-0.011812037123765773,-0.011882353502563526
2020-04-27,4726.6918863083265,0,1,0.0,0.5,-0.5,0.5,0.015,-0.01569310247748512,-0.015817542830616992
2020-04-28,5594.520439258031,0,1,0.0,0.5,-0.5,0.5,-0.20109899999999997,0.1836016761455339,0.16856205768479882
2020-04-29,5691.5338670802,0,1,0.0,0.5,-0.5,0.5,0.015,0.017340794242416857,0.01719215851726466
2020-04-30,7281.748473048715,0,1,0.0,0.5,-0.5,0.5,-0.25347,0.27940000764403905,0.24639122400860633
2020-05-01,7119.048849768002,0,1,0.0,0.5,-0.5,0.5,0.015,-0.022343483008634424,-0.022596880256143165
2020-05-02,7135.403697231705,0,1,0.0,0.5,-0.5,0.5,0.015,0.0022973360358717887,0.002294701194080649
2020-05-03,6699.304916453833,0,1,0.0,0.5,-0.5,0.5,0.0549795,-0.06111760445271841,-0.06306505197619632
2020-05-04,6420.370098620012,0,1,0.0,0.5,-0.5,0.5,0.048303,-0.04163638188026686,-0.04252801340187005
2020-05-05,5968.584257225904,0,1,0.0,0.5,-0.5,0.5,0.091587,-0.07036756985258752,-0.07296600736195967
2020-05-06,4711.884927305635,0,1,0.0,0.5,-0.5,0.5,0.22426800000000002,-0.21055233130014683,-0.23642173158737775
2020-05-07,4195.0146349116485,1,0,0.5,0.0,0.5,0.5,0.122604,-0.10969501597942133,-0.11619119628207113
2020-05-08,3493.395245139822,1,0,0.5,0.0,0.5,0.5,0.19301549999999998,-0.16725076092293623,-0.18302271565591197
2020-05-09,3149.5146781615526,1,0,0.5,0.0,0.5,0.5,0.0576015,-0.09843734901073453,-0.10362574237053686
2020-05-10,2999.7503556197053,1,0,0.5,0.0,0.5,0.5,0.021291000000000004,-0.04755155566675062,-0.04871930013043548
2020-05-11,2841.4621670188853,1,0,0.5,0.0,0.5,0.5,0.07192649999999999,-0.0527671205386423,-0.05421030318568282
2020-05-12,2832.3707596176196,1,0,0.5,0.0,0.5,0.5,0.015,-0.0031995525074345332,-0.003204682019910413
2020-05-13,2775.254390416207,1,0,0.5,0.0,0.5,0.5,0.015,-0.02016556942888481,-0.020371669987728745
2020-05-14,2702.5618479378477,1,0,0.5,0.0,0.5,0.5,0.015,-0.026193109622450694,-0.026542259496042084
