date,forward_return,strategy_return,direction_class
2021-01-01,0.2193560996388834,-0.2193560996388834,Down
2021-01-02,0.4664855072463767,-0.4664855072463767,Down
2021-01-03,0.24306513107807665,0.24306513107807665,Up
2021-01-04,0.17824950508380907,0.17824950508380907,Up
2021-01-05,0.3149550589667137,0.3149550589667137,Up
2021-01-06,0.0254233195625317,0.0254233195625317,Up
2021-01-07,0.014795114308316065,0.014795114308316065,Up
2021-01-08,0.06204380590502234,0.06204380590502234,Up
2021-01-09,-0.036448167536086803,-0.036448167536086803,Up
2021-01-10,-0.11201569890594747,-0.11201569890594747,Up
2021-01-11,-0.0332569300160851,-0.08076107146260116,Up
2021-01-12,0.0330765416351105,-0.0330765416351105,Down
2021-01-13,-0.04536677916804074,-0.0011257417919920039,Up
2021-01-14,-0.008598739936592098,-0.010861331534942967,Up
2021-01-15,0.012460399213678267,-0.012460399213678267,Down
2021-01-16,-0.13876658118567844,0.002318690132150858,Down
2021-01-17,-0.1077407704361798,-0.0001514847218941351,Up
2021-01-18,-0.0823181594146477,-0.004226326099934251,Up
2021-01-19,-0.09333331541082923,0.09333331541082923,Down
2021-01-20,-0.0890510406733343,-0.01159022209175805,Up
2021-01-21,0.06713345322209588,-0.06713345322209588,Down
2021-01-22,-0.0346467992191153,0.0370333102437587,Down
2021-01-23,0.04743446469037443,-0.04743446469037443,Down
2021-01-24,0.026265934437337133,-0.026265934437337133,Down
2021-01-25,0.12726593954108747,-0.12726593954108747,Down
2021-01-26,0.09391537782892377,0.09955371854579849,Up
2021-01-27,0.22359826290169113,-0.22359826290169113,Down
2021-01-28,0.08372728512362355,0.08372728512362355,Up
2021-01-29,0.11543243926360035,0.06621543702646406,Down
2021-01-30,0.0002896592234061003,0.0002896592234061003,Up
2021-01-31,0.15049759376463995,-0.00439003147229465,Down
2021-02-01,0.1686358284414727,0.1686358284414727,Up
2021-02-02,0.09988663393046143,0.09988663393046143,Up
2021-02-03,0.15987338646347451,0.15987338646347451,Up
2021-02-04,0.24393616934155415,0.016053384066646248,Up
2021-02-05,0.1898512976399975,0.1898512976399975,Up
2021-02-06,0.2979048822752958,0.2979048822752958,Up
2021-02-07,0.35467027228884385,0.35467027228884385,Up
2021-02-08,0.4795295931436642,0.4795295931436642,Up
2021-02-09,0.3050825722443709,0.3050825722443709,Up
2021-02-10,0.2032529739560446,0.2032529739560446,Up
2021-02-11,0.0821130010177297,0.0821130010177297,Up
2021-02-12,0.10773386073420994,0.10773386073420994,Up
2021-02-13,-0.024096613306371698,-0.024096613306371698,Up
2021-02-14,0.025374909068910184,0.025374909068910184,Up
2021-02-15,0.03135062163686646,0.03135062163686646,Up
2021-02-16,0.07625434525916708,0.07625434525916708,Up
2021-02-17,-0.07318602563939473,0.004361835956855467,Down
2021-02-18,-0.1962443861482762,0.06893943662521924,Up
2021-02-19,-0.16116749433633135,0.04960367095675355,Up
2021-02-20,-0.23072741309476266,-0.03826937359697815,Down
2021-02-21,-0.2516585732940265,-0.2516585732940265,Up
2021-02-22,-0.15394627247168344,0.0804233061606056,Up
2021-02-23,-0.040122549984039364,0.040122549984039364,Down
2021-02-24,-0.024268863041168636,0.024268863041168636,Down
2021-02-25,0.031780051834265875,-0.031780051834265875,Down
2021-02-26,0.09074474889207299,-0.09074474889207299,Down
2021-02-27,0.009538595794286852,-0.009538595794286852,Down
2021-02-28,0.05278841894246063,-0.04654608145691937,Up
2021-03-01,-0.019029421727584716,-0.001796834028902821,Up
2021-03-02,0.028156642406990007,-0.006408487913598277,Up
2021-03-03,0.00964787957140659,0.00964787957140659,Up
2021-03-04,0.11741675146715974,0.07344104052548418,Down
2021-03-05,0.10207873318450068,0.10049871297149252,Up
2021-03-06,0.10645265743631774,-0.05499074858151157,Down
2021-03-07,0.047010907439654796,0.04201930392706471,Up
2021-03-08,0.07177619339670878,0.06951778966007433,Up
2021-03-09,-0.04389192115580263,-0.04389192115580263,Up
2021-03-10,-0.035540554365140566,-0.035540554365140566,Up
2021-03-11,-0.015684644226110354,-0.015684644226110354,Up
2021-03-12,0.04845817604608954,-0.024767496604039322,Down
2021-03-13,-0.03406222325891912,-0.034822401922013364,Down
2021-03-14,0.014363766585756733,-0.003553487590746283,Down
2021-03-15,0.06263976751689694,-0.01574091935555125,Down
2021-03-16,0.03324291391041475,0.01855025106159097,Down
2021-03-17,-0.05410009684454032,-0.03722110977766424,Up
2021-03-18,-0.046205780245740895,0.03693726762108566,Down
2021-03-19,-0.13360211155526,0.016745673719969278,Down
2021-03-20,-0.15796079473391725,-0.13407989945014429,Up
2021-03-21,-0.05398244880928,0.004420297153170001,Down
2021-03-22,-0.00829921975211107,0.00829921975211107,Down
2021-03-23,0.037745957071947896,-0.04204275486992677,Down
2021-03-24,0.15520733067470027,-0.15520733067470027,Down
2021-03-25,0.17922226803761712,-0.17922226803761712,Down
2021-03-26,0.10763173223187798,-0.07800918087019619,Down
2021-03-27,0.15407426337048644,0.00034863383509353696,Up
2021-03-28,0.19203420009399,0.058732164433005565,Up
2021-03-29,0.04106117366500798,0.04106117366500798,Up
2021-03-30,0.12937109857651147,0.12937109857651147,Up
2021-03-31,0.18479711727573067,0.15104943903598217,Up
2021-04-01,0.1530501155530147,0.1530501155530147,Up
2021-04-02,0.011281037303190928,0.011281037303190928,Up
2021-04-03,0.1595457835395648,0.12538117102211185,Up
2021-04-04,0.05545552835471157,0.019163808583439555,Up
2021-04-05,0.04418030654624399,0.01694707991387859,Up
2021-04-06,0.06079850809073101,0.03742154765929591,Up
