date,symbol,old_weight,new_weight,weight_change,autocorr_lag1_30d,position_type
2020-01-31,DASH/USD,0.0,0.10099154493245847,0.10099154493245847,0.3614299050853206,long
2020-01-31,ETH/USD,0.0,-0.20493110796955563,-0.20493110796955563,-0.3217757770080048,short
2020-01-31,XTZ/USD,0.0,-0.18652715247976098,-0.18652715247976098,-0.42682449184156823,short
2020-01-31,ETC/USD,0.0,0.13885225824830763,0.13885225824830763,0.10803185638802675,long
2020-01-31,LINK/USD,0.0,0.2601561968192339,0.2601561968192339,0.04020919400431534,long
2020-01-31,BCH/USD,0.0,-0.10854173955068336,-0.10854173955068336,-0.32112636251234133,short
2020-02-07,DASH/USD,0.10099154493245847,0.10467819407996422,0.003686649147505744,0.34355303434415485,long
2020-02-07,EOS/USD,0.0,-0.17494419434783298,-0.17494419434783298,-0.2877095166097132,short
2020-02-07,LINK/USD,0.2601561968192339,0.2538931659797112,-0.006263030839522732,0.03272906345816953,long
2020-02-07,XTZ/USD,-0.18652715247976098,-0.2008285485504781,-0.01430139607071712,-0.30583121233234506,short
2020-02-07,ETC/USD,0.13885225824830763,0.14142863994032462,0.002576381692016988,0.11963137533276393,long
2020-02-07,ETH/USD,-0.20493110796955563,0.0,0.20493110796955563,-0.24406480777772951,close
2020-02-07,BCH/USD,-0.10854173955068336,-0.12422725710168889,-0.01568551755100553,-0.29040098914311385,short
2020-02-14,DASH/USD,0.10467819407996422,0.13110179175025183,0.02642359767028761,0.1816078351219277,long
2020-02-14,EOS/USD,-0.17494419434783298,0.0,0.17494419434783298,-0.14655149326916164,close
2020-02-14,LINK/USD,0.2538931659797112,0.0,-0.2538931659797112,-0.14836951024680645,close
2020-02-14,OXT/USD,0.0,-0.12621689348807674,-0.12621689348807674,-0.18666721882012702,short
2020-02-14,XTZ/USD,-0.2008285485504781,-0.1685373039968476,0.0322912445536305,-0.3290616784381338,short
2020-02-14,XLM/USD,0.0,0.1683716928660534,0.1683716928660534,-0.013699246868099415,long
2020-02-14,ETC/USD,0.14142863994032462,0.0,-0.14142863994032462,-0.02613933955792247,close
2020-02-14,BCH/USD,-0.12422725710168889,-0.20524580251507563,-0.08101854541338674,-0.2423298018174939,short
2020-02-14,XRP/USD,0.0,0.20052651538369473,0.20052651538369473,0.177842021381829,long
2020-02-21,DASH/USD,0.13110179175025183,0.0,-0.13110179175025183,-0.01978800261067063,close
2020-02-21,LINK/USD,0.0,-0.1778894161796668,-0.1778894161796668,-0.2800892641711845,short
2020-02-21,ETC/USD,0.0,0.12698554821032268,0.12698554821032268,0.2552102131696635,long
2020-02-21,OXT/USD,-0.12621689348807674,0.0,0.12621689348807674,-0.1703743230969025,close
2020-02-21,XTZ/USD,-0.1685373039968476,-0.16253966348781335,0.005997640509034258,-0.27468152232588017,short
2020-02-21,XLM/USD,0.1683716928660534,0.18559055366118699,0.017218860795133573,0.10421786066336386,long
2020-02-21,ALGO/USD,0.0,-0.15957092033251988,-0.15957092033251988,-0.3566667611829844,short
2020-02-21,BCH/USD,-0.20524580251507563,0.0,0.20524580251507563,0.06116508986546582,close
2020-02-21,XRP/USD,0.20052651538369473,0.18742389812849028,-0.013102617255204452,0.18165731617139855,long
2020-02-28,ATOM/USD,0.0,0.14942827089960312,0.14942827089960312,0.2214085991279554,long
2020-02-28,LINK/USD,-0.1778894161796668,0.0,0.1778894161796668,-0.0842428598457166,close
2020-02-28,ETC/USD,0.12698554821032268,0.0,-0.12698554821032268,-0.03891017044867198,close
2020-02-28,OXT/USD,0.0,-0.10069455757732154,-0.10069455757732154,-0.18769953926665173,short
2020-02-28,XTZ/USD,-0.16253966348781335,0.0,0.16253966348781335,-0.07028488130417547,close
2020-02-28,XLM/USD,0.18559055366118699,0.17333653490719803,-0.01225401875398896,0.15436115904850412,long
2020-02-28,ALGO/USD,-0.15957092033251988,-0.10210081308762213,0.05747010724489775,-0.19610768094498257,short
2020-02-28,XRP/USD,0.18742389812849028,0.17723519419319883,-0.010188703935291449,0.26029026024896856,long
2020-02-28,BTC/USD,0.0,-0.2972046293350563,-0.2972046293350563,-0.21628222417669754,short
2020-03-06,ATOM/USD,0.14942827089960312,0.1481283672257966,-0.0012999036738065295,0.14654640499113714,long
2020-03-06,ETC/USD,0.0,0.16009947477461053,0.16009947477461053,0.12404940422406457,long
2020-03-06,OXT/USD,-0.10069455757732154,-0.15425416661754593,-0.05355960904022439,-0.12917068773581308,short
2020-03-06,XLM/USD,0.17333653490719803,0.0,-0.17333653490719803,0.09899896974881799,close
2020-03-06,ALGO/USD,-0.10210081308762213,-0.08490795934919042,0.017192853738431713,-0.16405556809904306,short
2020-03-06,XRP/USD,0.17723519419319883,0.1917721579995929,0.014536963806394076,0.1815430784015682,long
