date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_dw_long,avg_dw_short,btc_5d_pct,regime,daily_return
2020-02-24,9599.976320329974,0,4799.988160164987,-4799.988160164987,0.0,9599.976320329974,2,1,2.403152793434537,1.615422452032433,,,
2020-02-25,9699.542973035008,0,4849.771486517504,-4849.771486517504,0.0,9699.542973035008,2,1,2.3352059115144943,1.5861031874347682,,,0.010371551906245946
2020-02-26,9672.215653827769,0,4836.107826913884,-4836.107826913884,0.0,9672.215653827769,2,1,2.180859896195912,1.467879087070054,,,-0.0028173821470980354
2020-02-27,9493.890288259914,0,4746.945144129957,-4746.945144129957,0.0,9493.890288259914,2,1,2.1422177581459985,1.2318836680493497,,,-0.018436868236832882
2020-02-28,9390.89326999251,0,4695.446634996255,-4695.446634996255,0.0,9390.89326999251,2,1,2.2205989255119274,1.4704071061631077,,,-0.010848768538516795
2020-02-29,9396.036817161972,0,4698.018408580986,-4698.018408580986,0.0,9396.036817161972,2,1,2.2193297869468154,1.4646670403735904,,,0.000547716497417472
2020-03-01,9691.384452405397,0,4845.692226202698,-4845.692226202698,0.0,9691.384452405397,2,1,2.1638275268397646,1.433451418692507,,,0.03143321391674081
2020-03-02,9832.30448466641,0,4916.152242333205,-4916.152242333205,0.0,9832.30448466641,2,1,2.1800796150391624,1.439548358042301,,,0.014540753486055102
2020-03-03,10044.372255054837,0,5022.186127527419,-5022.186127527419,0.0,10044.372255054837,2,1,2.0837254261754357,1.422389888201071,,,0.021568470618373192
2020-03-04,9966.758389601995,0,4983.3791948009975,-4983.3791948009975,0.0,9966.758389601995,2,1,2.1591445562348737,1.532244500627715,,,-0.0077270996615824705
2020-03-05,9904.470470303013,0,4952.2352351515065,-4952.2352351515065,0.0,9904.470470303013,2,1,2.103728078718212,1.5352993490701046,,,-0.0062495664953576835
2020-03-06,9633.563761091757,0,4816.781880545878,-4816.781880545878,0.0,9633.563761091757,2,1,2.141711182183882,1.580051911119464,,,-0.027351962936688734
2020-03-07,9587.250736234933,0,4793.625368117467,-4793.625368117467,0.0,9587.250736234933,2,1,2.102538595125652,1.6045296459749099,,,-0.004807465441176939
2020-03-08,9372.79100152992,0,4686.39550076496,-4686.39550076496,0.0,9372.79100152992,2,1,2.1113064641171038,1.6234332474534388,,,-0.022369263160549657
2020-03-09,9306.894708561644,0,4653.447354280822,-4653.447354280822,0.0,9306.894708561644,2,1,2.0068344183666653,1.345335567153844,,,-0.007030594511018173
2020-03-10,9134.699829688492,0,4567.349914844246,-4567.349914844246,0.0,9134.699829688492,2,1,2.047282273131828,1.6989799936008694,,,-0.01850186171277357
2020-03-11,8150.952298594803,0,4075.4761492974017,-4075.4761492974017,0.0,8150.952298594803,2,1,2.0839975918240725,1.6738772474936048,,,-0.1076934709881141
2020-03-12,8047.792661607228,0,4023.896330803614,-4023.896330803614,0.0,8047.792661607228,2,1,1.8996933386807422,1.6478278100774555,,,-0.012656145344558056
2020-03-13,8075.715092735816,0,4037.857546367908,-4037.857546367908,0.0,8075.715092735816,2,1,1.1806407812825153,1.161063005121558,,,0.003469576354991677
2020-03-14,7759.858543713805,0,3879.9292718569027,-3879.9292718569027,0.0,7759.858543713805,2,1,2.122187952153167,2.254973793707568,,,-0.039111898500001185
2020-03-15,7524.723995589951,0,3762.3619977949757,-3762.3619977949757,0.0,7524.723995589951,2,1,2.1440658436607887,2.431386862454604,,,-0.030301396191601215
2020-03-16,7541.43786003887,0,3770.718930019435,-3770.718930019435,0.0,7541.43786003887,2,1,2.5414287929498873,1.9823632193004799,,,0.002221193024317447
2020-03-17,7506.387037053332,0,3753.193518526666,-3753.193518526666,0.0,7506.387037053332,2,1,2.5492656142349843,1.9668951907557082,,,-0.004647763945820893
2020-03-18,7597.282306312742,0,3798.641153156371,-3798.641153156371,0.0,7597.282306312742,2,1,2.595878156176389,2.0952903763973736,,,0.012109057101735932
2020-03-19,7859.2590460957135,0,3929.6295230478568,-3929.6295230478568,0.0,7859.2590460957135,2,1,2.5865192758701476,2.0708584741650156,,,0.034482954459292614
2020-03-20,7723.254649499096,0,3861.627324749548,-3861.627324749548,0.0,7723.254649499096,2,1,2.5137145880466942,1.9479049238399064,,,-0.017304989668737503
2020-03-21,7749.547330434092,0,3874.773665217046,-3874.773665217046,0.0,7749.547330434092,2,1,2.5754118856114223,2.0742189263125392,,,0.003404352456085613
2020-03-22,7827.519743674758,0,3913.759871837379,-3913.759871837379,0.0,7827.519743674758,2,1,2.577255839391751,2.102174784457463,,,0.010061544231680708
2020-03-23,7983.7425768019975,0,3991.8712884009988,-3991.8712884009988,0.0,7983.7425768019975,2,1,2.5807560652911237,2.0614500346728724,,,0.01995815254934108
2020-03-24,8075.955793817646,0,4037.977896908823,-4037.977896908823,0.0,8075.955793817646,2,1,2.6000921498232117,2.0751040116061947,,,0.01155012403375677
2020-03-25,8253.279075207409,0,4126.639537603704,-4126.639537603704,0.0,8253.279075207409,2,1,2.5870897314288683,2.092896675404595,,,0.021956940567394945
2020-03-26,8225.321255454108,0,4112.660627727054,-4112.660627727054,0.0,8225.321255454108,2,1,2.6136933759929377,1.9572211192007891,,,-0.003387480236465734
2020-03-27,8333.686812011523,0,4166.843406005762,-4166.843406005762,0.0,8333.686812011523,2,1,2.632385437746977,2.1018867189871067,,,0.013174629074282018
2020-03-28,8208.875904079074,0,4104.437952039537,-4104.437952039537,0.0,8208.875904079074,2,1,2.6824987294375218,2.1053648292852256,,,-0.014976673679716002
2020-03-29,8152.431486730091,0,4076.2157433650455,-4076.2157433650455,0.0,8152.431486730091,2,1,2.6899688820078786,2.0896710945922337,,,-0.0068760227354557335
2020-03-30,8246.947433259753,0,4123.473716629876,-4123.473716629876,0.0,8246.947433259753,2,1,2.6673568252278996,2.102879790278615,,,0.011593589799988813
2020-03-31,8262.863035077098,0,4131.431517538549,-4131.431517538549,0.0,8262.863035077098,2,1,2.700385374595699,2.1192425529736436,,,0.0019298779270930932
2020-04-01,8210.451888326359,0,4105.2259441631795,-4105.2259441631795,0.0,8210.451888326359,2,1,2.684406378940353,2.078859813849622,,,-0.006342976584296056
2020-04-02,8227.961434243443,0,4113.980717121722,-4113.980717121722,0.0,8227.961434243443,2,1,2.694488671467445,2.120664924989017,,,0.0021325922318575774
2020-04-03,7775.987596972179,0,3887.9937984860894,-3887.9937984860894,0.0,7775.987596972179,2,1,2.695484297836008,2.1107678865514736,,,-0.05493144819447293
2020-04-04,7980.562494820209,0,3990.2812474101047,-3990.2812474101047,0.0,7980.562494820209,2,1,2.69510866711287,2.107988420573319,,,0.02630854220082446
2020-04-05,8093.958440700182,0,4046.979220350091,-4046.979220350091,0.0,8093.958440700182,2,1,2.697253375360056,2.0828032709325597,,,0.014209016714495037
2020-04-06,8198.159492575003,0,4099.079746287502,-4099.079746287502,0.0,8198.159492575003,2,1,2.7617145944647663,2.1058043149755163,,,0.01287392968943979
2020-04-07,8058.464497714795,0,4029.2322488573973,-4029.2322488573973,0.0,8058.464497714795,2,1,2.6637278093594974,2.140413964693117,,,-0.017039799602182604
2020-04-08,8137.7066275503275,0,4068.8533137751638,-4068.8533137751638,0.0,8137.7066275503275,2,1,2.752316133124518,2.2311370449785835,,,0.009833403107751382
2020-04-09,8236.176825138697,0,4118.088412569348,-4118.088412569348,0.0,8236.176825138697,2,1,2.7551829441410276,2.216832149289378,,,0.012100485074627354
2020-04-10,8386.341327424934,0,4193.170663712467,-4193.170663712467,0.0,8386.341327424934,2,1,2.7676613266722665,2.233563730497235,,,0.018232306745515903
2020-04-11,8349.976730254853,0,4174.988365127427,-4174.988365127427,0.0,8349.976730254853,2,1,2.1559300600417464,1.5198988553536525,,,-0.00433616946297688
2020-04-12,8306.838721907783,0,4153.419360953892,-4153.419360953892,0.0,8306.838721907783,2,1,2.42879380185161,2.3510010396491863,,,-0.005166242941823551
