,value
initial_capital,10000.0
leverage,1.0
final_value,30243.289547213426
total_return,2.0243289547213426
annualized_return,0.26334439056987824
annualized_volatility,0.3924195456789105
sharpe_ratio,0.6710786796164189
sortino_ratio,0.7310353473661654
max_drawdown,-0.3678122664409118
calmar_ratio,0.715975008441389
win_rate,0.4479166666666667
trading_days,1728.0
avg_long_exposure,8895.820487663112
avg_short_exposure,-8895.820487663112
avg_net_exposure,0.0
avg_gross_exposure,17791.640975326223
avg_long_positions,2.1846064814814814
avg_short_positions,1.3344907407407407
avg_portfolio_dw,1.632292626818751
