date,symbol,old_weight,new_weight,weight_change,funding_rate_pct,position_type
2020-02-20,XTZ,0.0,0.5,0.5,-1.1924,long
2020-02-27,XTZ,0.5,0.0,-0.5,1.0,close
2020-03-05,XTZ,0.0,0.5,0.5,1.064,long
2020-03-26,XTZ,0.5,0.0,-0.5,1.0,close
2020-04-02,XTZ,0.0,0.5,0.5,-13.3054,long
2020-04-09,XTZ,0.5,0.0,-0.5,1.0,close
2020-04-16,XTZ,0.0,-0.5,-0.5,1.0,short
2020-04-23,XTZ,-0.5,0.5,1.0,-0.7904999999999999,long
2020-05-07,XTZ,0.5,-0.5,-1.0,8.1736,short
2020-05-14,XTZ,-0.5,0.0,0.5,1.0,close
2020-05-21,XTZ,0.0,0.5,0.5,1.0,long
2020-05-28,XTZ,0.5,-0.5,-1.0,2.6835,short
2020-06-04,XTZ,-0.5,0.0,0.5,1.0,close
2020-06-11,XTZ,0.0,-0.5,-0.5,2.9366,short
2020-06-25,XTZ,-0.5,0.0,0.5,1.0,close
2020-07-02,XTZ,0.0,-0.5,-0.5,1.0,short
2020-07-09,XTZ,-0.5,0.0,0.5,1.0,close
2020-07-23,XTZ,0.0,-0.5,-0.5,8.5333,short
2020-08-13,BTC,0.0,0.5,0.5,1.0,long
2020-08-20,LINK,0.0,0.13833033126646882,0.13833033126646882,3.2896,long
2020-08-20,BTC,0.5,0.36166966873353124,-0.13833033126646876,1.0,long
2020-08-20,XTZ,-0.5,0.0,0.5,3.1543,close
2020-08-20,ETH,0.0,-0.5,-0.5,7.441899999999999,short
2020-08-27,LINK,0.13833033126646882,-0.5,-0.6383303312664688,3.5346,short
2020-08-27,BTC,0.36166966873353124,0.3130120051616184,-0.04865766357191281,1.0,long
2020-08-27,ETH,-0.5,0.1869879948383816,0.6869879948383816,2.5473,long
2020-09-03,BTC,0.3130120051616184,0.30999553209817077,-0.0030164730634476555,-3.2750000000000004,long
2020-09-03,ETH,0.1869879948383816,0.1900044679018292,0.0030164730634476,-13.1271,long
2020-09-10,LINK,-0.5,0.0,0.5,1.0,close
2020-09-10,BTC,0.30999553209817077,-0.2732389702230531,-0.5832345023212239,1.0,short
2020-09-10,ETC,0.0,-0.22676102977694693,-0.22676102977694693,1.0,short
2020-09-10,BCH,0.0,0.28184008596047483,0.28184008596047483,1.0,long
2020-09-10,ETH,0.1900044679018292,0.21815991403952517,0.028155446137695966,-0.6484,long
2020-09-17,BTC,-0.2732389702230531,0.23104304805493758,0.5042820182779907,1.0,long
2020-09-17,XTZ,0.0,-0.18545615634626395,-0.18545615634626395,1.8867,short
2020-09-17,ETC,-0.22676102977694693,-0.31454384365373605,-0.08778281387678913,1.0,short
2020-09-17,BCH,0.28184008596047483,0.1533323477435503,-0.12850773821692452,1.0,long
2020-09-17,ETH,0.21815991403952517,0.11562460420151208,-0.1025353098380131,-2.1148,long
2020-09-24,BTC,0.23104304805493758,-0.2787240652569899,-0.5097671133119275,1.0,short
2020-09-24,ETC,-0.31454384365373605,0.22110246694628502,0.5356463106000211,1.0,long
2020-09-24,BCH,0.1533323477435503,0.1590317059318052,0.005699358188254899,-1.7308,long
2020-09-24,XTZ,-0.18545615634626395,0.0,0.18545615634626395,1.0,close
2020-09-24,ETH,0.11562460420151208,0.11986582712190978,0.004241222920397705,1.0,long
2020-09-24,XRP,0.0,-0.22127593474301008,-0.22127593474301008,1.0,short
2020-10-01,BTC,-0.2787240652569899,0.24775613051113546,0.5264801957681253,1.0,long
2020-10-01,ETC,0.22110246694628502,-0.3190524787343215,-0.5401549456806065,1.0,short
2020-10-01,BCH,0.1590317059318052,0.17200381681836427,0.012972110886559057,1.0,long
2020-10-01,ETH,0.11986582712190978,-0.1809475212656785,-0.3008133483875883,1.0,short
2020-10-01,LINK,0.0,0.0802400526705003,0.0802400526705003,-0.2215,long
2020-10-01,XRP,-0.22127593474301008,0.0,0.22127593474301008,1.0,close
2020-10-08,BTC,0.24775613051113546,0.1855004042572258,-0.062255726253909655,1.0,long
2020-10-08,ETC,-0.3190524787343215,0.19385632970906203,0.5129088084433835,1.0,long
2020-10-08,BCH,0.17200381681836427,0.12064326603371216,-0.05136055078465211,7.7646,long
2020-10-08,ETH,-0.1809475212656785,-0.33056865474417096,-0.14962113347849246,1.0,short
2020-10-08,LINK,0.0802400526705003,-0.1694313452558291,-0.2496713979263294,1.0,short
2020-10-15,BTC,0.1855004042572258,0.17750363665602706,-0.007996767601198745,1.0,long
2020-10-15,ETC,0.19385632970906203,0.20968071295229457,0.015824383243232543,1.0,long
2020-10-15,BCH,0.12064326603371216,0.11281565039167836,-0.007827615642033797,1.0,long
2020-10-15,ETH,-0.33056865474417096,-0.1794052290220434,0.15116342572212757,1.0,short
2020-10-15,LINK,-0.1694313452558291,-0.08368690826037802,0.08574443699545108,1.0,short
2020-10-15,LTC,0.0,-0.23690786271757863,-0.23690786271757863,1.0,short
2020-10-22,BTC,0.17750363665602706,0.17385184199340864,-0.0036517946626184183,1.0,long
2020-10-22,XTZ,0.0,-0.1887502332983289,-0.1887502332983289,2.8285,short
2020-10-22,ETC,0.20968071295229457,0.21220880809685125,0.00252809514455668,1.0,long
2020-10-22,BCH,0.11281565039167836,0.11393934990974008,0.0011236995180617243,1.0,long
2020-10-22,ETH,-0.1794052290220434,-0.21842186442345693,-0.039016635401413535,6.1231,short
2020-10-22,LINK,-0.08368690826037802,-0.09282790227821412,-0.009140994017836107,1.7201000000000002,short
2020-10-22,LTC,-0.23690786271757863,0.0,0.23690786271757863,1.0,close
