date,portfolio_value,cash,majors_exposure,small_caps_exposure,majors_allocation,small_caps_allocation,regime,iqr_spread,iqr_percentile,num_positions,daily_return
2021-05-19,10000.0,0,0.0,0.0,0.5,0.5,MEDIUM_SPREAD,24.873367899619517,50.0,0,
2021-05-20,10000.0,0,0.0,0.0,0.5,0.5,MEDIUM_SPREAD,27.333336298762543,100.0,0,0.0
2021-05-21,10000.0,0,0.0,0.0,0.5,0.5,MEDIUM_SPREAD,23.47997309903228,0.0,0,0.0
2021-05-23,10955.572467057127,0,5477.786233528564,0.0,0.5,0.5,MEDIUM_SPREAD,25.63033363423727,66.66666666666666,10,0.09555724670571264
2021-05-24,10969.022602590025,0,5484.511301295012,0.0,0.5,0.5,MEDIUM_SPREAD,30.5288229489342,100.0,10,0.001227698102800323
2021-05-25,11414.51011005903,0,5707.255055029515,0.0,0.5,0.5,MEDIUM_SPREAD,26.51193164940156,60.0,10,0.040613236348315596
2021-06-21,11340.433251857974,0,5670.216625928987,0.0,0.5,0.5,MEDIUM_SPREAD,15.509291566725661,0.0,10,-0.00648970980679886
2021-06-22,11788.411409524791,0,5894.205704762396,0.0,0.5,0.5,MEDIUM_SPREAD,20.38155501667171,14.285714285714285,10,0.03950273748081212
2021-07-20,12317.885183677476,0,6158.942591838738,0.0,0.5,0.5,MEDIUM_SPREAD,8.303494845727435,0.0,10,0.044914768899639856
2021-07-26,12444.960460102608,0,6222.480230051304,0.0,0.5,0.5,MEDIUM_SPREAD,11.91023837895786,11.11111111111111,10,0.01031632252860426
2021-07-30,12542.572871159806,0,6271.286435579903,0.0,0.5,0.5,MEDIUM_SPREAD,14.512635908261784,20.0,10,0.007843529223747536
2021-07-31,12425.710957848096,0,6212.855478924048,0.0,0.5,0.5,MEDIUM_SPREAD,16.547209885040807,36.36363636363637,10,-0.009317220199726362
2021-08-01,12483.753463935998,0,6241.876731967999,0.0,0.5,0.5,MEDIUM_SPREAD,19.213398475484457,41.66666666666667,10,0.004671161777768829
2021-08-05,12611.223756973948,0,6305.611878486974,0.0,0.5,0.5,MEDIUM_SPREAD,20.040630181382024,46.15384615384615,10,0.010210894776654822
2021-08-06,12983.431635477911,0,6491.715817738956,0.0,0.5,0.5,MEDIUM_SPREAD,14.428462132886516,14.285714285714285,10,0.02951401748764737
2021-08-07,12580.51104226458,0,6290.25552113229,0.0,0.5,0.5,MEDIUM_SPREAD,16.449571215531492,33.33333333333333,10,-0.03103344358608018
2021-08-08,12834.986131301437,0,6417.493065650719,0.0,0.5,0.5,MEDIUM_SPREAD,14.893324030041331,25.0,10,0.02022772271984352
2021-08-09,13002.950944572993,0,6501.475472286496,0.0,0.5,0.5,MEDIUM_SPREAD,14.699594236742103,23.52941176470588,10,0.013086481867084387
2021-08-10,13309.23778402181,0,6654.618892010905,0.0,0.5,0.5,MEDIUM_SPREAD,15.16058720949378,33.33333333333333,10,0.023555179186202535
2021-08-11,13267.71478400332,0,6633.85739200166,0.0,0.5,0.5,MEDIUM_SPREAD,15.17960797433965,36.84210526315789,10,-0.0031198631125473053
2021-08-12,13853.246800409479,0,6926.6234002047395,0.0,0.5,0.5,MEDIUM_SPREAD,20.668184183885156,70.0,10,0.044132092522227495
2021-08-13,14033.583864199207,0,7016.791932099603,0.0,0.5,0.5,MEDIUM_SPREAD,15.901622510539347,42.857142857142854,10,0.013017674945659419
2021-08-15,13779.240528313438,0,6889.620264156719,0.0,0.5,0.5,MEDIUM_SPREAD,29.467667467777595,95.45454545454545,10,-0.018123904652368905
2021-08-16,13361.61507979614,0,6680.80753989807,0.0,0.5,0.5,MEDIUM_SPREAD,19.416296915887045,56.52173913043478,10,-0.030308306735713386
2021-08-17,13426.904639434582,0,6713.452319717291,0.0,0.5,0.5,MEDIUM_SPREAD,25.706276504548498,83.33333333333334,10,0.0048863523794488994
2021-08-18,13932.987987105278,0,6966.493993552639,0.0,0.5,0.5,MEDIUM_SPREAD,29.85957805118504,96.0,10,0.03769173620138311
2021-08-19,14201.783351429662,0,7100.891675714831,0.0,0.5,0.5,MEDIUM_SPREAD,35.3552780068026,100.0,10,0.019292011489075334
2021-08-20,14039.218771138372,0,7019.609385569186,0.0,0.5,0.5,MEDIUM_SPREAD,32.12695710103141,96.29629629629629,10,-0.01144677230095359
2021-08-21,14149.833689364272,0,7074.916844682136,0.0,0.5,0.5,MEDIUM_SPREAD,22.29287811472137,60.71428571428571,10,0.007878993840690018
2021-08-22,14320.655846333706,0,7160.327923166853,0.0,0.5,0.5,MEDIUM_SPREAD,22.858310583763874,62.06896551724138,10,0.012072379133178934
2021-08-23,13701.9369476062,0,6850.9684738031,0.0,0.5,0.5,MEDIUM_SPREAD,22.151189062968278,56.666666666666664,10,-0.04320464826238435
2021-08-24,14014.207648015941,0,7007.103824007971,0.0,0.5,0.5,MEDIUM_SPREAD,21.40611885439172,54.83870967741935,10,0.022790259625614206
