date,symbol,signal,entropy,entropy_rank,entropy_percentile,returns_mean_30d,returns_std_30d
2021-01-31,XLM/USD,LONG,2.3077516472406154,1.0,14.285714285714285,0.028051063714651922,0.136149133546943
2021-01-31,GRT/USD,SHORT,3.019250912838829,7.0,100.0,0.026192271316560673,0.12008916699893168
2021-01-31,LINK/USD,SHORT,2.990759147096384,6.0,85.71428571428571,0.021393307365796935,0.09641850435683297
2021-02-07,ZRX/USD,LONG,2.6505377798848193,1.0,14.285714285714285,0.03894760179361403,0.12673779767439344
2021-02-07,ALGO/USD,SHORT,3.045274881209708,7.0,100.0,0.020630701333871,0.0813120121668397
2021-02-14,ZRX/USD,LONG,2.4341969466957174,1.0,14.285714285714285,0.04166540989669152,0.11461554134027087
2021-02-14,ALGO/USD,SHORT,2.909685696912064,7.0,100.0,0.03692951679664304,0.10422087848893757
2021-02-14,XTZ/USD,SHORT,2.894205915355059,6.0,85.71428571428571,0.01954344939696988,0.07906750323870872
2021-02-21,ZRX/USD,LONG,2.3260265301011662,1.0,14.285714285714285,0.04061538587314717,0.1092306943316627
2021-02-21,EOS/USD,SHORT,2.9362434129830604,7.0,100.0,0.022197426476835782,0.06151689113049662
2021-02-21,XTZ/USD,SHORT,2.9260265301011663,6.0,85.71428571428571,0.015738647645059615,0.06744811627064332
2021-02-28,ZRX/USD,LONG,2.40237633194961,1.0,12.5,0.02341130448907767,0.11569468503496033
2021-02-28,EOS/USD,SHORT,2.909685696912064,8.0,100.0,0.008149475851832025,0.07584384578313168
2021-02-28,OXT/USD,SHORT,2.8382953819095214,7.0,87.5,0.0154778550414322,0.09655458512981085
2021-03-07,GRT/USD,LONG,2.445814131548943,1.0,12.5,0.022627158552329933,0.11953900284200547
2021-03-07,BNT/USD,SHORT,3.0671089489448278,8.0,100.0,0.039668338019986656,0.09947722368850434
2021-03-07,ZRX/USD,SHORT,2.9193688320938413,7.0,87.5,-0.003897491671474252,0.06621393869729525
2021-03-14,XTZ/USD,LONG,2.6934363291449177,1.0,14.285714285714285,-0.008189408008048,0.061670276859597195
2021-03-14,ALGO/USD,SHORT,3.057425813763051,7.0,100.0,-0.01437923931526563,0.06501661439880257
2021-03-14,ZRX/USD,SHORT,2.9777471629109447,6.0,85.71428571428571,-0.01033251636074166,0.057366000986834094
2021-03-21,GRT/USD,LONG,2.6956007146872727,1.0,20.0,-0.008064355630731232,0.07184831936330868
2021-03-21,ALGO/USD,SHORT,3.002910079649727,4.0,80.0,-0.0050247744098475605,0.06226621388134004
2021-03-21,ZRX/USD,SHORT,3.0314018453921716,5.0,100.0,-0.0022183146939431563,0.05599848472735579
2021-03-28,OXT/USD,LONG,2.706448313330357,1.0,20.0,0.012940839968101692,0.07501421354058231
2021-03-28,XLM/USD,SHORT,3.089246428509158,5.0,100.0,-0.00026323917640999064,0.04196971642043676
2021-03-28,ZRX/USD,SHORT,3.085917579505496,4.0,80.0,0.003286360929344338,0.04972492187434996
2021-04-04,OXT/USD,LONG,2.74043331361882,1.0,20.0,0.018342828079858264,0.08038737914161256
2021-04-04,ALGO/USD,SHORT,2.9777471629109447,4.0,80.0,0.007253459760422712,0.05153209796733872
2021-04-04,XLM/USD,SHORT,3.06818194698418,5.0,100.0,0.0018928521265982017,0.038337676105400224
2021-04-11,XLM/USD,LONG,2.4137576782928116,1.0,20.0,0.013771012749950814,0.0630404462746144
2021-04-11,ALGO/USD,SHORT,3.0444138295776115,5.0,100.0,0.012325304849682257,0.053674176096422395
2021-04-11,ZRX/USD,SHORT,2.990759147096384,4.0,80.0,0.015420365878522052,0.0655483659167418
2021-04-18,OXT/USD,LONG,2.488712680809041,1.0,14.285714285714285,-0.0007430137020142918,0.07944335003857661
2021-04-18,EOS/USD,SHORT,3.202910079649727,7.0,100.0,0.01890246735035061,0.07962796378311697
2021-04-18,ZRX/USD,SHORT,3.1207636314260547,6.0,85.71428571428571,0.004162696552940213,0.07245252661025771
2021-04-25,STORJ/USD,LONG,2.004935594743131,1.0,11.11111111111111,0.0019142339409903629,0.15875959673464435
2021-04-25,EOS/USD,SHORT,3.260754662766713,9.0,100.0,0.005923076280343075,0.08145500961404334
2021-04-25,ZRX/USD,SHORT,3.1055872616982603,8.0,88.88888888888889,-0.0011371664510137756,0.07664404546965878
2021-05-02,XLM/USD,LONG,2.86818194698418,1.0,11.11111111111111,0.007871397460234918,0.07767249802841596
2021-05-02,ALGO/USD,SHORT,3.052702165427174,8.0,88.88888888888889,0.0007396663513008285,0.06483899556100785
2021-05-02,EOS/USD,SHORT,3.1152703968800375,9.0,100.0,0.0014133260215193086,0.07909814743556702
2021-05-09,EOS/USD,LONG,2.7464657985040724,1.0,11.11111111111111,0.017662947221250242,0.10107034521995284
2021-05-09,ADA/USD,SHORT,3.0396901812417347,8.0,88.88888888888889,0.012887882680675635,0.05818560138934245
2021-05-09,ANKR/USD,SHORT,3.041084980573949,9.0,100.0,0.0001352095486368301,0.06799479919582331
2021-05-16,EOS/USD,LONG,2.1960573527849245,1.0,11.11111111111111,0.00575781953718383,0.14590166415967196
2021-05-16,ALGO/USD,SHORT,3.151189446839948,8.0,88.88888888888889,-0.0025005695446934256,0.07772655656021615
2021-05-16,OXT/USD,SHORT,3.1974168451037093,9.0,100.0,-0.010590510681335168,0.06267345511275338
2021-05-23,CRV/USD,LONG,2.3362434129830603,1.0,7.6923076923076925,-0.023207022170462683,0.1436487370737921
2021-05-23,GRT/USD,LONG,2.3874302980927213,2.0,15.384615384615385,-0.025439760965692573,0.1190074315155418
