Strategy,Regularized MVO,Risk Parity,Max Diversification,HRP,Ensemble,Expected_Return,Sharpe_Ratio
Breakout Signal,0.07033059605809827,0.10937634881053376,0.09363523691549583,0.04211170712283714,0.09111406059470924,0.1423917353976188,0.3869010727740146
Mean Reversion,0.05,0.05,0.05,0.04211170712283714,0.04999999999999999,0.06218091941500528,-0.161001842354836
Size Factor,0.05,0.05,0.05,0.05727562989327162,0.04999999999999999,-0.07259561618633213,-0.4131904742832302
Carry Factor,0.05,0.05,0.05,0.0752507012521441,0.04999999999999999,0.006901235032112844,-0.0295314696407655
Days from High,0.05,0.05,0.05,0.04211170712283714,0.04999999999999999,-0.13107754803924893,-0.5048500120995021
Volatility Factor,0.16773718089006687,0.1262527304486907,0.13687700990357363,0.04407855436562547,0.143622307080777,0.2795296535100368,1.0804866855640245
Kurtosis Factor,0.05,0.05,0.05,0.04211170712283714,0.04999999999999999,0.07919357705847044,0.6172607975012078
Beta Factor (BAB),0.05,0.10025565500335169,0.09722107670077165,0.13170263967124463,0.08249224390137441,0.08099051167591907,0.1653745172911682
ADF (Blended),0.05,0.05,0.05,0.042254485896295525,0.04999999999999999,0.02937175019889411,-0.0337356475164904
Leverage Inverted,0.3619322230518345,0.3141152657374237,0.32226667648015583,0.43887945330723305,0.33277138842313786,0.06471242303798343,0.7948159800416938
Dilution Factor,0.05000000000000192,0.05,0.05000000000000298,0.04211170712283714,0.05000000000000161,1.0278083118893147,1.034394448565923
