date,symbol,signal,dw,dw_rank,percentile,weight,volatility,autocorr_30d,market_cap,volume_30d_avg
2024-01-31,CRO/USD,LONG,2.35741865996076,6.0,85.71428571428571,0.25,0.6490205242167439,-0.2664669907065077,2193472219.621349,12347499.233333332
2024-01-31,XLM/USD,LONG,2.378110996664758,7.0,100.0,0.25,0.48423465101375057,-0.2832360541351366,3259659946.8074923,68682512.76666667
2024-01-31,BONK/USD,SHORT,1.5084814199255383,1.0,14.285714285714285,-0.5,1.5320217116170107,0.20415554220647267,651393425.618817,1627804442974.6667
2024-02-01,ALGO/USD,LONG,2.1527510379492973,5.0,83.33333333333334,0.25,0.8241915464662997,-0.2590990320664883,1430115479.6308138,16931304.936666667
2024-02-01,XLM/USD,LONG,2.350405582507208,6.0,100.0,0.25,0.4815115786526535,-0.38986903782212085,3259659946.8074923,67405132.83333333
2024-02-01,BONK/USD,SHORT,1.6287441145543171,1.0,16.666666666666664,-0.5,1.491154810787567,0.13186590223705089,651393425.618817,1588930239561.7
2024-02-02,ALGO/USD,LONG,2.349863884762749,5.0,83.33333333333334,0.25,0.7606087657414183,-0.2366618236488937,1430115479.6308138,15706464.513333332
2024-02-02,XLM/USD,LONG,2.703580037150298,6.0,100.0,0.25,0.4234769232669869,-0.38648107780829055,3259659946.8074923,63559808.833333336
2024-02-02,BONK/USD,SHORT,1.661153164971281,1.0,16.666666666666664,-0.5,1.4079658043949534,0.1646964041897856,651393425.618817,1554645643951.8
2024-02-03,ALGO/USD,LONG,2.236948596351125,5.0,83.33333333333334,0.25,0.7692557665326197,-0.19993708948339128,1430115479.6308138,15382290.653333334
2024-02-03,XLM/USD,LONG,2.6543103620807553,6.0,100.0,0.25,0.42259222925040735,-0.37114584303097536,3259659946.8074923,63440321.03333333
2024-02-03,BONK/USD,SHORT,1.610764428933995,1.0,16.666666666666664,-0.5,1.4048581203394106,0.18068437771558007,651393425.618817,1522830626842.8
2024-02-04,ALGO/USD,LONG,2.381690149460787,5.0,83.33333333333334,0.25,0.7634304356280975,-0.2603847437421494,1430115479.6308138,14836372.066666666
2024-02-04,XLM/USD,LONG,2.6623709931368884,6.0,100.0,0.25,0.4207576426464756,-0.3687249938887301,3259659946.8074923,61212712.333333336
2024-02-04,BONK/USD,SHORT,1.644928953625495,1.0,16.666666666666664,-0.5,1.3898126855960682,0.17068114158706382,651393425.618817,1504877755874.5334
2024-02-05,CRO/USD,LONG,2.4854107331063875,4.0,80.0,0.25,0.5381769503347048,-0.26861042267981294,2193472219.621349,8109549.833333333
2024-02-05,XLM/USD,LONG,2.4991472268535047,5.0,100.0,0.25,0.4192513633004727,-0.35359555057710435,3259659946.8074923,60397515.86666667
2024-02-05,BONK/USD,SHORT,1.668102610598472,1.0,20.0,-0.5,1.3842723373164756,0.1606058848688397,651393425.618817,1502675446197.2
2024-02-06,CRO/USD,LONG,2.2521078143206434,4.0,80.0,0.25,0.5338415516834258,-0.23675196903769122,2193472219.621349,7615034.126666666
2024-02-06,XLM/USD,LONG,2.3570209531185586,5.0,100.0,0.25,0.3961515097806192,-0.2689245966006971,3259659946.8074923,59751803.6
2024-02-06,BONK/USD,SHORT,1.4047967119983475,1.0,20.0,-0.5,1.378427061308787,0.2288714807577045,651393425.618817,1493436051871.7
2024-02-07,CRO/USD,LONG,2.1244424199747773,4.0,80.0,0.25,0.5022662471898177,-0.1417028020882913,2193472219.621349,7064162.923333333
2024-02-07,XLM/USD,LONG,2.293502665400876,5.0,100.0,0.25,0.37293077272849123,-0.20961594327946412,3259659946.8074923,56644375.46666667
2024-02-07,BONK/USD,SHORT,1.71801488342924,1.0,20.0,-0.5,1.2569868676745133,0.018158770351969604,651393425.618817,1455103219115.7666
2024-02-08,BONK/USD,LONG,2.163735669305724,5.0,100.0,0.25,1.1104903851582528,-0.2471828526798988,651393425.618817,1337500883045.0334
2024-02-08,XLM/USD,LONG,2.0795440048037097,4.0,80.0,0.25,0.3655100342554248,-0.13127994628926629,3259659946.8074923,54352196.13333333
2024-02-08,GRT/USD,SHORT,1.6126732616021184,1.0,20.0,-0.5,0.7774040103628538,0.08930203294765333,1527332090.1885202,19400752.38433333
2024-02-09,BONK/USD,LONG,2.0876807957112162,4.0,80.0,0.25,1.1618034783071962,-0.24110603912787157,651393425.618817,1197695173536.4666
2024-02-09,XLM/USD,LONG,2.2547627583052656,5.0,100.0,0.25,0.349837955785434,-0.22282732817272935,3259659946.8074923,50458327.8
2024-02-09,ALGO/USD,SHORT,1.9569730317946012,1.0,20.0,-0.5,0.6067533210275748,-0.030383690366207226,1430115479.6308138,12970189.023333335
2024-02-10,CRO/USD,LONG,2.003513552686668,5.0,83.33333333333334,0.25,0.4894193702204056,-0.0679837297675506,2193472219.621349,6534315.133333334
2024-02-10,XLM/USD,LONG,2.051972192967498,6.0,100.0,0.25,0.33846273968913987,-0.13887534287994582,3259659946.8074923,46707707.4
2024-02-10,ALGO/USD,SHORT,1.6789592310302321,1.0,16.666666666666664,-0.5,0.6034512160244369,0.04215878362025542,1430115479.6308138,11956985.736666668
2024-02-11,SUPER/USD,LONG,2.1150301809876875,5.0,83.33333333333334,0.25,1.3948006263603414,-0.10574172897847409,249927117.5158873,5420004.757333334
2024-02-11,XLM/USD,LONG,2.1343051588301365,6.0,100.0,0.25,0.3149561986541684,-0.0969583594383241,3259659946.8074923,44423747.06666667
2024-02-11,BONK/USD,SHORT,1.7117857995649195,1.0,16.666666666666664,-0.5,1.1099099202690987,0.06738461479685012,651393425.618817,1105300087091.1333
