period,signal_type,forward_period,count,mean_return,median_return,std_return,win_rate_pct,sharpe_ratio
3,signal_neg_move,2d,5274,0.005828306762484985,0.0029630214917825137,0.09175977944473916,52.521805081532044,0.8580675441816237
3,signal_neg_move,5d,5264,0.00796265648089713,0.000503474718233643,0.12773063846181248,50.13297872340425,0.5326284093992197
3,signal_neg_move_high_vol,1d,1486,0.008111292204984338,0.0054380045738408045,0.0812012342399106,54.50874831763123,1.9084195140341562
3,signal_neg_move_high_vol,2d,1482,0.006356821634372116,0.0008972317759207149,0.09390755325308833,50.877192982456144,0.9144731001668333
3,signal_neg_move_high_vol,5d,1480,-0.00011138326781814907,-0.0020118828422046597,0.11885334577521788,48.58108108108108,-0.008007002673730383
3,signal_neg_move_low_vol,1d,3797,0.004602762478263598,0.0042962373407184895,0.06619377447871157,53.75296286542007,1.3284580667672754
3,signal_neg_move_low_vol,2d,3792,0.00562175110844049,0.0038878679142656525,0.09091832257136684,53.16455696202531,0.8353176040688666
3,signal_neg_move_low_vol,5d,3784,0.011120579004179006,0.001445832813715353,0.13091890416861482,50.7399577167019,0.7257490372775568
3,signal_pos_move,1d,6416,8.739001538763712e-05,-0.006502138763951282,0.0758719286504284,43.46945137157107,0.022005291408843903
3,signal_pos_move,2d,6401,0.00122328630164819,-0.006776541454028173,0.1027349800899916,45.289798468989225,0.16085745966092027
3,signal_pos_move,5d,6346,0.01006364242766223,-0.002750139510357963,0.15358776644257985,48.67633154743145,0.5598349437917525
5,signal_neg_move,1d,5867,0.0037619337880458615,0.00267618198037467,0.07038927672620968,52.19021646497358,1.0210595625890373
5,signal_neg_move,2d,5855,0.005741975671363538,0.0021905805038333614,0.08862603043081604,51.68232280102476,0.8752487210311798
5,signal_neg_move,5d,5838,0.014404555683060465,0.004800336265490368,0.11800296864788214,52.70640630352861,1.042961707793547
5,signal_neg_move_high_vol,1d,1552,0.010037288760334275,0.008434534074739264,0.07630098992157289,56.121134020618555,2.5132325636722648
5,signal_neg_move_high_vol,2d,1547,0.012587475890849107,0.006678809957498366,0.0908866053423131,54.686489980607625,1.8709845597897186
5,signal_neg_move_high_vol,5d,1545,0.02111321403134801,0.010852713178294504,0.12337537962100045,56.44012944983818,1.4621343440942292
5,signal_neg_move_low_vol,1d,4315,0.001504842034397746,0.001160092807424462,0.06800556739971748,50.77636152954808,0.4227590151569383
5,signal_neg_move_low_vol,2d,4308,0.0032837609918036103,0.0009596934284525904,0.08768043307400693,50.603528319405754,0.5059414809960872
5,signal_neg_move_low_vol,5d,4293,0.011990188772251182,0.0024979947290018067,0.11592846826856935,51.36268343815513,0.8836847351407047
5,signal_pos_move,1d,7297,0.0009094994582432499,-0.004917186479448499,0.07445571183929983,45.251473208167745,0.23337313313855088
5,signal_pos_move,2d,7282,0.004930518939080952,-0.0033080940709616646,0.10279140434903461,47.55561658884922,0.6479884520233941
5,signal_pos_move,5d,7208,0.01157265989642848,-0.002846737933521082,0.15521644736664056,48.6126526082131,0.6370255934592518
7,signal_neg_move,1d,6488,0.00589190183142328,0.004141787344670744,0.06665809593874412,53.59124537607891,1.6886864956332284
7,signal_neg_move,2d,6472,0.009679055373119185,0.003449471900011658,0.08509609838883861,52.93572311495674,1.5365785292480643
7,signal_neg_move,5d,6454,0.016423891012998522,0.008293793584166154,0.1177893188979719,54.35388906104741,1.1913286165555919
7,signal_neg_move_high_vol,1d,1703,0.010129234643243756,0.006960181288442779,0.07846134011444389,55.13799177921316,2.4664217544022913
7,signal_neg_move_high_vol,2d,1699,0.010409164722724497,0.003700049333991151,0.09100812918723028,52.67804590935845,1.5451374853827875
7,signal_neg_move_high_vol,5d,1695,0.0156872459907298,0.00794176042356054,0.12045685505431514,53.80530973451327,1.1126962300159386
7,signal_neg_move_low_vol,1d,4785,0.004383818701113922,0.003161290322580612,0.06185607579491866,53.040752351097176,1.3539937283528847
7,signal_neg_move_low_vol,2d,4773,0.009419165202371349,0.0033534540576793948,0.0828983958584088,53.02744605070187,1.5349623297115778
7,signal_neg_move_low_vol,5d,4759,0.016686259853667885,0.008341203743897463,0.1168362460744407,54.54927505778525,1.2202332022396964
7,signal_pos_move,1d,8012,0.002444761594703661,-0.003228549484309895,0.07083596297577416,46.84223664503245,0.6593699403922794
7,signal_pos_move,2d,7991,0.004110214083717623,-0.0027517886626307053,0.09800818287794487,47.81629332999625,0.5665438639425822
7,signal_pos_move,5d,7926,0.012932597214655908,-0.0032019155566268,0.1481557892677705,48.53646227605349,0.7458106064218459
10,signal_neg_move,1d,7446,0.005143937487243076,0.0035574551192767423,0.061720867874469405,53.2634971796938,1.5922457199594082
10,signal_neg_move,2d,7436,0.007607511223737098,0.0028844456554020237,0.08457373145860073,52.42065626681012,1.2151742098514322
10,signal_neg_move,5d,7425,0.01211368545995538,0.005186721991701226,0.11427670955803051,52.956228956228955,0.9056908825931811
10,signal_neg_move_high_vol,1d,1696,0.010964855802797437,0.006430742955681357,0.06879526224525648,55.365566037735846,3.0450247464478433
10,signal_neg_move_high_vol,2d,1693,0.01090399271429895,0.0044828690361831125,0.08454439052363068,53.04193738924985,1.7423371204897287
10,signal_neg_move_high_vol,5d,1693,0.013622401869729558,0.008396421197522264,0.11494878311322684,54.51860602480804,1.0125366223367807
10,signal_neg_move_low_vol,1d,5750,0.003427019667559564,0.0028347974417438637,0.059371350703518656,52.64347826086957,1.1027729374780044
10,signal_neg_move_low_vol,2d,5743,0.006635729373916234,0.002525252525252597,0.08456521373947987,52.23750652968832,1.0600548791433064
10,signal_neg_move_low_vol,5d,5732,0.011668071907661648,0.004462365591397899,0.11408370150384198,52.49476622470341,0.8738500659214503
10,signal_pos_move,1d,9214,0.0023752962242746638,-0.002732885854482947,0.06827033185694945,47.0805296288257,0.6647099759445637
10,signal_pos_move,2d,9193,0.0035212771195664524,-0.004298764105319708,0.09550220832624552,46.75296421190036,0.49810193075186726
10,signal_pos_move,5d,9105,0.010563216669840987,-0.005627608825283237,0.14635448095917966,47.32564524986272,0.6166682577685788
30,signal_neg_move,1d,9523,0.0029231946940643247,0.002923740027043209,0.06124355619049259,52.86149322692428,0.9118927718755577
30,signal_neg_move,2d,9511,0.004022754886229134,0.002549681289838901,0.08311576620238163,51.99242981810536,0.6538401606908072
30,signal_neg_move,5d,9473,0.0019773911053657385,-0.0023696682464454666,0.12367087518475947,48.379605193708436,0.13661128365884215
30,signal_neg_move_high_vol,1d,2357,0.005905615036361219,0.003940886699507429,0.06762832171989479,53.88205345778532,1.6683338278919102
30,signal_neg_move_high_vol,2d,2355,0.007833335003486047,0.006400602409638578,0.08955434286950238,54.182590233545646,1.1816571388900345
30,signal_neg_move_high_vol,5d,2344,0.0008978899472698445,-0.004136856742294137,0.12403184466617574,47.653583617747444,0.06185165666933435
30,signal_neg_move_low_vol,1d,7166,0.0019422339423487542,0.0025762134418830795,0.0589648120620776,52.525816355009766,0.629296118644358
30,signal_neg_move_low_vol,2d,7156,0.002768714056695871,0.001488944730859365,0.08085219560012667,51.27166014533259,0.46261288198150236
30,signal_neg_move_low_vol,5d,7129,0.0023323287845040145,-0.0020565552699229883,0.12355861535184129,48.618319539907425,0.16127912904631964
30,signal_pos_move,1d,13218,0.0021644159301568524,-0.0020424498110104272,0.0653307744042564,47.82115297321834,0.6329499177267625
30,signal_pos_move,2d,13199,0.005445898246967393,-0.0015934577178839948,0.09449117992244455,48.80672778240776,0.7785915478835579
30,signal_pos_move,5d,13104,0.013156597004279359,-1.719649053988359e-06,0.14871223254759627,49.862637362637365,0.7558894931136126
