period,signal_type,forward_period,count,mean_return,median_return,std_return,win_rate_pct,sharpe_ratio
1,signal_neg_move,1d,4668,0.004295519909459762,0.004643655209191411,0.06662891337840167,54.07026563838904,1.2316843916524924
1,signal_neg_move,2d,4638,0.00911119001558785,0.005395506063981426,0.0853144948566202,53.64381198792583,1.442725522510668
1,signal_neg_move,5d,4623,0.007463831058803395,0.00039498370692214735,0.13645763613438977,50.118970365563484,0.4673318571782153
1,signal_neg_move_high_vol,1d,1429,0.0015027874625007807,0.0013207131851200593,0.06698764376315455,51.224632610216936,0.4285971642714878
1,signal_neg_move_high_vol,2d,1421,0.008290463080715684,0.003923732450493489,0.07585741204612954,52.920478536242086,1.476427758459397
1,signal_neg_move_high_vol,5d,1415,0.002545836780103381,0.0004907321724012537,0.11057573365925996,50.31802120141343,0.19671259022525017
1,signal_neg_move_low_vol,1d,3239,0.0055276331131350895,0.006451612903225712,0.0664430866369622,55.32571781414016,1.5894096389918813
1,signal_neg_move_low_vol,2d,3217,0.009473718139446521,0.0059880239520957446,0.08918185366278968,53.96331986322661,1.435077643903843
1,signal_neg_move_low_vol,5d,3208,0.009633083522756176,0.0003160687939941509,0.14639043886003372,50.03117206982544,0.5622300359115571
1,signal_pos_move,1d,5227,0.0006776821622861823,-0.005307855626327074,0.07854363445902164,45.05452458389133,0.16483957765028723
1,signal_pos_move,2d,5220,0.0019582191578377994,-0.006808515569771356,0.10524705349693973,45.01915708812261,0.25135225354997176
1,signal_pos_move,5d,5185,0.005836292851219854,-0.009693558474046293,0.16114018992080476,45.63162970106075,0.30945295524412353
2,signal_neg_move,1d,4947,0.0074271252501380575,0.006969355334631722,0.07029910815303371,56.094602789569436,2.018447067051927
2,signal_neg_move,2d,4922,0.01129569879075548,0.006526043888255506,0.09200114566393672,54.632263307598535,1.6586368195157475
2,signal_neg_move,5d,4911,0.012408520205281194,0.003841229193341844,0.1293054111414104,51.740989615149665,0.8199072426429809
2,signal_neg_move_high_vol,1d,1494,0.012502007000346876,0.012670793532303382,0.07596368526773045,59.17001338688086,3.144272260195854
2,signal_neg_move_high_vol,2d,1481,0.0169307592736278,0.011158159761959219,0.09112706230566238,57.056043214044564,2.5099235833200435
2,signal_neg_move_high_vol,5d,1481,0.009313592990867887,0.004127115146512539,0.13028066929798587,52.126941255908164,0.6107995439778459
2,signal_neg_move_low_vol,1d,3453,0.005231390140143278,0.00498132004981322,0.06759505388652087,54.763973356501594,1.4785929228016363
2,signal_neg_move_low_vol,2d,3441,0.008870379239713953,0.004700887102888851,0.09228208754867004,53.58907294391165,1.2985426306809167
2,signal_neg_move_low_vol,5d,3430,0.013744843005440412,0.003540121121333506,0.1288781343258773,51.57434402332362,0.911217335132578
2,signal_pos_move,1d,5854,-0.0006731519716309952,-0.007290145017873728,0.07709423730013908,43.0816535702084,-0.16681597497790612
2,signal_pos_move,2d,5848,0.0017487013211289436,-0.007938543294580158,0.10747040914706381,44.54514363885089,0.21981542782549945
2,signal_pos_move,5d,5807,0.007379886385330663,-0.005678670360110716,0.15737181461269314,47.40830032719132,0.40066753421801937
3,signal_neg_move,1d,5283,0.005589640232173692,0.004641717435451165,0.0707472377223114,53.96554987696385,1.5094571905433625
