date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,portfolio_beta,daily_return
2021-04-01,10000.660151642125,0,5000.330075821063,0.0,5000.330075821063,5000.330075821063,1,0,0.3153971650559712,
2021-04-02,9364.682457799689,0,4682.341228899844,0.0,4682.341228899844,4682.341228899844,1,0,0.3395530575706646,-0.06359357124419507
2021-04-03,9646.032267799066,0,4823.016133899533,0.0,4823.016133899533,4823.016133899533,1,0,0.348266877545711,0.03004371064018785
2021-04-04,9576.560206296655,0,4788.280103148328,0.0,4788.280103148328,4788.280103148328,1,0,0.3510987814641916,-0.00720213861758745
2021-04-05,9873.66308232457,0,4936.831541162285,0.0,4936.831541162285,4936.831541162285,1,0,0.3415034132014098,0.03102396576931321
2021-04-06,9290.732343725158,0,4645.366171862579,0.0,4645.366171862579,4645.366171862579,1,0,0.3433608838702169,-0.05903895380458657
2021-04-07,9664.477026401479,0,4832.238513200739,0.0,4832.238513200739,4832.238513200739,1,0,0.37395690671596044,0.040227688071193146
2021-04-08,10391.639404176127,0,5195.819702088063,0.0,5195.819702088063,5195.819702088063,1,0,0.3794241214856396,0.07524073737132198
2021-04-09,10438.439301260027,0,5219.219650630013,0.0,5219.219650630013,5219.219650630013,1,0,0.38572871340385834,0.004503610572273331
2021-04-10,10330.065648308813,0,5165.032824154407,0.0,5165.032824154407,5165.032824154407,1,0,0.383710663897898,-0.010382170152403059
2021-04-11,10339.323717628027,0,5169.661858814014,0.0,5169.661858814014,5169.661858814014,1,0,0.35219592679439315,0.0008962256034383831
2021-04-12,10717.519619543556,0,5358.759809771778,0.0,5358.759809771778,5358.759809771778,1,0,0.351657277030442,0.036578398379260024
2021-04-13,10391.862154634116,0,5195.931077317058,0.0,5195.931077317058,5195.931077317058,1,0,0.3315682976198071,-0.030385525426573357
2021-04-14,10495.965966571413,0,5247.982983285707,0.0,5247.982983285707,5247.982983285707,1,0,0.3399018566808697,0.010017820712803882
2021-04-15,10191.163822112516,0,5095.581911056258,0.0,5095.581911056258,5095.581911056258,1,0,0.3505074568002403,-0.029039932620748
2021-04-16,10084.294786871735,0,5042.147393435867,0.0,5042.147393435867,5042.147393435867,1,0,0.35766153268317813,-0.010486440715328227
2021-04-17,9367.363171742567,0,4683.6815858712835,0.0,4683.6815858712835,4683.6815858712835,1,0,0.3625592186137841,-0.0710938771903522
2021-04-18,8878.585231272018,0,4439.292615636009,0.0,4439.292615636009,4439.292615636009,1,0,0.38560134942810137,-0.05217881825538573
2021-04-19,9187.342049394152,0,4593.671024697076,0.0,4593.671024697076,4593.671024697076,1,0,0.3852920624653194,0.03477545240368207
2021-04-20,8999.46979627167,0,4499.734898135835,0.0,4499.734898135835,4499.734898135835,1,0,0.3881532756512635,-0.02044903216974181
2021-04-21,8588.56470097159,0,4294.282350485795,0.0,4294.282350485795,4294.282350485795,1,0,0.34923570340850885,-0.04565881153024254
2021-04-22,8525.605631278771,0,4262.802815639386,0.0,4262.802815639386,4262.802815639386,1,0,0.3519209308106726,-0.007330569412336896
2021-04-23,8084.7663307264365,0,4042.3831653632183,0.0,4042.3831653632183,4042.3831653632183,1,0,0.3641702459901633,-0.051707681497134006
2021-04-24,8129.707260242394,0,4064.853630121197,0.0,4064.853630121197,4064.853630121197,1,0,0.37243990485137124,0.00555871718211054
2021-04-25,8646.721627567458,0,4323.360813783729,0.0,4323.360813783729,4323.360813783729,1,0,0.36987989421446954,0.06359569302740775
2021-04-26,9425.110465796077,0,4712.555232898038,0.0,4712.555232898038,4712.555232898038,1,0,0.383386977357087,0.09002126722189852
2021-04-27,9114.038023305558,0,4557.019011652779,0.0,4557.019011652779,4557.019011652779,1,0,0.41671967399301774,-0.03300464685474047
2021-04-28,9017.837455431063,0,4508.9187277155315,0.0,4508.9187277155315,4508.9187277155315,1,0,0.43147604537833667,-0.010555208089817136
2021-04-29,9357.979630835316,0,4678.989815417658,0.0,4678.989815417658,4678.989815417658,1,0,0.43489317533872535,0.037718818628672324
2021-04-30,9705.74738261368,0,4852.87369130684,0.0,4852.87369130684,4852.87369130684,1,0,0.43653620780546615,0.037162695955485825
2021-05-01,9520.425524207913,0,4760.212762103956,0.0,4760.212762103956,4760.212762103956,1,0,0.44922851528598867,-0.019094032751948764
2021-05-02,9605.628709106453,0,4802.814354553227,0.0,4802.814354553227,4802.814354553227,1,0,0.4524139887171804,0.008949514355413246
2021-05-03,9005.003322207025,0,4502.501661103513,0.0,4502.501661103513,4502.501661103513,1,0,0.4624002700115216,-0.0625284825271265
2021-05-04,9515.318834368456,0,4757.659417184228,0.0,4757.659417184228,4757.659417184228,1,0,0.4684117923774141,0.05667021919947035
2021-05-05,9929.678189032766,0,4964.839094516383,0.0,4964.839094516383,4964.839094516383,1,0,0.49971841964599006,0.043546554968571405
2021-05-06,9838.578518778913,0,4919.289259389457,0.0,4919.289259389457,4919.289259389457,1,0,0.4530876828152861,-0.00917448365592266
2021-05-07,9696.769182206368,0,4848.384591103184,0.0,4848.384591103184,4848.384591103184,1,0,0.4591988666634801,-0.014413600125452453
2021-05-08,9689.461576980942,0,4844.730788490471,0.0,4844.730788490471,4844.730788490471,1,0,0.45465488367064744,-0.0007536123721326726
2021-05-09,9129.393906290989,0,4564.696953145494,0.0,4564.696953145494,4564.696953145494,1,0,0.5383481287824725,-0.05780173296940416
2021-05-10,9441.484318303636,0,4720.742159151818,0.0,4720.742159151818,4720.742159151818,1,0,0.550502974411141,0.034185227980752186
2021-05-11,8855.049717436234,0,4427.524858718117,0.0,4427.524858718117,4427.524858718117,1,0,0.558485883509676,-0.062112543017258104
2021-05-12,8757.082421915857,0,4378.541210957928,0.0,4378.541210957928,4378.541210957928,1,0,0.5243492950880677,-0.011063438224121147
2021-05-13,9144.668990171944,0,4572.334495085972,0.0,4572.334495085972,4572.334495085972,1,0,0.508164245099406,0.044259783062689406
2021-05-14,8861.339227017888,0,4430.669613508944,0.0,4430.669613508944,4430.669613508944,1,0,0.5089062650901135,-0.030983052908591713
2021-05-15,8889.31914964074,0,4444.65957482037,0.0,4444.65957482037,4444.65957482037,1,0,0.5240448018888993,0.0031575275368695976
2021-05-16,8518.826873943162,0,4259.413436971581,0.0,4259.413436971581,4259.413436971581,1,0,0.5203342015696879,-0.04167836360252075
2021-05-17,8774.928171407426,0,4387.464085703713,0.0,4387.464085703713,4387.464085703713,1,0,0.5292793823184012,0.030062977127473856
