date,symbol,signal,slope,norm_slope,r_squared,trendline_score,trendline_rank,percentile,weight,price,volatility,market_cap,volume_30d_avg,p_value
2021-03-02,BNT/USD,LONG,0.07915378438455126,500.0,0.7783463316713295,389.17316583566475,8.0,100.0,0.25,5.5797,2.1439525464877933,133939953.40059274,5280398.167893067,1.245381105767393e-20
2021-03-02,GRT/USD,LONG,0.036903698249513756,500.0,0.7760233454183079,388.0116727091539,7.0,87.5,0.25,1.8328,2.33170602946444,369564933.9037584,92907586.40433334,1.6874510450408295e-20
2021-03-02,EOS/USD,SHORT,0.03295087524312309,327.44539786931466,0.46336552742552667,151.7269094867764,1.0,12.5,-0.5,3.673,1.4447234735051881,2625024378.6311483,6602923.236666666,2.177941117405363e-09
2021-03-09,BNT/USD,LONG,0.11523453459294249,463.11541522802,0.8280767859935898,383.49512458610565,8.0,100.0,0.25,9.0821,1.8796142446466415,133939953.40059274,5925338.271593733,7.630087750963171e-24
2021-03-09,GRT/USD,LONG,0.0363956821339261,500.0,0.7654465942018107,382.72329710090537,7.0,87.5,0.25,2.1202,2.2610602233847503,369564933.9037584,79924149.59966667,6.474644431819782e-20
2021-03-09,EOS/USD,SHORT,0.03069069185884968,268.63555224172984,0.4156547466415134,111.65964240593925,1.0,12.5,-0.5,4.17,1.4071945471410214,2625024378.6311483,5850585.393333333,2.7086151821023524e-08
2021-03-16,BNT/USD,LONG,0.13250285357043629,500.0,0.8865417860837402,443.2708930418701,6.0,100.0,0.25,7.5446,1.91452113690309,133939953.40059274,5576189.214108033,4.303534514227424e-29
2021-03-16,GRT/USD,LONG,0.030313751041956098,500.0,0.6390411271982703,319.5205635991352,5.0,83.33333333333334,0.25,1.7134,1.4163365540507562,369564933.9037584,52290994.223000005,1.8961119224673388e-14
2021-03-16,XLM/USD,SHORT,0.0027380712420116697,252.67389497943495,0.3637726654965872,91.91585627807379,1.0,16.666666666666664,-0.5,0.395528,1.0263491096351252,2989656210.8862576,198501472.23333332,3.39487205252398e-07
2021-03-23,GRT/USD,LONG,0.021214481800500135,500.0,0.4104774290189456,205.2387145094728,5.0,100.0,0.25,1.5031,1.3848695347042652,369564933.9037584,39915222.92666666,3.5185812675931995e-08
2021-03-23,OXT/USD,LONG,0.006096107252014448,333.1954398001308,0.5830419514485196,194.266919434816,4.0,80.0,0.25,0.6678,1.375461664841468,84970405.6500807,36874707.53333333,1.297618806547676e-12
2021-03-23,XLM/USD,SHORT,0.001608227285357043,148.50119765620266,0.15938132005293448,23.66831691188732,1.0,20.0,-0.5,0.395285,1.0175570769641342,2989656210.8862576,179720179.3,0.001578533117933087
2021-03-30,GRT/USD,LONG,0.008863689913864964,183.63303545014824,0.116358351305283,21.367237250163836,4.0,80.0,0.25,1.7618,1.441201637577999,369564933.9037584,28468111.006999996,0.00764899117376339
2021-03-30,OXT/USD,LONG,0.00481728813559322,243.60074390295446,0.48004959716555984,116.940438979844,5.0,100.0,0.25,0.7218,1.4318811256145034,84970405.6500807,33703823.9,8.571991275510899e-10
2021-03-30,XLM/USD,SHORT,-0.00021500583495415412,-19.57060057064708,0.005018529544815717,-0.0982156371735797,1.0,20.0,-0.5,0.400995,0.6820391679193516,2989656210.8862576,130898445.26666667,0.5906669161426602
2021-04-06,OXT/USD,LONG,0.004225993331480967,190.05514612993505,0.4365124135828249,82.96143055101443,5.0,100.0,0.25,0.8116,1.5311483827991341,84970405.6500807,35782360.43333333,9.227827063352967e-09
2021-04-06,ZRX/USD,LONG,0.0017901331203111974,33.96042561920931,0.027597007469597576,0.9372061194840322,4.0,80.0,0.25,1.924,1.0642988049055502,294490417.9531757,9776614.590623667,0.20460027113062387
2021-04-06,XLM/USD,SHORT,-0.000796105195887747,-53.6255082435561,0.08130154683262915,-4.359836769887017,1.0,20.0,-0.5,0.541866,1.0673979656338235,2989656210.8862576,144820387.63333333,0.027227441311752955
2021-04-13,OXT/USD,LONG,0.00449667129758266,214.77165972489806,0.49919235838402404,107.21237133212297,5.0,100.0,0.25,0.7642,1.5336446962252113,84970405.6500807,31924385.166666668,2.8358781101352074e-10
2021-04-13,ZRX/USD,LONG,0.007720854987496525,122.8273786261067,0.2698761944515051,33.14818551806781,4.0,80.0,0.25,2.294368,1.2443646380793358,294490417.9531757,11198676.316541,2.1060361389944207e-05
2021-04-13,GRT/USD,SHORT,-0.006638791330925256,-125.99619570443626,0.2791017795848681,-35.16576244203147,1.0,20.0,-0.5,1.9232,1.2902455075227832,369564933.9037584,21799449.316666666,1.434674292400396e-05
2021-04-20,EOS/USD,LONG,0.0653111419838844,355.74640835871963,0.661022521307532,235.15638779937973,6.0,100.0,0.25,6.701,1.5607520307146054,2625024378.6311483,5636128.376666666,3.0169086058497237e-15
2021-04-20,OXT/USD,LONG,0.005539180327868852,297.58622603357827,0.6646475467196616,197.7899550707805,5.0,83.33333333333334,0.25,0.6794,1.5201398221001938,84970405.6500807,27935764.233333334,2.2030311513858653e-15
2021-04-20,GRT/USD,SHORT,-0.0019651264240066668,-45.083038640002094,0.03353210140557378,-1.5117290233479512,1.0,16.666666666666664,-0.5,1.591,1.4348130680600404,369564933.9037584,23775420.928333335,0.1613758171390182
2021-04-27,EOS/USD,LONG,0.06418074465129203,386.2485044966462,0.6508797174009956,251.40131745333426,6.0,100.0,0.25,6.065,1.64419429123633,2625024378.6311483,6164617.873333334,7.146260934329946e-15
