Strategy,Weight,Weight_Pct
Leverage Inverted,0.3619322230518345,36.19322230518345
Volatility Factor,0.16773718089006687,16.773718089006685
Breakout Signal,0.07033059605809827,7.033059605809827
Dilution Factor,0.05000000000000192,5.000000000000192
Mean Reversion,0.05,5.0
Size Factor,0.05,5.0
Carry Factor,0.05,5.0
Kurtosis Factor,0.05,5.0
Days from High,0.05,5.0
ADF (Blended),0.05,5.0
Beta Factor (BAB),0.05,5.0
