date,regime,strategy,direction,daily_return,num_positions
2021-03-02,Moderate Up,Mean Reversion,LONG,0.020827661312278756,1
2021-03-02,Moderate Up,Mean Reversion,SHORT,-0.02979399781863562,2
2021-03-02,Moderate Up,Trend Following,LONG,0.02979399781863562,2
2021-03-02,Moderate Up,Trend Following,SHORT,-0.020827661312278756,1
2021-03-09,Strong Up,Mean Reversion,LONG,-0.021103117505995195,1
2021-03-09,Strong Up,Mean Reversion,SHORT,0.026484526227387922,2
2021-03-09,Strong Up,Trend Following,LONG,-0.026484526227387922,2
2021-03-09,Strong Up,Trend Following,SHORT,0.021103117505995195,1
2021-03-16,Down,Mean Reversion,LONG,0.020239641597964098,1
2021-03-16,Down,Mean Reversion,SHORT,-0.003548110317299902,2
2021-03-16,Down,Trend Following,LONG,0.003548110317299902,2
2021-03-16,Down,Trend Following,SHORT,-0.020239641597964098,1
2021-03-23,Down,Mean Reversion,LONG,-0.03792172739541161,1
2021-03-23,Down,Mean Reversion,SHORT,0.03990041760859353,2
2021-03-23,Down,Trend Following,LONG,-0.03990041760859353,2
2021-03-23,Down,Trend Following,SHORT,0.03792172739541161,1
2021-03-30,Strong Up,Mean Reversion,LONG,0.0058965822516490185,1
2021-03-30,Strong Up,Mean Reversion,SHORT,0.013530827451370103,2
2021-03-30,Strong Up,Trend Following,LONG,-0.013530827451370103,2
2021-03-30,Strong Up,Trend Following,SHORT,-0.0058965822516490185,1
2021-04-06,Down,Mean Reversion,LONG,-0.042015771315919215,1
2021-04-06,Down,Mean Reversion,SHORT,0.05138001831957853,2
2021-04-06,Down,Trend Following,LONG,-0.05138001831957853,2
2021-04-06,Down,Trend Following,SHORT,0.042015771315919215,1
2021-04-13,Moderate Up,Mean Reversion,LONG,-0.01682390974467246,1
2021-04-13,Moderate Up,Mean Reversion,SHORT,0.02310543196713366,2
2021-04-13,Moderate Up,Trend Following,LONG,-0.02310543196713366,2
2021-04-13,Moderate Up,Trend Following,SHORT,0.01682390974467246,1
2021-04-20,Strong Down,Mean Reversion,LONG,-0.030862763320941733,1
2021-04-20,Strong Down,Mean Reversion,SHORT,0.028674034363010553,2
2021-04-20,Strong Down,Trend Following,LONG,-0.028674034363010553,2
2021-04-20,Strong Down,Trend Following,SHORT,0.030862763320941733,1
2021-04-27,Moderate Up,Mean Reversion,LONG,-0.007628205128205168,1
2021-04-27,Moderate Up,Mean Reversion,SHORT,0.02438367310059461,2
2021-04-27,Moderate Up,Trend Following,LONG,-0.02438367310059461,2
2021-04-27,Moderate Up,Trend Following,SHORT,0.007628205128205168,1
2021-05-04,Down,Mean Reversion,LONG,0.06629530833202579,1
2021-05-04,Down,Mean Reversion,SHORT,-0.12422162185211094,2
2021-05-04,Down,Trend Following,LONG,0.12422162185211094,2
2021-05-04,Down,Trend Following,SHORT,-0.06629530833202579,1
2021-05-11,Moderate Up,Mean Reversion,LONG,-0.14382571585903087,1
2021-05-11,Moderate Up,Mean Reversion,SHORT,0.058334940238199684,2
