,Breakout Signal,Mean Reversion,Size Factor,Carry Factor,Days from High,Volatility Factor,Kurtosis Factor,Beta Factor (BAB)
Breakout Signal,0.00015177383293347478,4.62778307230139e-05,3.7764652308470584e-06,-1.8175457960998857e-05,0.00013344905485362073,-7.393706338634883e-06,-1.1880780449680906e-05,2.02492181830811e-06
Mean Reversion,4.62778307230139e-05,0.0016266612611689456,-0.00018654622848676762,3.0213622755054105e-05,0.001496386438509158,-0.0002760840380374771,1.6518387400253553e-05,-0.000294271395898089
Size Factor,3.7764652308470584e-06,-0.00018654622848676762,0.00012293137032275543,-5.430844308154187e-06,-0.00011886956618576951,7.01123233326417e-05,-1.3598642309681546e-05,5.605421618870804e-05
Carry Factor,-1.8175457960998857e-05,3.0213622755054105e-05,-5.430844308154187e-06,6.216045629992666e-05,3.2302566092831516e-05,-1.0358575541354297e-05,-1.2216873948731365e-06,-1.4811199703577852e-05
Days from High,0.00013344905485362073,0.001496386438509158,-0.00011886956618576951,3.2302566092831516e-05,0.0016516420159320886,-0.00021919809476051891,6.847506675056071e-06,-0.0001440126798148992
Volatility Factor,-7.393706338634883e-06,-0.0002760840380374771,7.01123233326417e-05,-1.0358575541354297e-05,-0.00021919809476051891,0.00018896939409114314,-6.284567418974611e-06,0.0001086785166560726
Kurtosis Factor,-1.1880780449680906e-05,1.6518387400253553e-05,-1.3598642309681546e-05,-1.2216873948731365e-06,6.847506675056071e-06,-6.284567418974611e-06,8.344491039759635e-05,-1.7391446278081306e-05
Beta Factor (BAB),2.02492181830811e-06,-0.000294271395898089,5.605421618870804e-05,-1.4811199703577852e-05,-0.0001440126798148992,0.0001086785166560726,-1.7391446278081306e-05,0.00019825620505495582
