date,symbol,signal,old_weight,new_weight,weight_change,entropy
2021-03-02,XTZ/USD,LONG,0.0,0.2951055286390493,0.2951055286390493,3.309194930603366
2021-03-02,XLM/USD,SHORT,0.0,-0.5,-0.5,2.634911999868539
2021-03-02,BNT/USD,LONG,0.0,0.20489447136095068,0.20489447136095068,3.2974168451037094
2021-03-16,ALGO/USD,LONG,0.0,0.307122648509643,0.307122648509643,3.1968373646926143
2021-03-16,BNT/USD,LONG,0.20489447136095068,0.192877351490357,-0.012017119870593673,3.3106152253101553
2021-03-16,XTZ/USD,CLOSE,0.2951055286390493,0.0,-0.2951055286390493,
2021-03-16,ZRX/USD,SHORT,0.0,-0.5,-0.5,2.867019893290978
2021-03-16,XLM/USD,CLOSE,-0.5,0.0,0.5,3.130040777707878
2021-03-30,ALGO/USD,CLOSE,0.307122648509643,0.0,-0.307122648509643,3.167814807385824
2021-03-30,BNT/USD,CLOSE,0.192877351490357,0.0,-0.192877351490357,
2021-03-30,OXT/USD,LONG,0.0,0.1613209282312111,0.1613209282312111,3.2478315601735415
2021-03-30,XLM/USD,LONG,0.0,0.33867907176878886,0.33867907176878886,3.21286188154264
2021-04-13,ALGO/USD,LONG,0.0,0.27729211434671885,0.27729211434671885,3.4518868465060555
2021-04-13,OXT/USD,CLOSE,0.1613209282312111,0.0,-0.1613209282312111,3.1880837579089283
2021-04-13,ZRX/USD,LONG,-0.5,0.22270788565328112,0.7227078856532811,3.560057263100606
2021-04-13,XLM/USD,SHORT,0.33867907176878886,-0.5,-0.8386790717687889,2.929972300941883
2021-04-27,ALGO/USD,CLOSE,0.27729211434671885,0.0,-0.27729211434671885,3.3848353867343177
2021-04-27,EOS/USD,LONG,0.0,0.2504016287337763,0.2504016287337763,3.6224280559278856
2021-04-27,ZRX/USD,LONG,0.22270788565328112,0.2495983712662237,0.026890485612942577,3.6010245140088144
2021-05-11,ALGO/USD,LONG,0.0,0.26592139905458984,0.26592139905458984,3.4859175795054953
2021-05-11,EOS/USD,SHORT,0.2504016287337763,-0.5,-0.7504016287337762,3.0501249075754853
2021-05-11,ZRX/USD,LONG,0.2495983712662237,0.23407860094541014,-0.015519770320813558,3.6053203878482014
