date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_spread_long,avg_spread_short
2021-05-24,10963.941332782635,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-25,10902.456659650203,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-26,11428.427947043108,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-27,11035.72001782865,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-28,10616.412753850505,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-29,10190.280774784605,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-30,10568.700228776584,0,5000.0,0,5000.0,5000.0,2,0,16.97877697970553,0
2021-05-31,10792.139322868874,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-01,10646.94987231187,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-02,10673.05233586254,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-03,10977.17055830021,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-04,10417.97103439501,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-05,10165.419375812942,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-06,10236.801674561642,0,5284.350114388292,0,5284.350114388292,5284.350114388292,2,0,43.24865023883932,0
2021-06-07,9508.27679520463,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-08,9705.507218214574,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-09,9995.327293083064,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-10,9572.898445686498,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-11,9323.405619514013,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-12,9305.84385911243,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-13,9551.126424526226,0,5118.400837280821,0,5118.400837280821,5118.400837280821,2,0,64.34732359861908,0
2021-06-14,10065.055648979273,0,4775.563212263113,0,4775.563212263113,4775.563212263113,2,0,100.05407772307902,0
2021-06-15,10139.25298067342,0,4775.563212263113,0,4775.563212263113,4775.563212263113,2,0,100.05407772307902,0
2021-06-16,9845.075680604106,0,4775.563212263113,0,4775.563212263113,4775.563212263113,2,0,100.05407772307902,0
2021-06-17,9883.188103632116,0,4775.563212263113,0,4775.563212263113,4775.563212263113,2,0,100.05407772307902,0
