Strategy,Weight,Weight_Pct
Leverage Inverted,0.43887945330723305,43.887945330723305
Beta Factor (BAB),0.13170263967124463,13.170263967124463
Carry Factor,0.0752507012521441,7.52507012521441
Size Factor,0.05727562989327162,5.727562989327161
Volatility Factor,0.04407855436562547,4.4078554365625475
ADF (Blended),0.042254485896295525,4.225448589629552
Breakout Signal,0.04211170712283714,4.211170712283714
Mean Reversion,0.04211170712283714,4.211170712283714
Days from High,0.04211170712283714,4.211170712283714
Kurtosis Factor,0.04211170712283714,4.211170712283714
Dilution Factor,0.04211170712283714,4.211170712283714
