regime,trend,vol,num_days,total_return,annualized_return,long_contribution,short_contribution,long_annualized,short_annualized,sharpe,win_rate,avg_long_positions,avg_short_positions,avg_long_exposure,avg_short_exposure
Bear / Low Vol,Bear,Low Vol,260,-0.1648429035811214,-0.22344082654895492,0.17570498392054293,0.2873274420057427,0.27974746549973695,0.49685093454050944,1.792664091221266,0.49615384615384617,0.7769230769230769,1.7769230769230768,0.3,0.5
Bear / High Vol,Bear,High Vol,284,-0.3512047377782628,-0.42651949349094875,0.17149925814949118,0.3082967990233736,0.246591191015896,0.4862059346021861,1.5433529448569459,0.5035211267605634,1.0492957746478873,2.0492957746478875,0.4471830985915493,0.5
Bull / Low Vol,Bull,Low Vol,644,-0.6691420504406468,-0.46574675911825647,-0.5064607722864849,-0.7464225350777192,-0.2495234440318297,-0.3449541457383847,-2.011532747253463,0.44875776397515527,1.563664596273292,2.563664596273292,0.4192546583850932,0.5
Bull / High Vol,Bull,High Vol,175,-0.668440772634723,-0.8999936730750016,-0.11755264021463527,-0.21090047667155454,-0.21743729142055723,-0.35588508996136003,-1.2168131754839877,0.4514285714285714,1.1828571428571428,2.182857142857143,0.5,0.5
