,Elite VC (8+),Strong VC (5+),Moderate VC (3-4),Weak VC (1-2),Market Benchmark
2021-04-20,100.0,100.0,100.0,100.0,100.0
2021-04-21,97.25307789383723,96.94469796208817,94.82416777268472,94.99246746478403,95.85862844563283
2021-04-22,97.2129638219434,94.14819910063211,87.94104417915213,92.60274721093343,92.08083728431781
2021-04-23,94.4134154100111,91.63310695873979,87.95539181973942,92.20832879730244,90.80577541195639
2021-04-24,89.61408406709648,85.80737525501328,78.70436384767545,83.91059882084346,83.40743183061124
2021-04-25,92.5578264120305,87.69936583208414,78.17665197809183,83.81787633993557,84.12491160644655
2021-04-26,104.25740868976528,99.28641543854687,89.62964565069285,94.22437112924628,95.3613983459723
2021-04-27,108.23494875384768,104.9131578913435,96.14404550889572,98.18622365022506,100.78087879172584
2021-04-28,110.21502736313798,106.91075984219955,98.6728914739857,101.86603214450118,103.36873422462295
2021-04-29,107.97817976877222,105.36157521133869,96.36550656083173,100.17787303317249,101.58030299035917
2021-04-30,112.77900408751317,110.05556278864529,103.14899152404631,105.50340284409641,106.99990113287254
2021-05-01,118.85171619891523,114.12922700173208,103.97956415422057,114.69063330133466,111.57235858895635
2021-05-02,116.53303012925954,111.68826483706336,101.30061395730527,111.93180930583337,108.98316979413319
2021-05-03,124.04116297814055,117.76813853866116,102.69964544912361,120.73047085396114,114.53982899886446
2021-05-04,112.2114885791862,106.00976040371974,92.48178727968705,131.48149090850694,109.19476237192094
2021-05-05,121.39470139479207,116.18505240979667,110.42565787487437,162.1167549905948,126.89766788869689
2021-05-06,118.73369221917939,118.16286773703224,125.34021469284336,188.1666719656532,138.74450805288078
2021-05-07,118.01441235097563,118.02662985292675,122.79520915156526,175.6796911836276,134.67240068741725
2021-05-08,124.5034629662635,123.57304938162696,121.96237143138391,180.9940927004725,138.45581347992095
2021-05-09,123.53854988865751,121.30270118752266,122.17594891616005,176.3271046801944,136.20874151320507
2021-05-10,119.14773177997549,113.25304827420794,109.70130731425402,158.40928380503573,124.3475801597743
2021-05-11,124.88832603414319,119.42372425056756,134.63058438793453,168.86304615799327,136.6627061291789
2021-05-12,118.91094816025014,109.58739376564255,111.02297994612583,137.9688802223985,117.53861313557297
2021-05-13,116.22198728724564,109.04509786782381,113.22920129790973,141.34442344505078,118.77401226977392
2021-05-14,126.6116103602375,117.30247280580863,119.07545988998154,158.3597577838295,128.72387868906029
2021-05-15,113.56618801758266,107.03545342692469,108.57845382416048,143.88207449400576,117.27268581740914
2021-05-16,113.07061642534339,106.3363834165967,108.35538652527839,143.24236241761847,116.71637864585094
2021-05-17,110.23821349909215,101.33870498071886,99.24918365049786,134.42024279974942,109.60324271106803
2021-05-18,114.92054935985897,106.76022459734139,105.50258309420651,142.41172497103287,115.93192029615648
2021-05-19,81.71850387847044,73.0716905893606,65.90247810380043,96.53516135650088,77.4168261311153
2021-05-20,96.55681813863771,87.38724992567947,77.56773692123971,115.2831928578189,92.20056000014901
2021-05-21,83.66118944491103,76.92343391499635,65.8711277948806,100.8671332987202,80.3503074551233
2021-05-22,79.05559122070022,72.93419353755002,59.677285264931484,91.74284841400274,74.49724620781386
2021-05-23,71.58681794657727,65.16333173401739,49.204116933514484,79.29547707838066,64.79214012753012
2021-05-24,86.20887909731468,77.44514931966374,62.68620570525529,101.7142526405029,79.92990305604907
2021-05-25,84.80511988056065,75.53241791400622,63.06936993523946,101.93384742455083,79.13397390011016
2021-05-26,89.73333755045465,80.60808840631019,75.76712348972619,115.4413889113797,88.36028102339569
2021-05-27,85.03620483363983,75.981156056279,72.90454132493326,107.54101453788837,83.39874190559001
2021-05-28,76.61603336449636,67.32256302025175,64.85809615492768,96.4067210868808,74.2315094679038
2021-05-29,74.30643499611989,64.43744417815842,63.10233362409014,89.29115829320526,70.62943094589791
2021-05-30,77.07109559592035,68.15316358867354,63.76255195246906,93.37226382324017,73.62707553059779
2021-05-31,84.82781930325675,74.22497809832394,70.65811435803359,103.52110506917145,80.95406792175437
2021-06-01,82.39253252500552,71.69134452123483,69.650441239776,100.44317071570174,78.68635644179412
2021-06-02,84.28166397719208,74.42279411055436,73.94638386022878,101.7318208858395,81.53954818904658
2021-06-03,93.2307523540215,83.1486248128321,77.22982037252879,107.54163645373742,88.16790822431007
2021-06-04,88.79927744832742,77.0778275649988,74.14543970961937,97.54211035295603,81.93006858855985
2021-06-05,86.77758046885768,75.61579318983843,71.97228277478983,94.18750785353156,79.80922360798255
2021-06-06,87.71189155833511,77.49415763971446,71.93389241210593,95.94355258893412,81.14930751643136
2021-06-07,82.414578853518,71.1052122421712,64.24993920663267,87.56386902965394,73.86357771922408
2021-06-08,79.5015897297144,67.90237216186419,64.05980815166731,84.8989193424679,71.58560146222287
2021-06-09,83.58470193767769,71.15200678942986,67.96049101944439,89.75915098751047,75.43031938169871
2021-06-10,79.2441336887855,67.16138837991024,63.304688128529286,84.94167446207,71.01753445565325
2021-06-11,76.60336243156931,63.230045222231524,61.45686361734059,79.34659157548549,67.22702631703883
2021-06-12,75.0556918506487,62.73018857498855,59.19322275890527,78.55931816638314,66.1664388142833
2021-06-13,81.12029978114549,68.00899033044738,62.412581724267454,83.58638866069256,70.87387252952243
2021-06-14,83.17122332427488,71.07215641229367,64.45724075276398,85.29420928630967,73.3690536165795
2021-06-15,81.5836285167099,70.24890753172858,64.18723788630305,83.76562376769226,72.52342943770192
2021-06-16,77.14469706840839,66.89965909272352,61.05044474536646,79.46827497775838,68.97295591599054
2021-06-17,76.9664091579602,66.71571207716129,60.89598130545514,79.65471474651301,68.88252623256892
2021-06-18,72.15813708580544,61.838531717922834,56.67678152150057,74.3723470339194,64.03875247825783
2021-06-19,69.95861340103306,59.9872837562615,55.12037163227359,75.24595979534297,62.99796429577789
2021-06-20,71.41153310718263,61.7433741748785,55.75122854790986,75.35911903581423,64.04022612731553
2021-06-21,57.18009588195615,49.1269942804492,43.60252776721368,59.85457401390937,50.74569423204764
2021-06-22,57.20526868786845,48.057200064906056,41.64977834210236,56.38884009867042,48.81403831682328
2021-06-23,61.12683343261534,52.64438659253892,46.306222567000546,63.82370529996027,54.193499050821536
2021-06-24,61.75018796573057,53.03793231477671,49.34150136397099,65.20640399161452,55.484530171891286
2021-06-25,55.70052776713426,47.42947116926662,43.9856600571388,58.87066646022368,49.736594672863596
2021-06-26,56.51761907428205,48.032977841458504,44.18406233817903,60.65809312312401,50.565855508225006
2021-06-27,60.2966704644655,52.318610558349974,46.85175964504474,65.56562664434362,54.637111792616814
2021-06-28,62.71976908951396,54.769105995972474,47.87698408667443,66.78240894747421,56.4139035891194
2021-06-29,66.51984263946873,57.54861136117438,51.655471176560454,72.1202954896427,60.127591835307676
2021-06-30,66.76552281505874,57.13043517921991,53.24579766586361,71.80820934204459,60.21589525215812
2021-07-01,62.31566106193319,53.108522203234216,50.1997603699498,70.0820906475143,57.04907302597801
2021-07-02,63.12127208142749,54.113021170509384,49.68426288088473,69.61714140569589,57.292769781326726
2021-07-03,65.85525838361322,57.36103344784099,51.46495211038,71.30969411805106,59.769845952240956
2021-07-04,67.91879851448704,58.71664008106788,52.9353100814206,73.12124513000552,61.27716322811802
2021-07-05,67.09298633298948,58.19893123053753,50.15073588604579,73.66031894646086,60.50741487935202
2021-07-06,69.38013205632043,59.95592462874984,53.63506318074729,75.87585725526249,62.8005444874962
2021-07-07,69.44712296873782,59.68253419533897,56.1953172028188,74.68612225214598,62.951946193741634
2021-07-08,64.87663271911346,55.43945222555748,51.28425372820374,68.90061947205092,58.12919701272613
2021-07-09,66.68787832873655,57.16815940830461,54.56915698663522,70.78943203272189,60.27217289805748
2021-07-10,65.36389011469021,55.90313877716659,54.53854241705014,71.52892474281974,59.84542716638554
2021-07-11,66.73980636297196,57.08696103791904,54.9480140913448,71.5971380724361,60.54208696331788
2021-07-12,64.09207364369301,54.59416386018211,52.866459949382275,68.30895410541095,57.930033053009
2021-07-13,61.21580867145834,52.89667572831172,50.51815809657399,65.8831810396841,55.879156706664645
2021-07-14,61.518926665971044,52.62314188935083,51.49050103641155,67.19043972414168,56.33173139595627
2021-07-15,59.237545078944635,50.5008294273031,48.68981844471023,63.50242689107695,53.6216350473531
2021-07-16,56.710399841627996,47.81682344727532,47.77507300912009,60.80838031955564,51.35489089418106
2021-07-17,57.037591643432364,47.82490083523607,47.4939823769783,60.88355002845138,51.312429029776794
2021-07-18,57.63835391744612,48.16359651135991,47.105745813578146,60.842869154414146,51.37515970725694
2021-07-19,54.523488774025154,45.09581807623569,43.954032157267946,56.84123606158547,48.02799370886155
2021-07-20,51.96085410504663,42.79922177305003,41.49526229105989,53.14862881379883,45.300292273384734
2021-07-21,58.191482660392055,47.96135531760373,45.135020306808194,57.89580461484593,49.94146600860859
2021-07-22,59.94964886726842,49.58688525084529,46.222652952585086,59.04618614935677,51.29079636184337
2021-07-23,62.194033587672706,51.004694839570405,48.9639815583421,62.035557699606564,53.492199756971154
2021-07-24,63.557739463133245,52.98119471053605,49.40304685734761,62.7040058329475,54.69791217399781
2021-07-25,63.890133693630055,53.356444365908104,49.45850750609302,64.4302291812366,55.369727851301946
2021-07-26,65.58195756556874,53.84022849064403,49.26806034669886,66.32338912949982,56.07429040642761
2021-07-27,67.23513596961975,55.120025582195154,51.897336018833194,69.39933801891607,58.207872600813225
2021-07-28,67.501640944571,54.98247343655615,51.739043897976195,69.07975486759581,58.013935296332534
2021-07-29,69.28092963164798,56.254531440153926,54.54759794447452,69.57820596526136,59.46506185662395
2021-07-30,71.90794769843801,57.95324944621666,58.047038216164765,73.28488560984938,62.193640879289305
2021-07-31,73.62440146569755,59.09870828971791,58.50071700024141,77.48390784491001,64.0169668367905
2021-08-01,74.42858605515248,59.27260380202443,56.0719457303188,77.36835910905313,63.43324919000529
2021-08-02,74.39646152090585,59.46137438657473,56.24978226757618,80.94988386627675,64.5737939728686
2021-08-03,72.36737238214783,57.62505024345908,54.827735975366984,81.0889745228846,63.404199973026
2021-08-04,77.71515579334576,60.79647104409795,57.45245830768232,84.43140914174285,66.47635913480806
2021-08-05,80.67739641678517,63.31591864097163,58.35472687816526,85.14707275624782,68.06385111255092
2021-08-06,84.37299915489898,66.3474735560878,60.73922908588848,84.5594575849595,69.90352564603484
2021-08-07,89.101061255859,71.70497767418783,62.06527535345199,91.87740140303522,74.75677749820169
2021-08-08,84.44115136535224,66.98958262227151,59.52161458175462,86.33132451459193,70.37959707192549
2021-08-09,88.41464408547053,71.57704416138722,62.25399007647822,96.37390298198103,76.01289888025629
2021-08-10,88.30731547642684,73.40922734824434,65.56446924037968,94.80220749320057,77.26775238718636
2021-08-11,91.18430091679747,74.96983125321572,65.47813075013791,95.4158650484756,78.13148276183018
2021-08-12,88.23931816747657,73.4719277318594,64.26613016534398,92.3372474286684,76.26547314401061
2021-08-13,96.08876122760057,79.43360569657739,70.42096261793085,98.84291534142777,82.42021085887016
2021-08-14,94.47685198999136,77.5623878399946,70.89080831253995,99.35334469404407,81.83046047557905
2021-08-15,94.97427958322665,78.02767827591794,72.34869616134965,103.28493318062993,83.52834337310563
2021-08-16,94.80864459896617,76.77748548277991,69.808146099954,100.7156589317218,81.57394503178216
2021-08-17,90.34478871755337,73.68744636527622,64.95500814982006,94.10750900801493,77.04114574874413
2021-08-18,90.10340691722881,74.24120181763604,63.98642852579673,94.37880554635194,77.11146162934344
2021-08-19,96.03588696495149,81.3861963275584,69.65769891443976,99.2078153592044,82.96133395328677
2021-08-20,99.76642796358396,84.67816048800688,72.3306705447498,102.83744815840375,86.15057385560374
2021-08-21,99.9417191300382,83.68307205625288,72.51984125169548,101.1214538359194,85.22184293043453
2021-08-22,99.76246014856211,84.51236826274229,75.56206851611988,101.89993932106195,86.56425513894027
2021-08-23,101.50340045514315,85.09124935639015,76.77878226703042,107.05214481183306,88.84930221823325
