Strategy,Weight,Weight_Pct,Sharpe,Avg_Return,Max_Drawdown
Size Factor,0.38091317121809254,38.091317121809254,0.7002620069491946,0.1764344883681445,-0.2948760694629408
Beta Factor (BAB),0.29712614487779365,29.712614487779366,0.5595100925794301,0.199722863057967,-0.3474870449180359
Breakout Signal,0.2719606839041138,27.196068390411384,0.4632697475031562,0.1456275716099133,-0.2538359332712547
Volatility Factor,0.05000000000000002,5.000000000000002,0.3163640037219392,0.1347490868499192,-0.3054132886701653
