date,symbol,signal,old_weight,new_weight,weight_change,kurtosis
2020-02-19,XRP/USD,LONG,0.0,0.5,0.5,-0.018562096681551843
2020-02-24,XRP/USD,CLOSE,0.5,0.0,-0.5,0.08006371543809365
2020-02-24,XLM/USD,LONG,0.0,0.5,0.5,0.09303182423701362
2020-02-29,ZRX/USD,SHORT,0.0,-0.5,-0.5,-1.0592179811181048
2020-02-29,XLM/USD,CLOSE,0.5,0.0,-0.5,-0.8248562682087726
2020-02-29,ALGO/USD,LONG,0.0,0.17803584318861781,0.17803584318861781,2.032834399071157
2020-02-29,XRP/USD,LONG,0.0,0.3219641568113822,0.3219641568113822,-0.5000009389488245
2020-03-05,ALGO/USD,LONG,0.17803584318861781,0.17172667421564292,-0.006309168972974899,1.31881711995623
2020-03-05,XRP/USD,LONG,0.3219641568113822,0.3282733257843571,0.006309168972974899,-0.5078576708471711
2020-03-10,ALGO/USD,LONG,0.17172667421564292,0.1831597924585734,0.011433118242930473,0.9150241496363094
2020-03-10,XRP/USD,LONG,0.3282733257843571,0.31684020754142656,-0.011433118242930529,0.10096350597336157
2020-03-15,XTZ/USD,LONG,0.0,0.23663445779279305,0.23663445779279305,9.77166867554166
2020-03-15,ALGO/USD,CLOSE,0.1831597924585734,0.0,-0.1831597924585734,8.98266965804459
2020-03-15,LINK/USD,LONG,0.0,0.2633655422072069,0.2633655422072069,12.109112577415907
2020-03-15,XRP/USD,CLOSE,0.31684020754142656,0.0,-0.31684020754142656,7.877432834544781
2020-03-20,XTZ/USD,LONG,0.23663445779279305,0.238689943458362,0.002055485665568957,8.584609487149848
2020-03-20,LINK/USD,LONG,0.2633655422072069,0.261310056541638,-0.0020554856655689013,9.952978352131087
2020-03-25,XTZ/USD,CLOSE,0.238689943458362,0.0,-0.238689943458362,8.073789205965934
2020-03-25,ALGO/USD,LONG,0.0,0.23975826200258288,0.23975826200258288,9.974565463822602
2020-03-25,LINK/USD,LONG,0.261310056541638,0.2602417379974171,-0.0010683185442209031,8.937729008873337
2020-03-30,ALGO/USD,LONG,0.23975826200258288,0.24170799260729922,0.0019497306047163432,12.896184901465464
2020-03-30,LINK/USD,LONG,0.2602417379974171,0.25829200739270075,-0.001949730604716371,9.479921602872484
2020-04-04,ALGO/USD,LONG,0.24170799260729922,0.2410242157297366,-0.0006837768775626307,13.657590895226786
2020-04-04,LINK/USD,LONG,0.25829200739270075,0.25897578427026335,0.000683776877562603,10.19450571295793
2020-04-09,ALGO/USD,LONG,0.2410242157297366,0.24747728917012432,0.00645307344038773,15.342113678144361
2020-04-09,LINK/USD,LONG,0.25897578427026335,0.2525227108298757,-0.006453073440387647,9.307276558512743
2020-04-14,ZRX/USD,CLOSE,-0.5,0.0,0.5,
2020-04-14,ALGO/USD,CLOSE,0.24747728917012432,0.0,-0.24747728917012432,
2020-04-14,LINK/USD,LONG,0.2525227108298757,0.5,0.2474772891701243,0.3640596917433414
2020-04-19,LINK/USD,CLOSE,0.5,0.0,-0.5,-0.08868189994571596
2020-04-19,XLM/USD,LONG,0.0,0.5,0.5,0.31395159491398994
2020-04-24,XLM/USD,CLOSE,0.5,0.0,-0.5,0.18416733994203538
2020-04-24,XRP/USD,LONG,0.0,0.5,0.5,0.40565293705635863
2020-04-29,XRP/USD,CLOSE,0.5,0.0,-0.5,0.5518477166851636
2020-04-29,XLM/USD,LONG,0.0,0.5,0.5,0.6104007010591861
2020-05-04,XLM/USD,CLOSE,0.5,0.0,-0.5,-0.12962622840278648
