date,portfolio_value,num_positions,positions,daily_return,log_return
2025-09-18,10000.0,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",,
2025-09-19,9579.212005854199,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.04207879941458015,-0.042989758480529945
2025-09-20,9506.719288591112,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.007567711959896473,-0.007596492385305049
2025-09-21,9189.89056458021,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.03332682015667843,-0.03389481392942666
2025-09-22,8540.81727350328,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.0706290555383321,-0.073247325503756
2025-09-23,8242.338780339434,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.03494729878952385,-0.03557256648102462
2025-09-24,8315.256357268223,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.008846709516808549,0.008807806655357577
2025-09-25,7540.063610734719,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.09322535749074301,-0.09786132444811729
2025-09-26,8071.338789953249,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.07046030466668185,0.0680887472453492
2025-09-27,8074.092357298299,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.00034115373133358773,0.0003410955516311586
2025-09-28,8332.046717620287,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.031948403474579834,0.031448669176338595
2025-09-29,8286.848222089173,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.005424656997605415,-0.005439423877091739
2025-09-30,8153.1604210113,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.016132526805730407,-0.016264072713420633
2025-10-01,8648.311871585849,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.06073122875130821,0.05895850873943583
2025-10-02,9171.567498726801,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.06050378789646982,0.05874406681864443
2025-10-03,9026.662464113517,3,"DOGE/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.015799375039588393,-0.015925515557154987
2025-10-04,8854.63457310581,2,"HYPE/USDC:USDC, SOL/USDC:USDC",-0.019057751598846484,-0.019241691281030145
2025-10-05,8800.683243737902,3,"BTC/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.0060930046206282285,-0.006111642719864423
2025-10-06,8846.650051449345,3,"BTC/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",0.00522309534821086,0.005209502297026506
2025-10-07,8843.176017726706,3,"BTC/USDC:USDC, HYPE/USDC:USDC, SOL/USDC:USDC",-0.00039269482826098656,-0.00039277195306672714
