date,long_return,short_return,long_short_return,direction_class
2023-01-01,0.0418886676095553,-0.07496590052240008,-0.016538616456422392,Down
2023-01-02,0.03319744290184504,-0.05136389430926809,-0.009083225703711527,Down
2023-01-03,0.06761813974205397,-0.08667951825865325,-0.00953068925829964,Down
2023-01-04,0.06944541818738043,-0.05964487151496476,0.0049002733362078325,Up
2023-01-05,0.1042452144480139,-0.09273914139097794,0.005753036528517982,Up
2023-01-06,0.10278914010566519,-0.08678176012912787,0.008003689988268656,Up
2023-01-07,0.12016889329579462,-0.1152529507204773,0.002457971287658664,Up
2023-01-08,0.10424755147252589,-0.12537912419343117,-0.01056578636045264,Up
2023-01-09,0.1658344255003024,-0.14237139034660257,0.011731517576849912,Up
2023-01-10,0.1714477065027292,-0.1189721731193668,0.0262377666916812,Up
2023-01-11,0.1373060781747683,-0.10616758147435124,0.015569248350208537,Up
2023-01-12,0.12057510224416734,-0.07732182945580511,0.021626636394181116,Up
2023-01-13,0.0024271929703458617,0.017368729685771557,0.009897961328058709,Up
2023-01-14,-0.019043551477347917,0.0276544912867344,0.0043054699046932415,Up
2023-01-15,0.04435051160870078,-0.031405576354506,0.0064724676270973905,Up
2023-01-16,0.04135072621618433,-0.031521003111888435,0.004914861552147948,Up
2023-01-17,0.048587029391432314,-0.04294325443917763,0.002821887476127341,Up
2023-01-18,0.1560488216850064,-0.11244771127720349,0.02180055520390145,Up
2023-01-19,0.06780253013079106,-0.0100275464493094,0.02888749184074083,Up
2023-01-20,0.04302854577400584,0.006098906570149221,0.02456372617207753,Up
2023-01-21,0.052076509844010334,-0.00767128787548268,0.022202610984263828,Up
2023-01-22,0.06716222718492033,0.0006289876273828168,0.03389560740615158,Down
2023-01-23,0.01406446755424534,0.02462796238748828,0.01934621497086681,Up
2023-01-24,0.09172480022914314,-0.08400639580574912,0.003859202211697013,Down
2023-01-25,-0.017969000100470894,-0.0435214680483997,-0.030745234074435298,Down
2023-01-26,-0.0025791685717511006,-0.03318190684664577,-0.017880537709198435,Up
2023-01-27,0.01416737433371207,-0.07842932909865077,-0.03213097738246935,Up
2023-01-28,0.025998250029760903,-0.09081952822571149,-0.03241063909797529,Down
2023-01-29,0.03676556759622121,-0.030481757305915236,0.0031419051451529872,Up
2023-01-30,0.11639844798199034,-0.06277324046272917,0.026812603759630585,Down
2023-01-31,0.07310932394508378,-0.024466872750920025,0.02432122559708188,Down
2023-02-01,0.020772772678586147,0.027884258854415683,0.024328515766500913,Up
2023-02-02,0.11848116317444429,-0.0628876747961387,0.027796744189152796,Up
2023-02-03,0.06527680401250129,-0.011610191891849826,0.02683330606032573,Up
2023-02-04,-0.06427922924860888,0.014038321001052215,-0.02512045412377833,Up
2023-02-05,-0.03773065664322273,-0.04831375981656859,-0.043022208229895664,Up
2023-02-06,-0.006009855347029509,-0.03604432699624402,-0.021027091171636765,Down
2023-02-07,-0.12743441672847614,0.07382928002981756,-0.026802568349329287,Up
2023-02-08,-0.09625666646547336,0.0854301623305092,-0.005413252067482083,Down
2023-02-09,0.039655217511890224,-0.0368112330579489,0.0014219922269706614,Down
2023-02-10,0.08826188462603934,-0.11823428429462397,-0.014986199834292314,Down
2023-02-11,0.04160030212899789,-0.014433496641492936,0.013583402743752476,Down
2023-02-12,0.1159859288961071,-0.10462054441115845,0.0056826922424743215,Down
2023-02-13,0.17706662398681777,-0.129687598419205,0.02368951278380639,Down
2023-02-14,0.08666741311699297,-0.11416442114232428,-0.013748504012665655,Up
2023-02-15,0.08474804677029216,-0.06889889701396053,0.007924574878165815,Up
2023-02-16,0.0688361170636141,-0.09586739365449606,-0.01351563829544098,Up
2023-02-17,0.03372139726114356,-0.01631302438257377,0.008704186439284894,Up
2023-02-18,0.0035660690840153605,-0.007807471710157568,-0.0021207013130711038,Up
