date,symbol,signal,kurtosis,kurtosis_rank,kurtosis_percentile,returns_mean_30d,returns_std_30d
2020-02-19,XRP/USD,LONG,-0.018562096681551843,3.0,100.0,0.005504525915886265,0.04103072332890517
2020-02-29,ALGO/USD,LONG,2.032834399071157,5.0,100.0,0.00996760829463607,0.0830539527688722
2020-02-29,XRP/USD,LONG,-0.5000009389488245,4.0,80.0,-0.00207562276723339,0.04592616972583161
2020-02-29,ZRX/USD,SHORT,-1.0592179811181048,1.0,20.0,-0.0005009097512072104,0.05264538120412351
2020-03-10,ALGO/USD,LONG,0.9150241496363094,5.0,100.0,-0.006482998202385344,0.09134191486523839
2020-03-10,XRP/USD,LONG,0.10096350597336157,4.0,80.0,-0.00967589065008061,0.05280316630047117
2020-03-10,ZRX/USD,SHORT,-0.4819305301198069,1.0,20.0,-0.007125212959107267,0.05959551555817928
2020-03-20,LINK/USD,LONG,9.952978352131087,6.0,100.0,-0.022132084722778812,0.12882769421547702
2020-03-20,XTZ/USD,LONG,8.584609487149848,5.0,83.33333333333334,-0.02489196638283865,0.14103640719763977
2020-03-20,ZRX/USD,SHORT,5.368470244909702,1.0,16.666666666666664,-0.02070505309948605,0.09137705924098732
2020-03-30,ALGO/USD,LONG,12.896184901465464,6.0,100.0,-0.024701514496897153,0.13922818403918014
2020-03-30,LINK/USD,LONG,9.479921602872484,5.0,83.33333333333334,-0.021319008727204828,0.13028883556317453
2020-03-30,ZRX/USD,SHORT,5.156260096259301,1.0,16.666666666666664,-0.014092305059278599,0.09372685837276011
2020-04-09,ALGO/USD,LONG,15.342113678144361,6.0,100.0,-0.011329490797891488,0.1368668900986293
2020-04-09,LINK/USD,LONG,9.307276558512743,5.0,83.33333333333334,-0.006941440165571347,0.13413227993411359
2020-04-09,ZRX/USD,SHORT,7.328427058940292,1.0,16.666666666666664,-0.007366042656324038,0.08941009290768936
2020-04-19,XLM/USD,LONG,0.31395159491398994,3.0,100.0,0.0067750429733880796,0.04871016946614962
2020-04-29,XLM/USD,LONG,0.6104007010591861,2.0,100.0,0.019686789116945224,0.047192733814258564
2020-05-09,ZRX/USD,LONG,5.550966817672137,4.0,100.0,0.026607939689606855,0.09017860964050817
2020-05-19,ZRX/USD,LONG,4.696884226344911,4.0,100.0,0.024672275507810204,0.0937223758690788
2020-05-29,ZRX/USD,LONG,4.080705118747563,4.0,100.0,0.014754332333715875,0.09874917678724704
2020-06-08,XRP/USD,LONG,1.872568159038237,4.0,100.0,-0.0019660159208915043,0.028194269707929702
2020-06-18,XRP/USD,LONG,1.1000330920133017,4.0,100.0,-0.0025855367399146485,0.025376371218497347
2020-06-28,XRP/USD,LONG,1.810476618694529,3.0,100.0,-0.0037095068338508573,0.024045285892254943
2020-07-08,XRP/USD,LONG,4.308264551575287,3.0,100.0,0.0002764917861383392,0.030603037145968685
2020-07-18,XRP/USD,LONG,5.886190182319801,4.0,100.0,0.0017624496535689307,0.027229109506621423
2020-07-28,XRP/USD,LONG,2.756283678989883,4.0,100.0,0.0089177112344933,0.028468130926391548
2020-08-07,ALGO/USD,LONG,0.8098462797362105,4.0,80.0,0.013470452463711789,0.06656029433854387
2020-08-07,XRP/USD,LONG,1.1738992175515444,5.0,100.0,0.011991049747376043,0.03343824192421235
2020-08-07,ZRX/USD,SHORT,-0.8922733163235277,1.0,20.0,-0.004339476288324886,0.03506642675752403
2020-08-17,LINK/USD,LONG,1.168771854629659,5.0,83.33333333333334,0.024958837559448055,0.0800576049700401
2020-08-17,ZRX/USD,LONG,1.7134630246550246,6.0,100.0,0.009837418960315076,0.06631942134515924
2020-08-17,XTZ/USD,SHORT,-0.7333167631999356,1.0,16.666666666666664,0.009826651340688155,0.05616345314391768
2020-08-27,LINK/USD,LONG,0.5223178914681599,6.0,100.0,0.023169303543084278,0.08696118423954934
2020-08-27,XRP/USD,LONG,0.5131550210881524,5.0,83.33333333333334,0.004566336923413446,0.03864833468335867
2020-08-27,XTZ/USD,SHORT,-0.6286312583496287,1.0,16.666666666666664,0.004245757275387827,0.061781705513827306
2020-09-06,ALGO/USD,LONG,0.5818644264147803,5.0,83.33333333333334,0.000536636221244556,0.10981636177352322
2020-09-06,XLM/USD,LONG,1.561404798768116,6.0,100.0,-0.009572276498809667,0.049250568319627853
2020-09-06,ZRX/USD,SHORT,-0.26268682894570583,1.0,16.666666666666664,0.005216858027708156,0.1010520244445032
2020-09-16,XLM/USD,LONG,1.828826805027881,4.0,100.0,-0.011778490019277044,0.04715854513798956
2020-09-26,XLM/USD,LONG,2.1709689207856213,4.0,100.0,-0.007952201100756201,0.04816170327572626
2020-10-06,XRP/USD,LONG,0.997979950747705,3.0,100.0,0.0007278009683201208,0.025717759964020457
2020-10-16,XLM/USD,LONG,1.446658128153417,3.0,100.0,-0.0002733851465867363,0.03254520348977396
2020-10-26,XRP/USD,LONG,2.4787941503842177,3.0,100.0,0.0009382630455724284,0.018484272812885325
2020-11-05,XLM/USD,LONG,-0.10179916622079022,3.0,100.0,0.003490841475503486,0.031952613442677275
2020-11-15,XLM/USD,LONG,-0.1397911145601234,3.0,100.0,0.00033420405230639815,0.031912543982874124
2020-11-25,XLM/USD,LONG,6.584388240911782,4.0,100.0,0.028894939367792173,0.09427009255540311
2020-12-05,XLM/USD,LONG,3.056495594313028,4.0,100.0,0.02533341930861233,0.10975795756437486
2020-12-15,XRP/USD,LONG,2.076258143789957,4.0,100.0,0.018388056264996906,0.11116046327009958
2020-12-25,XRP/USD,LONG,5.894532977955192,4.0,100.0,-0.022851980366347575,0.13433459822152355
