,value
initial_capital,10000.0
leverage,1.0
final_value,9236.454436084234
total_return,-0.07635455639157662
annualized_return,-0.0826647750959546
annualized_volatility,0.5176198193065495
sharpe_ratio,-0.15970171931727775
sortino_ratio,-0.17511278114842435
max_drawdown,-0.4473207471726188
calmar_ratio,-0.18479977872355355
win_rate,0.4494047619047619
trading_days,336.0
avg_long_exposure,4599.67208045261
avg_short_exposure,-4599.67208045261
avg_net_exposure,0.0
avg_gross_exposure,9199.34416090522
avg_long_positions,1.8303571428571428
avg_short_positions,0.9494047619047619
avg_portfolio_dw,1.678014528523151
