Strategy,Weight,Weight_Pct,Sharpe,Avg_Return,Volatility,Max_Drawdown
Size Factor,0.640684038994182,64.0684038994182,0.7002620069491946,0.1764344883681445,0.2116025356851503,-0.2948760694629408
Beta Factor (BAB),0.30931596100581804,30.931596100581803,0.5595100925794301,0.199722863057967,0.2690967043783481,-0.3474870449180359
Breakout Signal,0.049999999999999996,5.0,0.4632697475031562,0.1456275716099133,0.236112418042603,-0.2538359332712547
Volatility Factor,0.0,0.0,0.3163640037219392,0.1347490868499192,0.2629547960774902,-0.3054132886701653
