date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_rank,percentile,weight,position_size,volatility
2021-05-23,ADA/USD,LONG,13.613242520906986,-15.402200000000006,29.015442520906994,5.0,100.0,0.25,2500.0,2.0517687482699416
2021-05-23,XLM/USD,LONG,-19.38838856149593,-24.330499999999994,4.942111438504064,4.0,80.0,0.25,2500.0,2.054763144038816
2021-05-23,XTZ/USD,SHORT,-39.71240313289959,62.99300000000001,-102.70540313289959,1.0,20.0,-0.5,-5000.0,2.4987683779131227
2021-05-30,ADA/USD,LONG,16.324874594275606,-35.388400000000004,51.71327459427561,6.0,100.0,0.25,2480.1252909032473,2.208973869505192
2021-05-30,LINK/USD,LONG,-29.668274116596994,-64.45230000000001,34.78402588340302,5.0,83.33333333333334,0.25,2480.1252909032473,2.760931711071357
2021-05-30,XTZ/USD,SHORT,-41.53785951868518,53.51470000000001,-95.0525595186852,1.0,16.666666666666664,-0.5,-4960.250581806495,2.5635632465530027
2021-06-06,ADA/USD,LONG,1.371518337260591,-63.84120000000001,65.2127183372606,6.0,100.0,0.25,2347.458747882728,2.1490340991990604
2021-06-06,CRV/USD,LONG,-32.73567114002242,-96.2176,63.481928859977586,5.0,83.33333333333334,0.25,2347.458747882728,2.871042949487124
2021-06-06,XTZ/USD,SHORT,-45.86254072580076,1.3385000000000105,-47.20104072580077,1.0,16.666666666666664,-0.5,-4694.917495765456,2.454463060300604
2021-06-13,CRV/USD,LONG,-40.13459607609019,-124.60430000000001,84.46970392390982,5.0,83.33333333333334,0.25,2557.0229778293474,2.913938882772527
2021-06-13,GRT/USD,LONG,-49.860948477751755,-165.49939999999998,115.63845152224823,6.0,100.0,0.25,2557.0229778293474,2.6695952489864805
2021-06-13,XTZ/USD,SHORT,-48.87504433512729,-21.88249999999999,-26.992544335127302,1.0,16.666666666666664,-0.5,-5114.045955658695,2.295951584189283
2021-09-05,ADA/USD,LONG,107.63255416191564,80.8329,26.79965416191564,5.0,100.0,0.25,2378.372217962827,1.2812144656632518
2021-09-05,GRT/USD,SHORT,45.618776671408256,113.46690000000001,-67.84812332859175,1.0,20.0,-0.5,-4756.744435925654,1.1874575200130004
2021-09-05,XLM/USD,LONG,39.52518177292583,49.63400000000001,-10.108818227074174,4.0,80.0,0.25,2378.372217962827,1.0045641221729371
2021-09-12,ADA/USD,LONG,20.600056080007477,69.756,-49.155943919992524,4.0,80.0,0.25,2451.8650791045507,1.259170726856639
2021-09-12,DOGE/USD,SHORT,-12.822299651567947,68.6537,-81.47599965156795,1.0,20.0,-0.5,-4903.730158209101,1.1706130869764841
2021-09-12,XTZ/USD,LONG,95.51665599866416,89.47730000000001,6.039355998664149,5.0,100.0,0.25,2451.8650791045507,1.958212148942131
2021-09-19,CRV/USD,LONG,34.27714562935522,20.73839999999999,13.538745629355226,6.0,100.0,0.25,2470.2807855162087,1.5885922323766013
2021-09-19,DOGE/USD,SHORT,-28.842040941032685,59.116,-87.95804094103269,1.0,16.666666666666664,-0.5,-4940.561571032417,0.9949045116846104
2021-09-19,XTZ/USD,LONG,74.88537952114113,77.45660000000001,-2.5712204788588764,5.0,83.33333333333334,0.25,2470.2807855162087,1.9948980636056006
2021-09-26,CRV/USD,LONG,16.45390070921986,7.296299999999993,9.157600709219865,6.0,100.0,0.25,2545.7340774582262,1.9078128657613547
2021-09-26,DOGE/USD,SHORT,-30.427408412483036,47.1528,-77.58020841248303,1.0,16.666666666666664,-0.5,-5091.4681549164525,1.0198510714654099
2021-09-26,XTZ/USD,LONG,24.319633832363884,64.45630000000001,-40.13666616763613,5.0,83.33333333333334,0.25,2545.7340774582262,1.9652030697101488
2021-10-03,CRV/USD,LONG,27.51075877689695,-7.463300000000007,34.97405877689695,6.0,100.0,0.25,2676.579373786851,1.965121681725219
2021-10-03,DOGE/USD,SHORT,-25.143435707053662,39.191399999999994,-64.33483570705366,1.0,16.666666666666664,-0.5,-5353.158747573702,1.0528065400035524
2021-10-03,XTZ/USD,LONG,63.68888554330236,47.96100000000001,15.72788554330235,5.0,83.33333333333334,0.25,2676.579373786851,2.0962249361060934
2021-10-10,CRV/USD,LONG,25.75051277270184,10.597699999999993,15.152812772701846,6.0,100.0,0.25,2296.959665846111,1.6672448129882371
2021-10-10,GRT/USD,SHORT,-15.618811881188133,33.01650000000001,-48.635311881188144,1.0,16.666666666666664,-0.5,-4593.919331692222,1.135713724712516
2021-10-10,XTZ/USD,LONG,12.752155555915024,35.36250000000001,-22.610344444084987,5.0,83.33333333333334,0.25,2296.959665846111,1.7450082478808346
2021-10-17,CRV/USD,LONG,2.3429142001283765,10.597699999999993,-8.254785799871616,6.0,100.0,0.25,2348.483586281396,1.5021364723939663
2021-10-17,GRT/USD,SHORT,-5.117869793575169,47.56080000000001,-52.678669793575175,1.0,16.666666666666664,-0.5,-4696.967172562792,1.103036264509542
2021-10-17,XLM/USD,LONG,20.03686941716274,29.407500000000006,-9.370630582837265,5.0,83.33333333333334,0.25,2348.483586281396,1.0702043367944083
2021-10-24,DOGE/USD,LONG,31.739961759082224,59.3934,-27.653438240917776,4.0,80.0,0.25,2236.213739306136,0.7199650142880396
2021-10-24,XLM/USD,LONG,32.3421581352346,39.89930000000001,-7.557141864765413,5.0,100.0,0.25,2236.213739306136,0.8951373898671856
2021-10-24,XTZ/USD,SHORT,-7.473416418934365,77.33000000000001,-84.80341641893438,1.0,20.0,-0.5,-4472.427478612272,1.1281770407029128
