date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_spread_long,avg_spread_short
2021-04-19,9989.661929335265,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-20,10074.612817784095,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-21,9960.349662622455,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-22,10342.842121091853,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-23,10316.33597659398,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-24,10284.28114561381,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-25,10283.352213442475,0,5000.0,5000.0,0.0,10000.0,2,1,-75.97497224919528,-419.53255916809655
2021-04-26,9761.423485364565,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-04-27,9578.142102675834,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-04-28,9742.582411738073,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-04-29,9862.546111654616,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-04-30,9913.077055246706,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-05-01,10415.009760247638,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-05-02,10556.763168772242,0,5141.676106721237,5141.676106721237,0.0,10283.352213442475,2,1,-104.33214377828261,-384.9559610932476
2021-05-03,10576.594907252796,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-04,11916.953461420137,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-05,13893.948658172483,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-06,16308.276066841363,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-07,15166.074782128444,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-08,15527.187052000847,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-09,15420.567418301469,0,5278.381584386121,5278.381584386121,0.0,10556.763168772242,2,1,-31.324354821003595,-294.4914632755789
2021-05-10,10512.53421738989,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-11,10806.134222877352,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-12,9920.454642669554,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-13,10300.629140104511,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-14,10658.178563626541,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-15,10675.056135930394,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-16,10906.383242693422,0,7710.2837091507345,7710.2837091507345,0.0,15420.567418301469,2,1,187.2005553634688,-256.8329529070102
2021-05-17,9976.011838199604,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-18,9789.990028677183,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-19,10340.920456074356,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-20,10467.597958210781,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-21,10121.429051232877,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-22,10114.862858289256,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-23,10314.737008471848,0,5453.191621346711,5453.191621346711,0.0,10906.383242693422,2,1,59.98359676192253,-155.36461281639214
2021-05-24,10431.68044282327,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-25,10461.170955982852,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-26,10504.595355845637,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-27,10098.96196480065,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-28,10357.494099093301,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-29,10274.975387357272,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-30,10572.023264258092,0,5157.368504235924,5157.368504235924,0.0,10314.737008471848,2,1,68.78848625078824,-102.70540313289959
2021-05-31,9912.032966676355,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-01,9712.702163042255,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-02,9537.858647246052,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-03,9642.31343760177,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-04,9724.091252263357,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-05,9774.354877169055,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-06,9194.86904715237,0,5286.011632129046,5286.011632129046,0.0,10572.023264258092,2,1,107.73691805706966,-95.0525595186852
2021-06-07,9975.501371206834,0,4597.434523576185,4597.434523576185,0.0,9194.86904715237,2,1,64.34732359861908,-47.20104072580077
2021-06-08,10200.926315103174,0,4597.434523576185,4597.434523576185,0.0,9194.86904715237,2,1,64.34732359861908,-47.20104072580077
2021-06-09,10386.627948740761,0,4597.434523576185,4597.434523576185,0.0,9194.86904715237,2,1,64.34732359861908,-47.20104072580077
2021-06-10,10288.665881038709,0,4597.434523576185,4597.434523576185,0.0,9194.86904715237,2,1,64.34732359861908,-47.20104072580077
2021-06-11,10235.366001907145,0,4597.434523576185,4597.434523576185,0.0,9194.86904715237,2,1,64.34732359861908,-47.20104072580077
2021-06-12,10209.770199970679,0,4597.434523576185,4597.434523576185,0.0,9194.86904715237,2,1,64.34732359861908,-47.20104072580077
