date,symbol,signal,roc_pct,cum_funding_pct,spread_pct,spread_zscore,spread_mean,spread_std,weight,position_size,volatility
2021-04-08,GRT/USD,LONG,-17.50306574851429,374.1505,-391.6535657485143,-2.002157403679918,-51.69244825755753,169.7973979798573,1.0,10000.0,1.3083401755746733
2021-09-02,GRT/USD,LONG,40.244468513074416,90.03390000000002,-49.7894314869256,-2.6685134191224327,76.21021799693858,47.21716914779481,1.0,5182.093648161912,1.1725312234132876
2021-09-09,GRT/USD,LONG,14.068542472329648,80.78070000000001,-66.71215752767036,-2.1871793205374463,65.59197536901434,60.49075704692295,1.0,9708.421473900864,1.4380419946035443
2022-05-12,GRT/USD,LONG,-64.15549597855228,25.043200000000002,-89.19869597855228,-2.393054618557192,-30.97529597402258,24.330159267168522,0.5,904.5079625238172,2.0413531718015463
2022-05-12,XLM/USD,LONG,-37.47066519906128,12.484900000000005,-49.95556519906128,-2.366990440025236,-6.517550233685462,18.35158023068006,0.5,904.5079625238172,0.9801907105833642
2023-03-09,GRT/USD,LONG,-43.953934740882914,31.427300000000006,-75.38123474088292,-3.014126301912908,36.18999468975679,37.01610956376688,1.0,9560.16713111922,1.3670683266504842
2023-11-30,XLM/USD,LONG,-2.4467505898269293,27.719600000000007,-30.166350589826937,-2.284110865716593,-6.7001133290071255,10.273685753628143,1.0,12136.304470224415,0.45568496608314807
2024-01-04,ALGO/USD,LONG,34.785435630689236,67.4885,-32.703064369310766,-2.1347070601246876,0.6580184156717375,15.62794418407643,0.5,5174.620501759631,1.0274903959859076
2024-01-04,XLM/USD,LONG,-0.6865306122448955,52.605700000000006,-53.2922306122449,-2.9522205204613226,-19.48766595632657,11.450555411299671,0.5,5174.620501759631,0.5593419321470767
2024-01-11,ALGO/USD,LONG,2.3244062657908238,58.8096,-56.485193734209176,-2.297975441404746,-3.5556621316044015,23.03311456202904,1.0,9959.082661727436,1.0337699872204995
2024-03-14,XLM/USD,LONG,30.12233793376815,108.31,-78.18766206623185,-2.638663051207176,-43.69451989067033,13.072204183016499,1.0,15365.609473552904,0.7908973922787076
2024-03-21,XLM/USD,LONG,13.27384746122795,119.5126,-106.23875253877206,-2.8843741005323493,-49.6648087653562,19.61394111914068,1.0,8814.290380209075,0.9748759495178017
2024-03-28,XLM/USD,LONG,12.19335691344472,123.64810000000001,-111.4547430865553,-2.3537089692992272,-55.67560699583374,23.698399767465197,1.0,10309.8673222676,0.9902206192927169
2024-12-12,BONK/USD,LONG,1.6930932545014654,86.881666958396,-85.18857370389453,-3.298268682586385,17.384162057627453,31.098963011433046,1.0,31470.415821393006,1.4852461626498812
2024-12-19,BONK/USD,LONG,-43.830112875454375,61.272624870295,-105.10273774574938,-2.644673817277514,10.126732722796891,43.57039031269498,1.0,2947.4332408717582,1.2005497006642236
