date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,avg_divergence_long,avg_divergence_short,daily_return,cumulative_max,drawdown
2023-01-31,10000.0,0,0,0.0,0.0,0.0,0.0,,,,10000.0,0.0
2023-02-01,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-02,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-03,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-04,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-05,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-06,10000.0,0,0,0.0,0.0,0.0,0.0,,,0.0,10000.0,0.0
2023-02-07,9213.892715715243,1,1,0.5,0.5,0.0,1.0,3.0320283687160217,-0.2164056895117199,-0.07861072842847572,10000.0,-0.0786107284284757
2023-02-08,8724.176033766425,1,1,0.5,0.5,0.0,1.0,2.527468710604051,-0.163087505494806,-0.05314981377127992,10000.0,-0.12758239662335746
2023-02-09,9267.182566780617,1,1,0.5,0.5,0.0,1.0,1.8461355867159543,-0.08145846219306842,0.06224158372235,10000.0,-0.0732817433219383
2023-02-10,9095.678899151468,1,1,0.5,0.5,0.0,1.0,2.4636310133042416,-0.054634409615128145,-0.018506559722253235,10000.0,-0.09043211008485323
2023-02-11,8947.73866345068,1,1,0.5,0.5,0.0,1.0,2.2937080063270794,-0.061939984174977654,-0.016264892081292448,10000.0,-0.10522613365493198
2023-02-12,8755.841919049417,1,1,0.5,0.5,0.0,1.0,1.9499279368176865,-0.0075815873018246615,-0.02144639574523055,10000.0,-0.12441580809505831
2023-02-13,9323.812494567137,1,1,0.5,0.5,0.0,1.0,1.5485451986646843,0.026977334761519357,0.06486761419047893,10000.0,-0.0676187505432863
2023-02-14,9505.379129594528,1,1,0.5,0.5,0.0,1.0,1.9439529745693447,-0.29229900975023515,0.01947343269002766,10000.0,-0.04946208704054716
