,value
initial_capital,10000.0
leverage,1.0
final_value,4240.965005510085
total_return,-0.5759034994489916
annualized_return,-0.140056947319958
annualized_volatility,0.4362844077970115
sharpe_ratio,-0.3210221241395402
sortino_ratio,-0.29282333608402655
max_drawdown,-0.7736939987213409
calmar_ratio,-0.1810236961271841
win_rate,0.21783132530120483
trading_days,2075.0
num_trades,456.0
num_long_trades,257.0
num_short_trades,199.0
avg_positions,1.091566265060241
avg_long_positions,0.6120481927710844
avg_short_positions,0.4795180722891566
avg_r2,0.7439861859389091
avg_reversal_z_score,0.19920866930785283
avg_signal_strength,6.075085009983347
avg_slope_magnitude,425.9563311192471
