date,portfolio_value,num_long_positions,num_short_positions,long_exposure,short_exposure,net_exposure,gross_exposure,long_positions,short_positions
2025-01-27,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-01-28,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-01-29,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-01-30,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-01-31,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-01,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-02,10000.0,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-03,10000.0,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-04,10267.783528985714,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-05,10160.989384328828,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-06,10349.404260419855,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-07,10479.064966079757,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-08,10461.123737957996,0,1,0.0,0.5,-0.5,0.5,None,ETH/USDC:USDC
2025-02-09,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-10,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-11,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-12,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-13,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-14,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-15,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-16,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-17,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
2025-02-18,10468.687675813198,0,0,0.0,0.0,0.0,0.0,None,None
