dw_bucket,direction_bucket,count,avg_dw,avg_5d_chg,fwd_1d_mean,fwd_5d_mean,fwd_10d_mean,fwd_1d_sharpe,fwd_5d_sharpe,win_rate_1d,win_rate_5d
Low DW,Down,105,1.4677478740008096,-8.028850958343686,0.68377878296115,1.773459650454736,0.6753990519406003,2.748107842898776,1.9441492954680575,56.19047619047619,57.14285714285714
Low DW,Flat,105,1.4547973020377645,-0.02081305079228567,-0.11194726202152477,-1.2895892035302463,-1.855311092048226,-0.67634940514157,-1.7838569204870642,52.38095238095239,29.523809523809526
Low DW,Up,141,1.4539974368007662,15.901614359516945,-0.286638117500538,1.5281040365663345,6.615334357846485,-0.6792574181388321,0.9581886473217432,48.93617021276596,55.319148936170215
Low-Mid,Down,132,1.79000692363484,-7.868506135148014,-0.08433558005937124,1.5582953980776222,2.218348597659521,-0.33246134514196934,1.1714589972837701,50.0,47.72727272727273
Low-Mid,Flat,115,1.7863965888463667,-0.05157916869972594,0.6871098741471002,2.7141938074964598,2.0233028908560864,1.9731051066079268,1.1703731879970094,46.08695652173913,40.0
Low-Mid,Up,114,1.7885691788548435,9.551651409436559,0.11625975008783856,-0.3143398080521877,0.7760826459574998,0.3856419978591465,-0.29825960111448613,50.0,41.228070175438596
Mid,Down,134,2.0044304709508896,-7.320494699131219,0.22941538567778588,1.442937229786505,2.937432784417262,1.0309137085129574,0.9520761805306416,52.23880597014925,49.25373134328358
Mid,Flat,106,1.9854979079628394,-0.0608817959536521,-0.3312403108587157,-1.0400374947156004,-0.011783903480963953,-1.738790832059882,-0.9883163873536479,51.886792452830186,40.56603773584906
Mid,Up,121,1.99157865128509,10.31347571907434,-0.10096607065991967,1.9533442001474364,8.424092338488547,-0.3572380429218165,1.3090199465716794,52.892561983471076,58.67768595041323
Mid-High,Down,115,2.19384917372364,-6.829217803399357,0.25664425182470973,1.673473830385231,2.9409974025064005,1.0331903868648005,1.3850464992442002,48.69565217391305,53.91304347826087
Mid-High,Flat,145,2.1889718314605604,0.041702627270927245,0.391115625628053,0.06432050950549383,-0.8138333206273286,1.7711634837353323,0.06850143606569097,50.3448275862069,48.96551724137931
Mid-High,Up,101,2.1971747222747573,9.388155606841341,0.5176161636436458,-0.8512002165655234,-0.6553278916071151,1.6368108802168124,-0.7342004270764741,50.495049504950494,38.613861386138616
High DW,Down,119,2.4675337459822284,-6.530219077962831,0.05582342094917856,0.15587852157810755,1.9310673754938403,0.24410208338801348,0.12998845006964121,47.05882352941176,48.739495798319325
High DW,Flat,127,2.482126277991989,0.17563454332212683,-0.33507181255255597,0.197712683942351,-0.8103134863941325,-1.9124855005954913,0.18675194324329994,48.031496062992126,46.45669291338583
High DW,Up,114,2.4872658876016955,10.279386111816583,0.13284791513463928,0.510539256195143,-1.2267944022163353,0.44902775979711423,0.3473828951477348,53.50877192982456,45.614035087719294
