date,symbol,signal,kurtosis,kurtosis_rank,kurtosis_percentile,returns_mean_30d,returns_std_30d
2022-03-02,CRO/USD,LONG,1.0711730930827459,5.0,83.33333333333334,-0.004545047461401677,0.05246062749269475
2022-03-02,GRT/USD,LONG,1.5890920600083893,6.0,100.0,-0.009575756620125782,0.05792192419983731
2022-03-02,ALGO/USD,SHORT,-0.7919468315395304,1.0,16.666666666666664,-0.012562385359182407,0.04877832705429063
2022-03-09,CRO/USD,LONG,1.1370756380668556,4.0,80.0,-0.0017466151261843104,0.0522268826768172
2022-03-09,GRT/USD,LONG,1.620614098616464,5.0,100.0,-0.008398820742427347,0.057587629558645076
2022-03-09,OXT/USD,SHORT,-0.7223205642118606,1.0,20.0,-0.004976969562098176,0.04555025536375732
2022-03-16,CRO/USD,LONG,1.2732936394357166,5.0,100.0,-0.0023606092993091587,0.05160221474097767
2022-03-16,GRT/USD,LONG,1.0766654192414729,4.0,80.0,-0.00446546326058416,0.062249735241545236
2022-03-16,OXT/USD,SHORT,-0.58062836702296,1.0,20.0,-0.004775891034360489,0.044202975586456146
2022-03-23,CRO/USD,LONG,0.06262227414440558,4.0,80.0,0.004160050952017936,0.045215151421522784
2022-03-23,GRT/USD,LONG,0.9743278393630486,5.0,100.0,0.00032117087564830307,0.060796882725867425
2022-03-23,OXT/USD,SHORT,-0.629010917381962,1.0,20.0,0.002407898014042751,0.040310739151613005
2022-03-30,GRT/USD,LONG,0.5887148901672306,6.0,100.0,0.002697477115374681,0.06299862957181034
2022-03-30,ZRX/USD,LONG,0.3182720761867266,5.0,83.33333333333334,0.006163156759485788,0.049443559994384545
2022-03-30,OXT/USD,SHORT,-0.6500021683322421,1.0,16.666666666666664,0.0031677903785782683,0.03939390215434819
2022-04-06,GRT/USD,LONG,0.6536650812827851,6.0,100.0,-0.0013796702669560319,0.06377600293148487
2022-04-06,ZRX/USD,LONG,0.17892786753084566,5.0,83.33333333333334,0.0012373383890465167,0.05499957567314435
2022-04-06,ALGO/USD,SHORT,-0.251923192244794,1.0,16.666666666666664,-0.004464798735297162,0.04300738097819231
2022-04-13,CRO/USD,LONG,0.22039910286354836,5.0,83.33333333333334,-0.0023697647865837195,0.041205633732989036
2022-04-13,GRT/USD,LONG,0.5992062627490533,6.0,100.0,-0.0014664661892904414,0.06416275867520764
2022-04-13,ALGO/USD,SHORT,-0.40995400433229756,1.0,16.666666666666664,-0.0034634470213635027,0.044062002519192026
2022-04-20,CRO/USD,LONG,0.5013690129322024,5.0,83.33333333333334,-0.0007735158946114338,0.03704516927279194
2022-04-20,ZRX/USD,LONG,10.854467607686681,6.0,100.0,0.010172453083700083,0.07556618248847584
2022-04-20,ALGO/USD,SHORT,-0.4261191696864013,1.0,16.666666666666664,-0.00321703105478254,0.04250860605948854
2022-04-27,CRO/USD,LONG,0.8864502990117082,5.0,83.33333333333334,-0.0010375933108272288,0.03507736493274086
2022-04-27,ZRX/USD,LONG,9.470873953009672,6.0,100.0,0.007915467961271948,0.07837680401001963
2022-04-27,ALGO/USD,SHORT,-0.09453347091060138,1.0,16.666666666666664,-0.0041197631349814915,0.04029269780470821
2022-05-04,CRO/USD,LONG,1.122630962999537,5.0,83.33333333333334,-0.004537571327989439,0.039107793997919575
2022-05-04,ZRX/USD,LONG,8.568641066982174,6.0,100.0,0.007811698770147091,0.08011727035538145
2022-05-04,ALGO/USD,SHORT,-0.026383602741764545,1.0,16.666666666666664,-0.0013101901192012484,0.04461858082012895
2022-05-11,GRT/USD,LONG,11.252559689787512,7.0,100.0,-0.012361959810962183,0.08955653192070424
2022-05-11,ZRX/USD,LONG,5.703947795341943,6.0,85.71428571428571,-0.004136571862225744,0.09336367603014799
2022-05-11,IMX/USD,SHORT,2.0832852452976605,1.0,14.285714285714285,-0.013005887377450768,0.08894606204784326
2022-05-18,GRT/USD,LONG,8.25306977068209,7.0,100.0,-0.016024455510463137,0.0967530148284171
2022-05-18,ZRX/USD,LONG,3.943527738353965,6.0,85.71428571428571,-0.006473477120781503,0.0997738564747343
2022-05-18,XLM/USD,SHORT,1.2327634051514353,1.0,14.285714285714285,-0.007542538749845254,0.048898000820699956
2022-05-25,GRT/USD,LONG,8.36325092408856,6.0,100.0,-0.016673466776844496,0.09640980248322528
2022-05-25,ZRX/USD,LONG,3.5722679805945887,5.0,83.33333333333334,-0.006684559062954457,0.10141743879355368
2022-05-25,XLM/USD,SHORT,0.9893694727267919,1.0,16.666666666666664,-0.008186095912122616,0.04957501339881002
2022-06-01,GRT/USD,LONG,8.050500967315273,6.0,100.0,-0.021042284703500804,0.09635458692267226
2022-06-01,ZRX/USD,LONG,4.390626118443192,5.0,83.33333333333334,-0.01258194445626676,0.09866074671411258
2022-06-01,XLM/USD,SHORT,0.31192799689967554,1.0,16.666666666666664,-0.008889845371454081,0.05340409145752311
2022-06-08,GRT/USD,LONG,8.413319678867621,6.0,100.0,-0.016702675298323214,0.09629929256687014
2022-06-08,ZRX/USD,LONG,5.101695388722103,5.0,83.33333333333334,-0.01170333231317963,0.09610175004760253
2022-06-08,XLM/USD,SHORT,0.6968609632196565,1.0,16.666666666666664,-0.0063532854513847214,0.05170697665903228
2022-06-15,GRT/USD,LONG,7.927525928803366,8.0,100.0,-0.019561627902570305,0.09695737767919305
2022-06-15,ZRX/USD,LONG,4.481258434356753,7.0,87.5,-0.016297390206248357,0.09900135756300038
2022-06-15,XLM/USD,SHORT,0.1991660939901343,1.0,12.5,-0.008812861263208524,0.05429417165855403
