,value
initial_capital,10000.0
leverage,1.0
final_value,15610.265891973371
total_return,0.5610265891973372
annualized_return,0.08148766628414617
annualized_volatility,0.27818254281329496
sharpe_ratio,0.29292875627654835
sortino_ratio,0.18156299180855934
max_drawdown,-0.36178269079278796
calmar_ratio,0.2252392620154911
win_rate,0.06313253012048192
trading_days,2075.0
num_trades,97.0
num_long_trades,53.0
num_short_trades,44.0
avg_positions,0.23373493975903614
avg_long_positions,0.12771084337349398
avg_short_positions,0.10602409638554217
avg_r2,0.6596474201657889
avg_breakout_z_score,0.2645972826399914
avg_signal_strength,1.4151932349661418
