Strategy,Weight,Weight_Pct
Leverage Inverted,0.33277138842313786,33.27713884231379
Volatility Factor,0.143622307080777,14.3622307080777
Breakout Signal,0.09111406059470924,9.111406059470923
Beta Factor (BAB),0.08249224390137441,8.24922439013744
Dilution Factor,0.05000000000000161,5.000000000000162
Size Factor,0.04999999999999999,4.999999999999999
Mean Reversion,0.04999999999999999,4.999999999999999
Kurtosis Factor,0.04999999999999999,4.999999999999999
Days from High,0.04999999999999999,4.999999999999999
Carry Factor,0.04999999999999999,4.999999999999999
ADF (Blended),0.04999999999999999,4.999999999999999
