rebalance_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,win_rate,avg_long_positions,avg_short_positions,avg_gross_exposure,total_trades,num_days
1,6.033301418167524,0.40967967460059307,0.48473562763561745,0.8451610553135471,-0.6964020357362666,0.5284474445515911,2.135903614457831,1.1359036144578314,0.8831325301204819,5922,2075
2,2.1521996470263427,0.22396226552347076,0.4812968742778986,0.4653308124211004,-0.7854596154607556,0.5221793635486982,2.1373493975903615,1.1373493975903615,0.883855421686747,3321,2075
3,2.0142041080658304,0.2143557513461245,0.45524354790552457,0.47085950439567603,-0.6346545045681081,0.5159112825458052,2.131566265060241,1.131566265060241,0.8821686746987952,2384,2075
5,0.27112141381493127,0.043132385054864164,0.45564266941783993,0.09466274330710299,-0.8331894667540582,0.5192864030858245,2.127710843373494,1.127710843373494,0.8795180722891566,1588,2075
7,0.42326883303973484,0.06409939179395252,0.4568772969524348,0.14029892100466063,-0.677433130423141,0.5110896817743491,2.1257831325301204,1.1257831325301204,0.8819277108433735,1195,2075
10,-0.2265824590025968,-0.04421947237508872,0.4582744979840614,-0.09649123520861215,-0.7728944996802133,0.5231436837029894,2.108433734939759,1.108433734939759,0.8746987951807229,889,2075
30,-0.099640186967107,-0.01830600236265556,0.4639863300584765,-0.0394537536490535,-0.7175225544930119,0.5072324011571842,2.0795180722891566,1.0795180722891566,0.8626506024096385,364,2075
