date,portfolio_value,cash,long_exposure,short_exposure,net_exposure,gross_exposure,num_longs,num_shorts,avg_trendline_score_long,avg_trendline_score_short,avg_r2_long,avg_r2_short,daily_return
2021-03-02,10349.925351872826,0,5174.962675936413,-5174.962675936413,0.0,10349.925351872826,2,1,388.5924192724093,151.7269094867764,0.7771848385448187,0.46336552742552667,
2021-03-03,10432.474581233417,0,5216.237290616708,-5216.237290616708,0.0,10432.474581233417,2,1,376.5670546746693,137.38362214319034,0.7843458758306278,0.4476261863968198,0.007975828477415403
2021-03-04,10645.392364256639,0,5322.696182128319,-5322.696182128319,0.0,10645.392364256639,2,1,379.3194431255863,132.7252379324871,0.7892679984433504,0.43283014379754337,0.02040913508730058
2021-03-05,10963.18409349074,0,5481.59204674537,-5481.59204674537,0.0,10963.18409349074,2,1,376.7870593371741,125.99755954680874,0.7918777592081971,0.41531400749567454,0.029852514436304878
2021-03-06,10912.986418205443,0,5456.493209102721,-5456.493209102721,0.0,10912.986418205443,2,1,362.3817873094623,117.89205911038668,0.7923912195802376,0.4006871969970369,-0.004578749645835267
2021-03-07,11084.42716526773,0,5542.213582633865,-5542.213582633865,0.0,11084.42716526773,2,1,373.86141381217203,117.59444153880573,0.794063301487256,0.4075894833173534,0.01570979203055578
2021-03-08,10977.953603401282,0,5488.976801700641,-5488.976801700641,0.0,10977.953603401282,2,1,369.58445090437044,116.24048248412238,0.7931352535556608,0.40912711389967893,-0.00960568916002047
2021-03-09,10940.312829780894,0,5470.156414890447,-5470.156414890447,0.0,10940.312829780894,2,1,383.1092108435055,111.65964240593925,0.7967616900977003,0.4156547466415134,-0.00342876049400731
2021-03-10,10666.591883770137,0,5333.295941885069,-5333.295941885069,0.0,10666.591883770137,2,1,400.57027973019404,125.91748730383354,0.8011405594603881,0.4369005971296832,-0.02501948072870952
2021-03-11,10527.318416330305,0,5263.659208165152,-5263.659208165152,0.0,10527.318416330305,2,1,401.0902463742434,125.00599303708402,0.8021804927484868,0.4327514818302361,-0.013056979113614142
2021-03-12,10760.261816733813,0,5380.130908366907,-5380.130908366907,0.0,10760.261816733813,2,1,398.2203611692157,118.91157222886868,0.7964407223384313,0.4083704418684044,0.022127515402418085
