symbol,original_weight_pct,final_weight_pct,weight_change_pct,target_notional,target_side,adf_weight_pct,breakout_weight_pct
HMSTR/USDC:USDC,-0.74,-0.74,0.00,-7.44,SHORT,0.00,-0.74
MON/USDC:USDC,-0.74,-0.74,0.00,-7.39,SHORT,0.00,-0.74
MINA/USDC:USDC,-0.73,-0.73,0.00,-7.34,SHORT,0.00,-0.73
S/USDC:USDC,-0.73,-0.73,0.00,-7.31,SHORT,0.00,-0.73
GOAT/USDC:USDC,-0.70,-0.70,0.00,-7.03,SHORT,0.00,-0.70
VIRTUAL/USDC:USDC,0.70,0.70,0.00,7.02,LONG,0.70,0.00
DOOD/USDC:USDC,0.70,0.70,0.00,7.01,LONG,0.00,0.70
WIF/USDC:USDC,-0.70,-0.70,0.00,-7.00,SHORT,0.00,-0.70
TIA/USDC:USDC,-0.69,-0.69,0.00,-6.93,SHORT,0.00,-0.69
MANTA/USDC:USDC,-0.69,-0.69,0.00,-6.88,SHORT,0.00,-0.69
PURR/USDC:USDC,-0.68,-0.68,0.00,-6.76,SHORT,0.00,-0.68
IO/USDC:USDC,-0.67,-0.67,0.00,-6.74,SHORT,0.00,-0.67
MELANIA/USDC:USDC,-0.64,-0.64,0.00,-6.38,SHORT,0.00,-0.64
DYDX/USDC:USDC,-0.63,-0.63,0.00,-6.27,SHORT,0.00,-0.63
KNEIRO/USDC:USDC,-0.63,-0.63,0.00,-6.26,SHORT,0.00,-0.63
MET/USDC:USDC,-0.59,-0.59,0.00,-5.87,SHORT,0.00,-0.59
AIXBT/USDC:USDC,-0.54,-0.54,0.00,-5.36,SHORT,0.00,-0.54
APEX/USDC:USDC,-0.51,-0.51,0.00,-5.06,SHORT,0.00,-0.51
FARTCOIN/USDC:USDC,-0.50,-0.50,0.00,-4.97,SHORT,0.00,-0.50
AI16Z/USDC:USDC,-0.45,-0.45,0.00,-4.55,SHORT,0.00,-0.45
ETH/USDC:USDC,0.42,0.42,0.00,4.18,LONG,-2.06,2.48
ZEREBRO/USDC:USDC,0.30,0.30,0.00,2.98,LONG,0.30,0.00
ZRO/USDC:USDC,0.29,0.29,0.00,2.86,LONG,1.35,-1.07
HBAR/USDC:USDC,0.28,0.28,0.00,2.80,LONG,1.33,-1.05
DOGE/USDC:USDC,0.27,0.27,0.00,2.73,LONG,-1.35,1.62
TRUMP/USDC:USDC,0.21,0.21,0.00,2.13,LONG,1.01,-0.80
FET/USDC:USDC,0.21,0.21,0.00,2.07,LONG,0.98,-0.77
BERA/USDC:USDC,0.18,0.18,0.00,1.83,LONG,0.86,-0.68
GRASS/USDC:USDC,0.17,0.17,0.00,1.73,LONG,0.82,-0.64
