date,Size Factor
2021-01-01,
2021-01-02,-0.020081035713484185
2021-01-03,0.0007320523496030518
2021-01-04,0.016301762110834117
2021-01-05,-0.016853639624784034
2021-01-06,-0.0738453380459081
2021-01-07,-0.0012704519031724315
2021-01-08,0.05992699218121911
2021-01-09,0.035782831029250284
2021-01-10,-0.010458708497248614
2021-01-11,0.002042470442061406
2021-01-12,0.02089879981125331
2021-01-13,-0.0008361138780617061
2021-01-14,0.033732710665048904
2021-01-15,0.05005217472031931
2021-01-16,0.044809585114804484
2021-01-17,0.008952914551725089
2021-01-18,-0.05310227207751861
2021-01-19,0.004647455162748448
2021-01-20,-0.01673123129221099
2021-01-21,0.018060853888359985
2021-01-22,0.04601694366206566
2021-01-23,-0.026282712451362378
2021-01-24,0.004812354800578067
2021-01-25,0.004146688540433541
2021-01-26,0.02027546928603763
2021-01-27,0.0038408672063519056
2021-01-28,-0.0151096830303602
2021-01-29,0.034884446302116734
2021-01-30,0.057152799863436465
2021-01-31,0.008329805277785374
2021-02-01,-0.028207074737787385
2021-02-02,0.02233113858855984
2021-02-03,0.04706155596453354
2021-02-04,0.07309944533767476
2021-02-05,-0.031666162861360925
2021-02-06,0.011108854262587009
2021-02-07,-0.012018573268347321
2021-02-08,0.0067505929811511045
2021-02-09,0.00467724133365377
2021-02-10,0.055328474261667315
2021-02-11,0.03570053675477758
2021-02-12,0.02701894911417324
2021-02-13,-0.016368535739066936
2021-02-14,-0.021297492353914427
2021-02-15,-0.003334513178977816
2021-02-16,0.0004882826082668323
2021-02-17,0.03377953029086189
2021-02-18,-0.025553517696593753
2021-02-19,-0.002992514987657291
2021-02-20,0.04528612150610023
2021-02-21,-0.011181403293082148
2021-02-22,0.008482543706050949
2021-02-23,-0.007185251948326754
2021-02-24,-0.013275671027522251
2021-02-25,0.00018362658837323131
2021-02-26,0.014613578478771538
2021-02-27,-0.010791347006473884
2021-02-28,0.0006712953163496849
2021-03-01,0.0035340257722344948
2021-03-02,0.01618827244902965
