Strategy,Method,total_return,annualized_return,sharpe_ratio,max_drawdown,annualized_volatility,Total Return (%),Ann. Return (%),Max DD (%),Sharpe
Beta (BAB),Top/Bottom Quintile (20%),1.9674261113394251,0.2625656491178756,0.6904856927130262,-0.3265065419144672,0.4969176021747422,196.74261113394252,26.25656491178756,-32.65065419144672,0.6904856927130262
Beta (BAB),Top/Bottom Decile (10%),2.6138292908008474,0.31704185357319625,0.7116434461427733,-0.3927383512224087,0.6058317492758938,261.38292908008475,31.704185357319624,-39.27383512224087,0.7116434461427733
Volatility,Top/Bottom Quintile (20%),6.325593789998781,0.5204100794674051,1.0787046675565581,-0.3519086394604155,0.48039179006917193,632.559378999878,52.041007946740514,-35.19086394604155,1.0787046675565581
Volatility,Top/Bottom Decile (10%),18.955857620595552,0.8772906467192716,1.4007035793104143,-0.38409938663727605,0.5452736458685759,1895.5857620595552,87.72906467192716,-38.40993866372761,1.4007035793104143
