strategy,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,num_days
Elite VC (8+),-35.707509603800645,-9.320753591256691,63.61982246492958,-0.14650706698206767,-0.19915354953965975,-84.48828103335822,51.759708737864074,1649
Strong VC (5+),-64.95702136544617,-20.726124339443185,67.38959936904105,-0.3075567228993621,-0.4152903742973246,-88.88018432544634,52.12378640776699,1649
Moderate VC (3-4),-93.81867846292782,-46.02072071958509,77.36133009557012,-0.5948801638070639,-0.794184026773858,-96.25866380692474,50.667475728155345,1649
Weak VC (1-2),-61.78774708593768,-19.191178654402975,74.02779664242183,-0.25924287260773904,-0.3566696360265116,-90.10397054025961,52.18446601941748,1649
Market Benchmark,-75.74383959199473,-26.929952255687095,68.96177872430142,-0.39050547642265576,-0.5160234427660217,-89.68683950620611,52.30582524271845,1649
